,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,SIG,Signet Jewelers Limited,,56.69 +8.39 (+17.37%),8.39,+17.37%,4.527M,1.597M,2.466B,6.63,-46.38%,
1,STNE,StoneCo Ltd.,,11.38 +1.53 (+15.53%),1.53,+15.53%,20.969M,5.963M,3.377B,-,-41.30%,
2,SRAD,Sportradar Group AG,,22.80 +2.72 (+13.55%),2.72,+13.55%,4.092M,827744,6.793B,162.86,78.81%,
3,LB,LandBridge Company LLC,,80.15 +7.80 (+10.78%),7.8,+10.78%,919209,617363,6.127B,-,212.53%,
4,ADMA,"ADMA Biologics, Inc.",,20.61 +1.90 (+10.16%),1.9,+10.16%,5.617M,2.548M,4.877B,25.44,196.04%,
5,AFRM,"Affirm Holdings, Inc.",,47.71 +4.01 (+9.18%),4.01,+9.18%,10.693M,7.124M,15.272B,-,15.64%,
6,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,107.94 +8.88 (+8.96%),8.88,+8.96%,3.503M,1.023M,6.614B,32.12,29.85%,
7,SRPT,"Sarepta Therapeutics, Inc.",,79.97 +6.43 (+8.74%),6.43,+8.74%,4.999M,1.097M,7.76B,34.18,-41.67%,
8,IMPUY,Impala Platinum Holdings Limited,,7.03 +0.53 (+8.19%),0.53,+8.19%,113283,208043,6.428B,-,61.03%,
9,FMCC,Federal Home Loan Mortgage Corporation,,5.06 +0.39 (+8.35%),0.39,+8.35%,891056,6.495M,3.289B,-,221.09%,
10,HCM,HUTCHMED (China) Limited,,16.18 +1.23 (+8.23%),1.23,+8.23%,179317,79658,2.766B,-,-13.78%,
11,CORZ,"Core Scientific, Inc.",,8.68 +0.66 (+8.23%),0.66,+8.23%,13.139M,13.651M,2.553B,-,140.12%,
12,SHOP,Shopify Inc.,,101.54 +7.53 (+8.02%),7.53,+8.02%,16.786M,7.924M,131.455B,65.51,15.59%,
13,PAGS,PagSeguro Digital Ltd.,,8.52 +0.63 (+8.05%),0.63,+8.05%,5.201M,4.456M,2.59B,7.41,-45.09%,
14,OKLO,Oklo Inc.,,28.06 +2.04 (+7.83%),2.04,+7.83%,8.953M,17.846M,3.838B,-,140.26%,
15,SMTC,Semtech Corporation,,41.61 +2.96 (+7.66%),2.96,+7.66%,3.12M,2.711M,3.586B,-,72.70%,
