,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,INTC,Intel Corporation,,23.70 +3.02 (+14.60%),3.02,+14.60%,240.473M,92.165M,102.621B,-,-51.63%,
1,FQVLF,First Quantum Minerals Ltd.,,14.04 +1.49 (+11.87%),1.49,+11.87%,28479,186451,11.712B,-,19.08%,
2,FN,Fabrinet,,223.65 +21.77 (+10.78%),21.77,+10.78%,1.716M,694106,8.049B,25.02,1.99%,
3,AG,First Majestic Silver Corp.,,6.68 +0.55 (+8.88%),0.55,+8.88%,30.8M,17.22M,3.236B,-,13.70%,
4,CPRI,Capri Holdings Limited,,21.12 +1.64 (+8.42%),1.64,+8.42%,5.325M,3.396M,2.49B,-,-58.49%,
5,MRCY,"Mercury Systems, Inc.",,45.08 +2.98 (+7.08%),2.98,+7.08%,788956,522350,2.69B,-,43.15%,
6,DG,Dollar General Corporation,,79.96 +5.11 (+6.83%),5.11,+6.83%,7.886M,3.674M,17.585B,13.19,-50.12%,
7,DLTR,"Dollar Tree, Inc.",,66.00 +4.08 (+6.59%),4.08,+6.59%,5.675M,2.963M,14.193B,-,-50.55%,
8,ORLA,Orla Mining Ltd.,,8.29 +0.44 (+5.61%),0.44,+5.61%,1.407M,760468,2.666B,-,112.74%,
9,ALGM,"Allegro MicroSystems, Inc.",,26.24 +1.30 (+5.21%),1.3,+5.21%,3.763M,3.066M,4.831B,-,-12.28%,
10,SLNO,"Soleno Therapeutics, Inc.",,49.03 +2.33 (+4.99%),2.33,+4.99%,1.058M,509431,2.248B,-,10.85%,
11,NEM,Newmont Corporation,,45.66 +2.03 (+4.65%),2.03,+4.65%,10.193M,10.071M,51.452B,15.97,27.54%,
12,SSRM,SSR Mining Inc.,,10.70 +0.46 (+4.49%),0.46,+4.49%,3.258M,2.743M,2.166B,-,149.76%,
13,EGO,Eldorado Gold Corporation,,15.30 +0.65 (+4.40%),0.65,+4.40%,1.358M,1.645M,3.135B,10.48,14.81%,
14,BVN,Compañía de Minas Buenaventura S.A.A.,,14.20 +0.56 (+4.11%),0.56,+4.11%,661614,943853,3.603B,9.79,-21.20%,
15,ALKT,"Alkami Technology, Inc.",,25.25 +0.97 (+4.00%),0.97,+4.00%,2.416M,865122,2.581B,-,3.58%,
16,CDE,"Coeur Mining, Inc.",,5.94 +0.23 (+4.03%),0.23,+4.03%,24.894M,16.678M,3.793B,39.60,80.13%,
17,AES,The AES Corporation,,12.28 +0.45 (+3.80%),0.45,+3.80%,12.239M,15.217M,8.742B,5.18,-21.29%,
18,VOD,Vodafone Group Public Limited Company,,9.50 +0.34 (+3.71%),0.34,+3.71%,16.919M,9.455M,23.765B,10.00,7.89%,
19,HL,Hecla Mining Company,,5.78 +0.20 (+3.68%),0.2,+3.68%,37.907M,17.394M,3.649B,96.25,28.94%,
20,ZBH,"Zimmer Biomet Holdings, Inc.",,107.70 +3.67 (+3.53%),3.67,+3.53%,1.672M,1.881M,21.439B,24.31,-17.26%,
21,ABM,ABM Industries Incorporated,,47.09 +1.58 (+3.48%),1.58,+3.48%,847401,403082,2.93B,37.08,9.16%,
22,LZRFY,Localiza Rent a Car S.A.,,5.43 +0.18 (+3.43%),0.18,+3.43%,19443,73893,5.722B,18.72,-51.61%,
23,CBOE,"Cboe Global Markets, Inc.",,215.29 +6.79 (+3.26%),6.79,+3.26%,1.051M,810813,22.541B,29.86,15.11%,
24,NOC,Northrop Grumman Corporation,,490.72 +15.62 (+3.29%),15.62,+3.29%,1.193M,947201,71.035B,17.30,3.09%,
25,RTO,Rentokil Initial plc,,21.39 +0.63 (+3.03%),0.63,+3.03%,1.454M,722100,10.781B,27.42,-32.68%,
