,Unnamed: 0,Volume,Last,Chg,% Chg
0,Portage Biotech Inc. (PRTG),29.5M,9.6,4.89,103.82
1,DBV Technologies S.A. ADR (DBVT),21.6M,6.2,2.29,58.57
2,NeOnc Technologies Holdings Inc. (NTHI),102.4K,17.0,5.0,41.67
3,Lixiang Education Holding Co. Ltd. ADR (LXEH),211.4K,17.65,4.32,32.41
4,Alumis Inc. (ALMS),1.6M,5.64,0.94,20.0
5,Argan Inc. (AGX),1.2M,138.16,22.93,19.9
6,OneConstruction Group Ltd. (ONEG),73.0K,3.18,0.52,19.55
7,NextNRG Inc. (NXXT),63.5K,3.45,0.4,13.11
8,BK Technologies Corp. (BKTI),113.8K,35.99,3.99,12.47
9,Baiya International Group Inc. (BIYA),1.4M,7.18,0.79,12.36
10,Serina Therapeutics Inc. (SER),57.8K,5.32,0.57,12.11
11,QuantaSing Group Ltd. ADR (QSG),617.3K,3.42,0.36,11.76
12,CervoMed Inc. (CRVO),1.1M,9.48,0.98,11.53
13,Intellicheck Inc. (IDN),240.5K,2.88,0.29,11.2
14,Brag House Holdings Inc. (TBH),294.3K,6.61,0.66,11.09
15,Aeluma Inc. (ALMU),84.7K,7.2,0.69,10.6
16,Harmony Gold Mining Co. Ltd. ADR (HMY),9.9M,14.06,1.23,9.54
17,Bowen Acquisition Corp. (BOWN),105.7K,7.99,0.67,9.15
18,Golden Heaven Group Holdings Ltd. (GDHG),2.9M,4.75,0.39,8.94
19,MicroAlgo Inc. (MLGO),41.5M,17.35,1.41,8.85
20,Nuvectis Pharma Inc. (NVCT),131.8K,10.46,0.81,8.39
21,Park Ha Biological Technology Co. Ltd. (PHH),436.2K,12.79,0.96,8.11
22,bluebird bio Inc. (BLUE),903.7K,4.08,0.29,7.65
23,W.R. Berkley Corp. (WRB),6.9M,71.26,4.97,7.51
24,Junee Ltd. (JUNE),153.7K,9.46,0.65,7.43
25,Heritage Insurance Holdings Inc. (HRTG),157.0K,14.78,1.0,7.26
26,Skycorp Solar Group Ltd. (PN),223.8K,3.27,0.22,7.21
27,Arbutus Biopharma Corp. (ABUS),1.4M,3.5,0.23,7.03
28,Couchbase Inc. (BASE),1.9M,15.67,1.01,6.89
29,Soleno Therapeutics Inc. (SLNO),5.1M,71.99,4.6,6.83
30,Cumberland Pharmaceuticals Inc. (CPIX),68.4K,4.41,0.28,6.78
31,Aura Biosciences Inc. (AURA),3.1M,6.34,0.4,6.73
32,Abacus Global Management Inc. (ABL),756.2K,7.62,0.47,6.57
33,Aldeyra Therapeutics Inc. (ALDX),1.1M,6.67,0.41,6.55
34,Sky Harbour Group Corp. (SKYH),296.0K,13.7,0.83,6.45
35,CureVac N.V. (CVAC),2.0M,2.98,0.18,6.43
36,Quantum Computing Inc. (QUBT),18.5M,8.45,0.51,6.42
37,Information Services Group Inc. (III),157.6K,4.0,0.23,6.1
38,Pulse Biosciences Inc. (PLSE),464.6K,16.6,0.94,6.0
39,Palladyne AI Corp. (PDYN),1.3M,6.51,0.34,5.51
40,Jayud Global Logistics Ltd. (JYD),7.6M,7.27,0.37,5.36
41,Aeva Technologies Inc. (AEVA),3.7M,6.71,0.33,5.17
42,Creative Global Technology Holdings Ltd. (CGTL),266.6K,4.3,0.2,4.88
43,MBX Biosciences Inc. (MBX),315.8K,7.76,0.35,4.72
44,SCHMID Group N.V. (SHMD),88.6K,3.58,0.16,4.68
45,Savara Inc. (SVRA),906.6K,2.91,0.13,4.68
46,Oruka Therapeutics Inc. (ORKA),133.6K,12.5,0.55,4.6
47,Gold Fields Ltd. ADR (GFI),5.8M,21.9,0.94,4.48
48,BioCardia Inc. (BCDA),139.1K,2.8,0.12,4.48
49,VinFast Auto Ltd. (VFS),476.2K,3.39,0.14,4.31
50,Denali Therapeutics Inc. (DNLI),1.5M,14.78,0.58,4.08
51,AppLovin Corp. (APP),15.2M,272.38,10.68,4.08
52,SuperCom Ltd. (SPCB),96.4K,7.3,0.28,3.99
53,Brookdale Senior Living Inc. (BKD),2.3M,6.14,0.23,3.98
54,Outset Medical Inc. (OM),156.5K,12.58,0.47,3.88
55,Worksport Ltd. (WKSP),150.1K,3.48,0.13,3.88
56,Dogness (International) Corp. (DOGZ),71.9K,27.95,1.03,3.83
57,Performant Healthcare Inc. (PHLT),236.1K,3.0,0.11,3.81
58,California Water Service Group (CWT),300.9K,48.26,1.75,3.76
59,Cidara Therapeutics Inc. (CDTX),77.5K,22.39,0.81,3.75
60,M-tron Industries Inc. (MPTI),70.7K,43.07,1.54,3.71
61,Blend Labs Inc. (BLND),2.4M,3.56,0.13,3.63
62,Rapport Therapeutics Inc. (RAPP),118.4K,10.05,0.35,3.61
63,Precision Biosciences Inc. (DTIL),72.5K,4.7,0.16,3.52
64,TTEC Holdings Inc. (TTEC),316.2K,3.54,0.12,3.51
65,Everus Construction Group Inc. (ECG),630.6K,36.18,1.21,3.46
66,Giftify Inc. (GIFT),194.1K,2.17,0.07,3.33
67,Journey Medical Corp. (DERM),58.5K,6.11,0.19,3.21
68,Zai Lab Ltd. ADR (ZLAB),1.5M,37.29,1.11,3.07
69,ONE Gas Inc. (OGS),296.7K,75.94,2.21,3.0
70,Desktop Metal Inc. (DM),1.2M,4.99,0.14,3.0
71,Okeanis Eco Tankers Corp. (ECO),285.7K,22.56,0.64,2.92
72,Bowhead Specialty Holdings Inc. (BOW),366.5K,42.16,1.16,2.83
73,Golden Ocean Group Ltd. (GOGL),7.0M,8.36,0.22,2.7
74,Village Super Market Inc. Cl A (VLGEA),53.7K,36.97,0.97,2.69
75,DRDGOLD Ltd. ADR (DRD),516.7K,14.82,0.38,2.63
76,National Grid PLC ADR (NGG),730.0K,65.6,1.67,2.6
77,York Water Co. (YORW),93.2K,34.66,0.87,2.57
78,authID Inc. (AUID),212.6K,6.48,0.16,2.53
79,Primo Brands Corp. (PRMB),4.9M,35.32,0.87,2.53
80,SJW Group (SJW),281.3K,53.6,1.32,2.52
81,Middlesex Water Co. (MSEX),189.9K,63.48,1.53,2.47
82,Rhythm Pharmaceuticals Inc. (RYTM),414.4K,54.8,1.31,2.45
83,Unitil Corp. (UTL),52.3K,57.89,1.38,2.44
84,Avista Corp. (AVA),1.9M,40.99,0.95,2.37
85,Sunrise Communications Group AG ADR (SNRE),234.3K,48.53,1.1,2.32
86,Artesian Resources Corp. Cl A (ARTNA),66.8K,32.67,0.74,2.32
87,Welltower Inc. (WELL),1.9M,153.38,3.46,2.31
88,Greene County Bancorp Inc. (GCBC),51.4K,24.27,0.54,2.28
89,AngloGold Ashanti PLC (AU),3.5M,36.99,0.81,2.24
90,American Water Works Co. (AWK),1.1M,146.26,3.2,2.24
91,Universal Insurance Holdings Inc. (UVE),152.6K,23.36,0.51,2.23
92,Braze Inc. (BRZE),5.3M,37.51,0.81,2.21
93,Grocery Outlet Holding Corp. (GO),2.5M,13.25,0.28,2.16
94,Northwest Natural Holding Co. (NWN),174.7K,42.59,0.9,2.16
95,Tarsus Pharmaceuticals Inc. (TARS),483.1K,51.74,1.09,2.15
96,Quantum Biopharma Ltd. (QNTM),14.0M,8.56,0.18,2.15
97,OppFi Inc. (OPFI),788.7K,9.52,0.2,2.15
98,Albertsons Cos. Inc. (ACI),3.2M,21.62,0.45,2.13
99,PPL Corp. (PPL),7.8M,35.72,0.74,2.12
