,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,DOCU,"DocuSign, Inc.",,81.46 +6.76 (+9.05%),6.76,+9.05%,507516,2.476M,16.457B,16.04,31.58%,
1,ULTA,"Ulta Beauty, Inc.",,340.51 +26.04 (+8.30%),26.04,+8.30%,161500,922801,15.79B,13.43,-41.33%,
2,BEKE,KE Holdings Inc.,,24.26 +1.82 (+8.11%),1.82,+8.11%,684500,8.132M,29.054B,49.51,59.94%,
3,IONQ,"IonQ, Inc.",,22.53 +1.16 (+5.43%),1.16,+5.43%,2.29M,25.857M,5.382B,-,129.54%,
4,ALGM,"Allegro MicroSystems, Inc.",,26.64 +0.40 (+1.52%),0.4,+1.52%,25250,3.078M,4.905B,-,-4.58%,
5,FUTU,Futu Holdings Limited,,115.04 +7.52 (+7.01%),7.52,+7.01%,294049,2.536M,15.867B,23.01,98.19%,
6,SLNO,"Soleno Therapeutics, Inc.",,49.42 +0.39 (+0.80%),0.39,+0.80%,2591,519733,2.266B,-,12.82%,
7,MNSO,MINISO Group Holding Limited,,20.73 +1.01 (+5.11%),1.01,+5.11%,42769,1.026M,6.545B,20.94,0.10%,
8,HSAI,Hesai Group,,21.05 +0.49 (+2.38%),0.49,+2.38%,256227,3.963M,2.683B,-,343.10%,
9,SSRM,SSR Mining Inc.,,10.69 -0.01 (-0.14%),-0.01,-0.14%,156339,2.754M,2.171B,-,168.84%,
10,APP,AppLovin Corporation,,284.44 +12.44 (+4.57%),12.44,+4.57%,299739,6.975M,96.698B,62.65,330.86%,
11,CVNA,Carvana Co.,,174.28 +7.61 (+4.57%),7.61,+4.57%,734188,4.085M,20.382B,110.30,109.44%,
12,SHOP,Shopify Inc.,,93.48 +2.89 (+3.19%),2.89,+3.19%,294677,8.033M,121.601B,60.31,17.42%,
13,MSTR,MicroStrategy Incorporated,,274.49 +11.23 (+4.27%),11.23,+4.27%,681890,19.581M,71.482B,-,47.70%,
14,MU,"Micron Technology, Inc.",,100.28 +5.40 (+5.69%),5.4,+5.69%,1.534M,24.713M,111.729B,28.73,1.75%,
15,FINV,FinVolution Group,,8.61 +0.31 (+3.80%),0.31,+3.80%,28498,780386,2.239B,7.49,64.36%,
16,TEM,"Tempus AI, Inc.",,43.80 +1.63 (+3.88%),1.63,+3.88%,707661,12.337M,7.543B,-,4.76%,
17,PONY,Pony AI Inc.,,13.35 +0.54 (+4.22%),0.54,+4.22%,46268,1.333M,4.657B,-,6.75%,
18,CC,The Chemours Company,,14.24 +0.54 (+3.94%),0.54,+3.94%,49621,2.021M,2.128B,24.98,-49.52%,
19,VRT,Vertiv Holdings Co,,87.31 +4.22 (+5.08%),4.22,+5.08%,188072,9.808M,33.246B,68.21,12.04%,
20,AES,The AES Corporation,,12.43 +0.15 (+1.22%),0.15,+1.22%,219075,15.243M,8.849B,5.24,-18.19%,
21,PLTR,Palantir Technologies Inc.,,82.61 +2.99 (+3.76%),2.99,+3.76%,5.1M,99.307M,193.762B,434.82,238.95%,
22,PDD,PDD Holdings Inc.,,122.65 +3.89 (+3.28%),3.89,+3.28%,455880,8.613M,170.333B,12.12,-4.02%,
23,SMCI,"Super Micro Computer, Inc.",,40.65 +1.57 (+4.02%),1.57,+4.02%,2.716M,72.059M,24.125B,17.67,-63.44%,
24,VIST,"Vista Energy, S.A.B. de C.V.",,49.16 +1.81 (+3.82%),1.81,+3.82%,28122,916998,4.75B,10.62,16.20%,
25,ABM,ABM Industries Incorporated,,47.06 +1.55 (+3.41%),1.55,+3.41%,3665,412479,2.929B,37.06,11.23%,
26,ZTO,ZTO Express (Cayman) Inc.,,20.06 +0.65 (+3.35%),0.65,+3.35%,422552,2.565M,15.949B,13.93,-11.00%,
27,UPST,"Upstart Holdings, Inc.",,48.08 +1.77 (+3.82%),1.77,+3.82%,156596,5.871M,4.505B,-,95.98%,
28,SARO,"StandardAero, Inc.",,29.01 +0.03 (+0.12%),0.03,+0.12%,7619,1.586M,9.704B,725.38,-11.51%,
29,NOC,Northrop Grumman Corporation,,487.98 -2.61 (-0.53%),-2.61,-0.53%,12837,953698,70.639B,17.21,6.25%,
30,SAN,"Banco Santander, S.A.",,6.66 +0.21 (+3.26%),0.21,+3.26%,486167,4.633M,101.742B,7.93,45.93%,
31,CLS,Celestica Inc.,,89.35 +2.94 (+3.41%),2.94,+3.41%,95375,4.442M,10.42B,24.75,96.52%,
32,RUM,Rumble Inc.,,7.84 +0.27 (+3.57%),0.27,+3.57%,66331,6.562M,2.488B,-,-1.94%,
33,AFRM,"Affirm Holdings, Inc.",,48.54 +1.64 (+3.51%),1.64,+3.51%,132115,6.947M,15.539B,-,39.13%,
34,TEAM,Atlassian Corporation,,213.95 +5.95 (+2.86%),5.95,+2.86%,32564,2.135M,56.055B,-,6.98%,
35,TCOM,Trip.com Group Limited,,62.96 +2.16 (+3.55%),2.16,+3.55%,77017,3.688M,40.994B,18.46,40.03%,
