,Unnamed: 0,Volume,Last,Chg,% Chg
0,Soleno Therapeutics Inc. (SLNO),322.9K,66.02,17.05,34.82
1,Petco Health & Wellness Co. Inc. (WOOF),295.3K,2.85,0.41,16.8
2,VivoPower International PLC (VVPR),739.9K,4.86,0.68,16.24
3,Concentrix Corp. (CNXC),55.1K,52.08,6.4,14.01
4,Tenon Medical Inc. (TNON),109.1K,2.67,0.25,10.32
5,ASP Isotopes Inc. (ASPI),68.1K,4.58,0.39,9.42
6,Mereo BioPharma Group PLC ADR (MREO),116.5K,2.59,0.22,9.28
7,Milestone Pharmaceuticals Inc. (MIST),122.7K,2.16,0.15,7.48
8,KE Holdings Inc. ADR (BEKE),106.4K,21.63,0.94,4.53
9,Dollar Tree Inc. (DLTR),101.6K,72.08,2.88,4.15
10,Hertz Global Holdings Inc. (HTZ),171.3K,3.58,0.13,3.76
11,Aurora Cannabis Inc. (ACB),92.0K,4.56,0.15,3.4
12,Aeva Technologies Inc. (AEVA),55.9K,5.99,0.19,3.28
13,Bilibili Inc. ADR (BILI),90.5K,19.97,0.53,2.73
14,Jayud Global Logistics Ltd. (JYD),68.6K,6.32,0.14,2.27
15,Trip.com Group Ltd. ADR (TCOM),63.3K,64.4,1.29,2.04
16,Tesla Inc. (TSLA),937.9K,274.4,2.33,0.86
17,Lucid Group Inc. (LCID),316.2K,2.38,0.02,0.85
18,JD.com Inc. ADR (JD),86.5K,42.1,0.33,0.78
19,Rivian Automotive Inc. Cl A (RIVN),221.5K,12.19,0.09,0.74
20,Baidu Inc. ADR (BIDU),52.5K,98.21,0.71,0.73
21,iQIYI Inc. ADR (IQ),76.2K,2.26,0.01,0.67
22,Gilead Sciences Inc. (GILD),105.5K,110.0,0.73,0.67
23,GE HealthCare Technologies Inc. (GEHC),77.0K,81.54,0.54,0.66
24,Keurig Dr Pepper Inc. (KDP),59.6K,34.26,0.2,0.59
25,PepsiCo Inc. (PEP),74.9K,149.4,0.76,0.51
26,Kraft Heinz Co. (KHC),182.0K,29.83,0.14,0.47
27,Rumble Inc. (RUM),71.4K,7.86,0.03,0.38
28,Altria Group Inc. (MO),53.4K,57.96,0.21,0.36
29,Mondelez International Inc. Cl A (MDLZ),114.8K,66.56,0.23,0.35
30,Aurora Innovation Inc. (AUR),141.8K,7.14,0.02,0.28
31,Alphabet Inc. Cl A (GOOGL),478.8K,165.38,0.32,0.19
32,Walgreens Boots Alliance Inc. (WBA),118.2K,11.12,0.02,0.18
33,ImmunityBio Inc. (IBRX),167.1K,2.78,0.01,0.18
34,Alphabet Inc. Cl C (GOOG),256.9K,167.42,0.28,0.17
35,Amcor PLC (AMCR),200.2K,9.62,0.01,0.16
36,Coupang Inc. (CPNG),72.3K,23.61,0.03,0.13
37,Microsoft Corp. (MSFT),222.1K,390.38,0.41,0.11
38,Copart Inc. (CPRT),50.4K,55.12,0.06,0.1
39,AT&T Inc. (T),72.7K,27.68,0.03,0.1
40,Moderna Inc. (MRNA),69.3K,31.51,0.03,0.1
41,Cisco Systems Inc. (CSCO),290.5K,61.83,0.03,0.05
42,Nokia Corp. ADR (NOK),97.0K,5.26,0.0,0.02
43,APA Corp. (APA),57.8K,21.1,0.0,0.0
44,Robinhood Markets Inc. (HOOD),518.0K,44.73,-0.0,0.0
45,Bank of America Corp. (BAC),81.1K,42.82,-0.0,0.0
46,Apple Inc. (AAPL),520.0K,221.5,-0.03,-0.01
47,Starbucks Corp. (SBUX),147.3K,97.96,-0.01,-0.02
48,Baker Hughes Co. (BKR),65.9K,44.01,-0.01,-0.02
49,Checkpoint Therapeutics Inc. (CKPT),56.8K,4.06,-0.01,-0.12
50,Exelon Corp. (EXC),98.3K,43.96,-0.06,-0.14
51,Pfizer Inc. (PFE),68.6K,25.17,-0.04,-0.16
52,Brag House Holdings Inc. (TBH),172.3K,6.06,-0.01,-0.16
