,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,QBTS,D-Wave Quantum Inc.,,10.13 +3.22 (+46.60%),3.22,+46.60%,257.111M,84.563M,2.7B,-,232.21%,
1,RGTI,"Rigetti Computing, Inc.",,11.22 +2.47 (+28.23%),2.47,+28.23%,124.076M,138.127M,3.207B,-,345.29%,
2,RBRK,"Rubrik, Inc.",,70.56 +15.28 (+27.64%),15.28,+27.64%,6.952M,2.347M,13.071B,-,49.41%,
3,SMTC,Semtech Corporation,,39.60 +6.89 (+21.06%),6.89,+21.06%,7.773M,2.554M,3.413B,-,43.15%,
4,IONQ,"IonQ, Inc.",,25.02 +3.65 (+17.08%),3.65,+17.08%,36.552M,25.857M,5.977B,-,129.54%,
5,PTON,"Peloton Interactive, Inc.",,7.05 +0.98 (+16.14%),0.98,+16.14%,30.797M,14.299M,2.749B,-,40.51%,
6,SOUN,"SoundHound AI, Inc.",,10.34 +1.43 (+16.05%),1.43,+16.05%,40.707M,62.6M,4.125B,-,0.00%,
7,OKLO,Oklo Inc.,,27.67 +3.72 (+15.53%),3.72,+15.53%,13.128M,18.59M,3.785B,-,123.00%,
8,DOCU,"DocuSign, Inc.",,85.76 +11.06 (+14.81%),11.06,+14.81%,11.806M,2.476M,17.325B,16.88,31.58%,
9,WXXWY,WuXi Biologics (Cayman) Inc.,,6.86 +0.86 (+14.65%),0.86,+14.65%,21053,44613,14.052B,40.35,66.24%,
10,ULTA,"Ulta Beauty, Inc.",,357.48 +43.01 (+13.68%),43.01,+13.68%,3.284M,922801,16.577B,14.10,-41.33%,
11,WRD,WeRide Inc.,,18.40 +2.13 (+13.09%),2.13,+13.09%,7.826M,1.511M,5.051B,-,-1.69%,
12,ROOT,"Root, Inc.",,151.73 +17.50 (+13.04%),17.5,+13.04%,1.137M,517183,2.306B,82.91,153.79%,
13,MSTR,MicroStrategy Incorporated,,297.49 +34.23 (+13.00%),34.23,+13.00%,23.006M,19.581M,77.472B,-,47.70%,
14,TEM,"Tempus AI, Inc.",,47.17 +5.00 (+11.87%),5.0,+11.87%,10.87M,12.337M,8.123B,-,4.76%,
15,FNMA,Federal National Mortgage Association,,6.13 +0.65 (+11.86%),0.65,+11.86%,4.345M,16.436M,7.099B,-,261.84%,
16,VNET,"VNET Group, Inc.",,11.65 +1.25 (+12.02%),1.25,+12.02%,10.65M,8.708M,3.112B,582.50,477.78%,
17,CAR,"Avis Budget Group, Inc.",,61.95 +6.46 (+11.64%),6.46,+11.64%,2.107M,776133,2.175B,-,-48.48%,
18,AUR,"Aurora Innovation, Inc.",,6.97 +0.71 (+11.34%),0.71,+11.34%,24.1M,14.712M,12.131B,-,179.46%,
19,BOLSY,"B3 S.A. - Brasil, Bolsa, Balcão",,6.69 +0.67 (+11.13%),0.67,+11.13%,99668,168140,11.773B,15.56,-13.91%,
20,RSI,"Rush Street Interactive, Inc.",,10.71 +1.03 (+10.64%),1.03,+10.64%,1.898M,2.081M,2.443B,357.00,67.18%,
21,FMCC,Federal Home Loan Mortgage Corporation,,5.09 +0.49 (+10.65%),0.49,+10.65%,1.606M,6.441M,3.309B,-,273.17%,
22,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",,285.86 +27.37 (+10.59%),27.37,+10.59%,87411,50249,8.559B,13.65,-15.32%,
23,CCI,Crown Castle Inc.,,103.20 +9.67 (+10.34%),9.67,+10.34%,7.765M,3.177M,44.851B,36.60,-10.10%,
24,ALAB,"Astera Labs, Inc.",,72.18 +6.86 (+10.50%),6.86,+10.50%,3.661M,5.45M,11.704B,-,5.30%,
25,MP,MP Materials Corp.,,26.87 +2.49 (+10.21%),2.49,+10.21%,4.1M,3.155M,4.392B,-,75.40%,
26,WGS,GeneDx Holdings Corp.,,98.47 +9.15 (+10.24%),9.15,+10.24%,912428,1.034M,2.764B,-,643.71%,
27,FUTU,Futu Holdings Limited,,118.47 +10.95 (+10.18%),10.95,+10.18%,4.572M,2.536M,16.34B,23.69,98.19%,
