,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,TNXP,Tonix Pharmaceuticals Holding Corp.,,20.53 +4.25 (+26.11%),4.25,+26.11%,2.535M,1.601M,114.772M,-,-98.55%,
1,FINV,FinVolution Group,,10.73 +1.61 (+17.65%),1.61,+17.65%,4.428M,804863,2.788B,9.33,88.04%,
2,NEXT,NextDecade Corporation,,8.50 +1.25 (+17.24%),1.25,+17.24%,4.443M,1.745M,2.214B,-,31.82%,
3,JBSAY,JBS S.A.,,13.65 +2.00 (+17.17%),2.0,+17.17%,217489,80348,15.139B,11.77,25.85%,
4,TME,Tencent Music Entertainment Group,,15.12 +2.06 (+15.81%),2.06,+15.81%,35.107M,7.488M,24.015B,28.54,18.30%,
5,TKAMY,thyssenkrupp AG,,11.60 +1.55 (+15.42%),1.55,+15.42%,156712,125634,7.221B,-,89.62%,
6,ESLT,Elbit Systems Ltd.,,408.53 +39.27 (+10.63%),39.27,+10.63%,214484,46250,18.219B,70.07,82.87%,
7,BVHMF,Vistry Group PLC,,8.20 +0.65 (+8.61%),0.65,+8.61%,15650,21292,2.693B,8.72,-48.99%,
8,STVN,Stevanato Group S.p.A.,,21.79 +1.21 (+5.88%),1.21,+5.88%,265198,361029,5.946B,46.36,-29.45%,
9,HAGHY,Hensoldt AG,,43.75 +2.46 (+5.95%),2.46,+5.95%,19224,14030,10.106B,625.00,118.28%,
10,RNMBY,Rheinmetall AG,,317.75 +16.75 (+5.56%),16.75,+5.56%,57615,96075,68.979B,130.23,187.02%,
11,BRRLY,Barry Callebaut AG,,13.60 +0.67 (+5.18%),0.67,+5.18%,21505,72053,7.454B,34.87,-6.28%,
12,IPGP,IPG Photonics Corporation,,66.10 +2.78 (+4.39%),2.78,+4.39%,359118,335041,2.812B,-,-27.87%,
13,SITM,SiTime Corporation,,177.79 +7.33 (+4.30%),7.33,+4.30%,399514,306425,4.195B,-,99.25%,
14,VWDRY,Vestas Wind Systems A/S,,5.62 +0.22 (+4.07%),0.22,+4.07%,28931,476681,16.921B,31.22,-41.95%,
15,ALHC,"Alignment Healthcare, Inc.",,16.74 +0.65 (+4.04%),0.65,+4.04%,4.568M,2.048M,3.211B,-,225.71%,
16,X,United States Steel Corporation,,41.73 +1.62 (+4.04%),1.62,+4.04%,5.646M,6.983M,9.398B,26.58,0.91%,
17,DB,Deutsche Bank Aktiengesellschaft,,24.92 +0.97 (+4.05%),0.97,+4.05%,5.159M,2.996M,48.442B,16.72,60.85%,
18,XIACF,Xiaomi Corporation,,7.70 +0.29 (+3.91%),0.29,+3.91%,29742,172010,187.699B,36.67,287.17%,
19,DFS,Discover Financial Services,,158.85 +5.85 (+3.83%),5.85,+3.83%,3.457M,1.868M,39.966B,8.96,26.19%,
20,SAN,"Banco Santander, S.A.",,7.14 +0.26 (+3.83%),0.26,+3.83%,7.618M,4.726M,107.615B,8.50,53.23%,
21,XIACY,Xiaomi Corporation,,38.32 +1.35 (+3.65%),1.35,+3.65%,478033,690443,186.847B,36.15,232.17%,
22,AU,AngloGold Ashanti plc,,34.20 +1.21 (+3.67%),1.21,+3.67%,2.901M,2.419M,17.221B,14.68,62.75%,
23,BAYRY,Bayer Aktiengesellschaft,,6.79 +0.24 (+3.66%),0.24,+3.66%,176085,1.259M,26.683B,-,-6.44%,
24,KLC,"KinderCare Learning Companies, Inc.",,17.07 +0.67 (+4.09%),0.67,+4.09%,400906,642155,2.014B,34.84,-37.24%,
25,EDU,New Oriental Education & Technology Group Inc.,,52.60 +1.80 (+3.54%),1.8,+3.54%,1.293M,1.932M,8.602B,22.87,-45.09%,
26,CNX,CNX Resources Corporation,,31.81 +1.08 (+3.51%),1.08,+3.51%,2.469M,3.275M,4.735B,-,42.40%,
27,ANGPY,Anglo American Platinum Limited,,6.59 +0.21 (+3.29%),0.21,+3.29%,23655,140981,10.45B,26.36,3.59%,
28,GFI,Gold Fields Limited,,21.32 +0.67 (+3.22%),0.67,+3.22%,3.86M,2.949M,19.077B,30.02,45.12%,
29,MYRG,MYR Group Inc.,,124.34 +3.84 (+3.19%),3.84,+3.19%,670605,231437,2.007B,67.95,-24.94%,
30,NIO,NIO Inc.,,5.19 +0.16 (+3.18%),0.16,+3.18%,77.67M,51.638M,10.544B,-,-3.08%,
