,Unnamed: 0,Volume,Last,Chg,% Chg
0,Marblegate Acquisition Corp. (GATE),77.1K,50.0,33.74,207.5
1,Concentrix Corp. (CNXC),5.8M,65.04,19.36,42.38
2,Soleno Therapeutics Inc. (SLNO),15.2M,67.39,18.42,37.61
3,MicroAlgo Inc. (MLGO),76.6M,15.94,4.08,34.4
4,Petco Health & Wellness Co. Inc. (WOOF),27.8M,3.21,0.77,31.56
5,Baiya International Group Inc. (BIYA),1.2M,6.39,1.5,30.67
6,Kuke Music Holding Ltd. ADR (KUKE),83.0K,3.04,0.59,24.39
7,Jiayin Group Inc. ADR (JFIN),783.3K,14.84,2.74,22.64
8,Hertz Global Holdings Inc. (HTZ),31.9M,4.23,0.78,22.61
9,ImmunityBio Inc. (IBRX),16.4M,3.36,0.58,20.86
10,Quantum Biopharma Ltd. (QNTM),1.0M,8.38,1.43,20.58
11,Avis Budget Group Inc. (CAR),6.0M,74.16,12.61,20.49
12,Brazil Potash Corp. (GRO),161.3K,3.59,0.54,17.7
13,Tenon Medical Inc. (TNON),41.3M,2.8,0.38,15.7
14,Cato Corp. Cl A (CATO),241.7K,3.9,0.46,13.37
15,ASP Isotopes Inc. (ASPI),2.4M,4.73,0.54,12.89
16,SmartKem Inc. (SMTK),420.3K,3.44,0.38,12.35
17,Heidmar Maritime Holdings Corp. (HMR),1.6M,3.54,0.38,12.03
18,Satellogic Inc. (SATL),1.0M,4.2,0.45,12.0
19,Niu Technologies ADR (NIU),3.6M,4.86,0.52,11.98
20,Sify Technologies Ltd. ADR (SIFY),60.1K,4.78,0.51,11.94
21,Milestone Pharmaceuticals Inc. (MIST),9.6M,2.25,0.24,11.94
22,89bio Inc. (ETNB),3.9M,8.96,0.94,11.72
23,Jayud Global Logistics Ltd. (JYD),13.9M,6.9,0.72,11.65
24,Epsium Enterprise Ltd. (EPSM),455.5K,5.38,0.56,11.62
25,Park Ha Biological Technology Co. Ltd. (PHH),454.7K,11.83,1.23,11.6
26,Venus Concept Inc. (VERO),75.9K,3.65,0.37,11.28
27,Dollar Tree Inc. (DLTR),14.4M,76.95,7.74,11.18
28,Silence Therapeutics PLC ADR (SLN),177.5K,3.69,0.37,11.14
29,The9 Ltd. ADR (NCTY),181.6K,14.6,1.45,11.03
30,MillerKnoll Inc. (MLKN),2.0M,20.3,1.96,10.69
31,Yiren Digital Ltd. ADR (YRD),493.9K,7.38,0.71,10.64
32,Universe Pharmaceuticals Inc. (UPC),111.8K,5.36,0.51,10.52
33,Bioceres Crop Solutions Corp. (BIOX),620.8K,4.84,0.46,10.5
34,Nuvectis Pharma Inc. (NVCT),142.5K,9.65,0.9,10.29
35,CervoMed Inc. (CRVO),4.7M,8.5,0.79,10.25
36,Aeva Technologies Inc. (AEVA),3.4M,6.38,0.58,10.0
37,Calumet Inc. (CLMT),1.9M,13.45,1.22,9.98
38,Ascentage Pharma Group International ADR (AAPG),53.2K,20.2,1.83,9.96
39,Forward Industries Inc. (FORD),82.4K,4.34,0.39,9.87
40,BuzzFeed Inc. (BZFD),1.1M,2.36,0.21,9.77
41,Ermenegildo Zegna N.V. (ZGN),1.9M,7.76,0.68,9.6
42,RxSight Inc. (RXST),860.7K,26.67,2.3,9.44
43,BK Technologies Corp. (BKTI),52.0K,32.0,2.73,9.33
44,China Automotive Systems Inc. (CAAS),198.3K,5.26,0.44,9.13
45,Yoshiharu Global Co. (YOSH),103.3K,16.2,1.35,9.09
46,Sleep Number Corp. (SNBR),549.6K,6.73,0.55,8.9
47,Amesite Inc. (AMST),89.8K,2.59,0.21,8.82
48,Dianthus Therapeutics Inc. (DNTH),200.9K,19.87,1.6,8.76
49,Perma-Fix Environmental Services Inc. (PESI),275.4K,8.15,0.65,8.67
50,Luminar Technologies Inc. (LAZR),12.1M,6.15,0.49,8.66
51,Bowen Acquisition Corp. (BOWN),78.7K,7.32,0.57,8.44
52,Nu Skin Enterprises Inc. Cl A (NUS),551.3K,7.51,0.58,8.37
53,EDAP TMS S.A. ADR (EDAP),582.1K,2.22,0.17,8.29
