,Unnamed: 0,Volume,Last,Chg,% Chg
0,Concentrix Corp. (CNXC),5.6M,65.04,19.36,42.38
1,Soleno Therapeutics Inc. (SLNO),14.9M,67.39,18.42,37.61
2,MicroAlgo Inc. (MLGO),75.6M,15.94,4.08,34.4
3,Petco Health & Wellness Co. Inc. (WOOF),27.6M,3.21,0.77,31.56
4,Baiya International Group Inc. (BIYA),1.2M,6.39,1.5,30.67
5,Kuke Music Holding Ltd. ADR (KUKE),67.4K,3.1,0.66,27.05
6,Jiayin Group Inc. ADR (JFIN),781.4K,14.84,2.74,22.64
7,Hertz Global Holdings Inc. (HTZ),32.2M,4.23,0.78,22.61
8,ImmunityBio Inc. (IBRX),16.6M,3.36,0.58,20.86
9,Quantum Biopharma Ltd. (QNTM),1.0M,8.38,1.43,20.58
10,Avis Budget Group Inc. (CAR),6.1M,74.16,12.61,20.49
11,Tenon Medical Inc. (TNON),41.1M,2.8,0.38,15.7
12,Brazil Potash Corp. (GRO),171.2K,3.52,0.47,15.57
13,ASP Isotopes Inc. (ASPI),2.4M,4.73,0.54,12.89
14,SmartKem Inc. (SMTK),412.8K,3.45,0.39,12.75
15,Cato Corp. Cl A (CATO),229.3K,3.87,0.43,12.5
16,Heidmar Maritime Holdings Corp. (HMR),1.6M,3.54,0.38,12.03
17,Satellogic Inc. (SATL),977.4K,4.2,0.45,12.0
18,Niu Technologies ADR (NIU),3.6M,4.86,0.52,11.98
19,Sify Technologies Ltd. ADR (SIFY),59.0K,4.78,0.51,11.94
20,Milestone Pharmaceuticals Inc. (MIST),7.1M,2.25,0.24,11.94
21,89bio Inc. (ETNB),3.7M,8.96,0.94,11.72
22,Jayud Global Logistics Ltd. (JYD),13.7M,6.9,0.72,11.65
23,Epsium Enterprise Ltd. (EPSM),447.4K,5.38,0.56,11.62
24,Park Ha Biological Technology Co. Ltd. (PHH),455.7K,11.83,1.23,11.6
25,Dollar Tree Inc. (DLTR),14.2M,76.95,7.74,11.18
26,Silence Therapeutics PLC ADR (SLN),199.7K,3.69,0.37,11.14
27,The9 Ltd. ADR (NCTY),175.8K,14.6,1.45,11.03
28,Yiren Digital Ltd. ADR (YRD),483.7K,7.39,0.72,10.79
29,MillerKnoll Inc. (MLKN),1.9M,20.3,1.96,10.69
30,Universe Pharmaceuticals Inc. (UPC),109.4K,5.36,0.51,10.52
31,Bioceres Crop Solutions Corp. (BIOX),611.3K,4.84,0.46,10.5
32,Nuvectis Pharma Inc. (NVCT),139.1K,9.65,0.9,10.29
33,CervoMed Inc. (CRVO),4.7M,8.5,0.79,10.25
34,Aeva Technologies Inc. (AEVA),3.3M,6.38,0.58,10.0
35,Calumet Inc. (CLMT),1.9M,13.45,1.22,9.98
36,Ascentage Pharma Group International ADR (AAPG),52.9K,20.2,1.83,9.96
37,Forward Industries Inc. (FORD),81.5K,4.34,0.39,9.87
38,BuzzFeed Inc. (BZFD),1.1M,2.36,0.21,9.77
39,Ermenegildo Zegna N.V. (ZGN),1.7M,7.76,0.69,9.68
40,RxSight Inc. (RXST),833.9K,26.67,2.3,9.44
41,China Automotive Systems Inc. (CAAS),187.5K,5.26,0.44,9.13
42,Sleep Number Corp. (SNBR),532.4K,6.73,0.55,8.9
43,Amesite Inc. (AMST),105.4K,2.59,0.21,8.82
44,Dianthus Therapeutics Inc. (DNTH),196.5K,19.87,1.6,8.76
45,Perma-Fix Environmental Services Inc. (PESI),274.0K,8.15,0.65,8.67
46,Luminar Technologies Inc. (LAZR),12.0M,6.15,0.49,8.66
47,Venus Concept Inc. (VERO),70.8K,3.56,0.28,8.54
48,Nu Skin Enterprises Inc. Cl A (NUS),383.5K,7.51,0.58,8.37
49,EDAP TMS S.A. ADR (EDAP),580.3K,2.22,0.17,8.29
50,Winnebago Industries Inc. (WGO),1.7M,37.62,2.86,8.23
51,Creative Global Technology Holdings Ltd. (CGTL),394.9K,4.1,0.31,8.18
52,3 E Network Technology Group Ltd. Cl A (MASK),52.9K,3.92,0.29,8.15
