,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HSAI,Hesai Group,,22.30 +2.50 (+12.63%),2.5,+12.63%,8.52M,3.971M,2.843B,-,325.81%,
1,MHVIY,Mitsubishi Heavy Industries Ltd,,39.39 +4.37 (+12.48%),4.37,+12.48%,95373,222642,66.128B,38.24,43.58%,
2,TXHPF,"TechnoPro Holdings, Inc.",,20.03 +2.03 (+11.31%),2.03,+11.31%,18000,25,2.207B,18.90,-19.92%,
3,CELH,"Celsius Holdings, Inc.",,29.93 +2.85 (+10.52%),2.85,+10.52%,11.37M,9.88M,7.037B,66.51,-69.76%,
4,CALM,"Cal-Maine Foods, Inc.",,91.70 +8.67 (+10.44%),8.67,+10.44%,1.476M,934281,4.498B,7.13,37.38%,
5,QBTS,D-Wave Quantum Inc.,,11.21 +1.06 (+10.45%),1.06,+10.45%,205.804M,84.691M,2.988B,-,331.91%,
6,ASND,Ascendis Pharma A/S,,168.84 +15.86 (+10.37%),15.86,+10.37%,1.084M,462200,10.146B,-,4.03%,
7,ENPH,"Enphase Energy, Inc.",,63.80 +5.67 (+9.75%),5.67,+9.75%,4.446M,4.132M,8.452B,85.07,-47.72%,
8,DLO,DLocal Limited,,9.42 +0.80 (+9.28%),0.8,+9.28%,1.364M,1.312M,2.689B,24.15,-52.59%,
9,QFIN,"Qifu Technology, Inc.",,47.13 +3.94 (+9.12%),3.94,+9.12%,3.013M,1.207M,7.317B,9.72,133.84%,
10,AEO,"American Eagle Outfitters, Inc.",,12.04 +0.98 (+8.86%),0.98,+8.86%,12.244M,4.848M,2.313B,7.17,-53.00%,
11,BIDU,"Baidu, Inc.",,102.27 +8.45 (+9.01%),8.45,+9.01%,14.261M,4.76M,36.059B,11.23,-10.45%,
12,UEC,Uranium Energy Corp.,,5.50 +0.42 (+8.32%),0.42,+8.32%,9.849M,7.801M,2.359B,-,-20.38%,
13,RNA,"Avidity Biosciences, Inc.",,33.83 +2.72 (+8.74%),2.72,+8.74%,1.384M,1.355M,4.067B,-,30.00%,
14,SGBAF,SES S.A.,,6.50 +0.51 (+8.51%),0.51,+8.51%,1000,3251,3.451B,-,-8.62%,
15,VRNA,Verona Pharma plc,,66.56 +5.17 (+8.42%),5.17,+8.42%,1.374M,1.432M,8.857B,-,295.30%,
16,TCOM,Trip.com Group Limited,,66.67 +4.94 (+8.00%),4.94,+8.00%,5.663M,3.67M,43.409B,19.49,40.18%,
17,TAL,TAL Education Group,,14.33 +1.03 (+7.74%),1.03,+7.74%,6.942M,7.165M,8.659B,75.42,12.24%,
18,LION,Lionsgate Studios Corp.,,8.19 +0.60 (+7.91%),0.6,+7.91%,462331,335344,2.364B,-,-29.00%,
19,NFE,New Fortress Energy Inc.,,9.99 +0.73 (+7.88%),0.73,+7.88%,4.108M,5.125M,2.735B,-,-69.25%,
20,TNXP,Tonix Pharmaceuticals Holding Corp.,,16.28 +1.28 (+8.53%),1.28,+8.53%,665768,1.644M,91.012M,-,-98.58%,
21,RXRX,"Recursion Pharmaceuticals, Inc.",,6.84 +0.49 (+7.72%),0.49,+7.72%,16.649M,23.67M,2.75B,-,-44.40%,
22,CVI,"CVR Energy, Inc.",,20.69 +1.46 (+7.59%),1.46,+7.59%,992493,1.24M,2.08B,344.83,-45.95%,
23,MTSUY,Mitsubishi Corporation,,18.90 +1.32 (+7.51%),1.32,+7.51%,28823,81413,75.153B,10.68,-12.62%,
24,YOU,"Clear Secure, Inc.",,26.38 +1.86 (+7.59%),1.86,+7.59%,2.102M,2.152M,3.611B,16.91,26.92%,
25,PBF,PBF Energy Inc.,,22.29 +1.55 (+7.47%),1.55,+7.47%,2.204M,2.593M,2.57B,-,-62.84%,
26,LITE,Lumentum Holdings Inc.,,68.31 +4.70 (+7.39%),4.7,+7.39%,3.337M,2.377M,4.727B,-,35.95%,
27,HOOD,"Robinhood Markets, Inc.",,42.02 +2.78 (+7.08%),2.78,+7.08%,44.601M,31.258M,37.207B,26.94,115.49%,
28,SAIC,Science Applications International Corporation,,111.90 +7.47 (+7.15%),7.47,+7.15%,2.158M,704013,5.47B,18.84,-18.67%,
