,Unnamed: 0,Volume,Last,Chg,% Chg
0,Regencell Bioscience Holdings Ltd. (RGC),13.0M,10.22,6.02,143.33
1,Heidmar Maritime Holdings Corp. (HMR),57.0M,4.36,1.81,71.15
2,Micropolis Holding Co. (MCRP),607.0K,3.82,1.27,49.99
3,LZ Technology Holdings Ltd. Cl B (LZMH),182.4K,10.9,2.72,33.25
4,E.W. Scripps Co. Cl A (SSP),6.5M,2.68,0.64,30.98
5,Wang & Lee Group Inc. (WLGS),620.0K,4.06,0.94,30.13
6,Aveanna Healthcare Holdings Inc. (AVAH),2.1M,4.85,1.11,29.74
7,Quantum Corp. (QMCO),1.9M,14.58,3.32,29.52
8,MeiraGTx Holdings PLC (MGTX),4.4M,8.11,1.7,26.52
9,U-BX Technology Ltd. (UBXG),83.1K,3.79,0.67,21.49
10,Currenc Group Inc. (CURR),738.4K,3.57,0.58,19.4
11,FreightCar America Inc. (RAIL),797.3K,7.43,1.2,19.26
12,Exicure Inc. (XCUR),54.3K,12.5,1.93,18.26
13,D-Wave Quantum Inc. (QBTS),79.7M,6.81,0.99,17.01
14,OptimizeRx Corp. (OPRX),1.9M,7.29,1.01,16.08
15,First Financial Northwest Inc. (FFNW),84.2K,22.57,3.02,15.45
16,Amber International Holding Ltd. ADR (AMBR),168.7K,10.66,1.42,15.38
17,Intel Corp. (INTC),160.7M,23.85,3.17,15.33
18,Yatsen Holding Ltd. ADR (YSG),326.9K,4.96,0.65,15.08
19,iHuman Inc. ADR (IH),241.4K,2.52,0.31,14.03
20,Algorhythm Holdings Inc. (RIME),373.8K,2.4,0.29,13.89
21,Blade Air Mobility Inc. (BLDE),1.6M,3.2,0.37,13.07
22,Yoshiharu Global Co. (YOSH),85.1K,16.81,1.93,12.97
23,Perma-Fix Environmental Services Inc. (PESI),101.5K,8.16,0.92,12.71
24,Concrete Pumping Holdings Inc. (BBCP),302.3K,5.55,0.59,11.9
25,Fabrinet (FN),961.5K,225.5,23.61,11.7
26,Professional Diversity Network Inc. (IPDN),106.6K,2.33,0.23,10.79
27,Performant Healthcare Inc. (PHLT),79.9K,2.78,0.26,10.32
28,Aurora Mobile Ltd. ADR (JG),83.6K,9.9,0.88,9.76
29,Yalla Group Ltd. ADR (YALA),1.1M,4.84,0.42,9.5
30,Pheton Holdings Ltd. Cl A (PTHL),61.3K,4.2,0.35,9.09
31,Baird Medical Investment Holdings Ltd. (BDMD),62.6K,5.76,0.47,8.94
32,Aris Mining Corp. (ARMN),939.4K,4.42,0.36,8.87
33,MicroAlgo Inc. (MLGO),1.7M,4.31,0.35,8.85
34,NextNav Inc. (NN),2.1M,11.15,0.88,8.59
35,Claros Mortgage Trust Inc. (CMTG),1.2M,3.7,0.28,8.31
36,First Majestic Silver Corp. (AG),17.0M,6.62,0.48,7.77
37,Idaho Strategic Resources Inc. (IDR),95.7K,12.4,0.89,7.69
38,Shoals Technologies Group Inc. (SHLS),3.2M,3.16,0.23,7.65
39,N-able Inc. (NABL),575.8K,7.68,0.53,7.34
40,Cibus Inc. (CBUS),309.4K,2.32,0.16,7.41
41,Phreesia Inc. (PHR),501.7K,25.5,1.7,7.14
42,Cool Co. Ltd. (CLCO),89.2K,5.7,0.38,7.14
43,Blaize Holdings Inc. (BZAI),578.3K,3.54,0.23,6.8
44,Dollar Tree Inc. (DLTR),3.0M,65.82,3.9,6.31
45,Savara Inc. (SVRA),693.4K,2.76,0.16,6.15
46,Blackboxstocks Inc. (BLBX),108.7K,3.18,0.18,6.0
47,Ceragon Networks Ltd. (CRNT),1.1M,2.64,0.14,5.82
48,A2Z Cust2Mate Solutions Corp. (AZ),156.5K,6.3,0.34,5.7
49,New Gold Inc. (NGD),17.2M,3.26,0.17,5.68
50,NovaGold Resources Inc. (NG),1.1M,3.44,0.18,5.67
51,Ramaco Resources Inc. Cl A (METC),422.6K,9.36,0.5,5.64
52,B2Gold Corp. (BTG),22.0M,2.92,0.15,5.62
53,Xponential Fitness Inc. (XPOF),256.5K,12.81,0.68,5.61
54,Hallador Energy Co. (HNRG),802.9K,10.38,0.55,5.54
55,Pacira BioSciences Inc. (PCRX),240.9K,23.24,1.2,5.44
56,Telomir Pharmaceuticals Inc. (TELO),128.0K,5.2,0.27,5.36
57,Gray Media Inc. (GTN),1.6M,4.33,0.22,5.33
58,Dollar General Corp. (DG),4.4M,78.71,3.86,5.16
59,Legacy Housing Corp. (LEGH),62.0K,26.02,1.27,5.13
60,Newmont Corp. (NEM),5.5M,45.84,2.21,5.07
61,G-III Apparel Group Ltd. (GIII),744.4K,26.56,1.22,4.81
62,Mercury Systems Inc. (MRCY),198.0K,44.12,2.02,4.8
63,Hello Group Inc. ADR (MOMO),872.9K,7.12,0.33,4.78
64,SolarBank Corp. (SUUN),114.7K,4.55,0.2,4.6
65,Skeena Resources Ltd. (SKE),100.1K,10.21,0.44,4.5
66,Build-A-Bear Workshop Inc. (BBW),297.7K,37.08,1.58,4.46
67,aTyr Pharma Inc. (ATYR),682.9K,3.7,0.15,4.37
68,Compania de Minas Buenaventura S.A. ADR (BVN),250.3K,14.24,0.59,4.36
69,XTI Aerospace Inc. (XTIA),54.9K,2.88,0.12,4.35
70,GEN Restaurant Group Inc. Cl A (GENK),80.0K,6.08,0.25,4.29
71,SSR Mining Inc. (SSRM),1.8M,10.67,0.43,4.17
72,XPeng Inc. ADR (XPEV),12.2M,25.75,1.02,4.12
73,Green Dot Corp. Cl A (GDOT),356.2K,6.6,0.26,4.1
74,Allegro MicroSystems Inc. (ALGM),1.9M,25.94,0.99,3.99
75,Scholastic Corp. (SCHL),125.1K,19.77,0.74,3.89
76,EUDA Health Holdings Ltd. (EUDA),65.0K,3.77,0.14,3.87
77,AES Corp. (AES),5.6M,12.28,0.46,3.85
78,Freeport-McMoRan Inc. (FCX),11.1M,38.18,1.4,3.81
79,Vodafone Group PLC ADR (VOD),12.5M,9.5,0.34,3.71
80,Ultrapar Participacoes S/A ADR (UGP),655.7K,2.83,0.1,3.66
81,A-Mark Precious Metals Inc. (AMRK),78.2K,27.83,0.98,3.65
82,Cosan S.A. ADR (CSAN),474.3K,4.97,0.17,3.65
83,Orla Mining Ltd. (ORLA),769.7K,8.14,0.28,3.63
84,Arbutus Biopharma Corp. (ABUS),610.0K,3.3,0.12,3.61
85,Soleno Therapeutics Inc. (SLNO),373.1K,48.38,1.68,3.6
86,Ascent Industries Co. (ACNT),86.6K,12.2,0.42,3.57
87,Seabridge Gold Inc. (SA),163.6K,11.65,0.4,3.56
88,Coeur Mining Inc. (CDE),15.8M,5.91,0.2,3.5
89,Silvercorp Metals Inc. (SVM),5.5M,4.12,0.14,3.39
90,Eldorado Gold Corp. (EGO),612.6K,15.14,0.49,3.38
91,Alkami Technology Inc. (ALKT),854.0K,25.1,0.82,3.38
92,Junee Ltd. (JUNE),53.5K,4.96,0.16,3.33
93,Mingteng International Corp. Inc. (MTEN),103.3K,4.7,0.15,3.3
94,Hycroft Mining Holding Corp. (HYMC),117.7K,2.82,0.09,3.3
95,Fidelity National Information Services Inc. (FIS),1.6M,70.34,2.22,3.26
96,JELD-WEN Holding Inc. (JELD),420.1K,6.03,0.19,3.25
97,MAG Silver Corp. (MAG),328.6K,16.25,0.51,3.24
98,McEwen Mining Inc. (MUX),587.0K,7.71,0.24,3.21
99,Siyata Mobile Inc. (SYTA),114.0K,2.23,0.07,3.21
