,Unnamed: 0,Volume,Last,Chg,% Chg
0,Redfin Corp. (RDFN),93.2M,9.77,3.95,67.87
1,Checkpoint Therapeutics Inc. (CKPT),60.5M,3.98,1.51,61.13
2,Protagonist Therapeutics Inc. (PTGX),5.2M,55.95,17.6,45.89
3,Bally's Corp. (BALY),61.3K,17.25,5.13,42.33
4,Mineralys Therapeutics Inc. (MLYS),14.8M,14.96,4.44,42.21
5,Trevi Therapeutics Inc. (TRVI),57.3M,6.07,1.77,41.16
6,Pheton Holdings Ltd. Cl A (PTHL),483.4K,3.2,0.9,39.13
7,Atlantic International Corp. (ATLN),57.1K,4.87,1.3,36.41
8,LZ Technology Holdings Ltd. Cl B (LZMH),670.7K,15.66,3.62,30.07
9,Dogwood Therapeutics Inc. (DWTX),10.9M,8.44,1.84,27.88
10,Skyline Builders Group Holding Ltd. Cl A (SKBL),383.0K,10.85,2.18,25.14
11,SolarBank Corp. (SUUN),616.5K,4.49,0.8,21.68
12,Currenc Group Inc. (CURR),737.4K,2.63,0.38,16.89
13,Wang & Lee Group Inc. (WLGS),690.5K,4.42,0.62,16.32
14,CTRL Group Ltd. (MCTR),254.2K,5.55,0.75,15.62
15,Veren Inc. (VRN),64.4M,5.68,0.77,15.58
16,Karyopharm Therapeutics Inc. (KPTI),232.3K,7.66,0.77,11.18
17,Pro-Dex Inc. (PDEX),100.1K,44.37,4.29,10.7
18,Nuvectis Pharma Inc. (NVCT),168.4K,7.62,0.69,9.96
19,Embecta Corp. (EMBC),965.8K,13.96,1.21,9.49
20,WK Kellogg Co. (KLG),1.8M,21.95,1.9,9.48
21,908 Devices Inc. (MASS),1.7M,3.02,0.26,9.42
22,Electrovaya Inc. (ELVA),139.5K,2.45,0.21,9.37
23,Belpointe PREP LLC (OZ),56.1K,79.25,6.25,8.56
24,Xeris Biopharma Holdings Inc. (XERS),6.0M,4.59,0.35,8.25
25,iHuman Inc. ADR (IH),151.2K,2.25,0.17,8.17
26,Carter's Inc. (CRI),2.6M,44.0,3.27,8.03
27,Magic Software Enterprises Ltd. (MGIC),369.3K,12.85,0.95,7.98
28,Park Ha Biological Technology Co. Ltd. (PHH),406.9K,8.3,0.61,7.93
29,Dave & Buster's Entertainment Inc. (PLAY),1.7M,20.81,1.51,7.85
30,QuantaSing Group Ltd. ADR (QSG),81.2K,2.66,0.19,7.69
31,Rimini Street Inc. (RMNI),860.6K,3.96,0.28,7.61
32,Mueller Water Products Inc. (MWA),4.2M,26.92,1.86,7.45
33,ODP Corp. (ODP),1.0M,17.81,1.2,7.22
34,Staar Surgical Co. (STAA),2.1M,19.65,1.31,7.14
35,Kratos Defense & Security Solutions Inc. (KTOS),7.3M,29.18,1.89,6.93
36,Oncocyte Corp. (OCX),213.7K,4.17,0.27,6.92
37,Beacon Roofing Supply Inc. (BECN),4.6M,118.52,7.42,6.68
38,GH Research PLC (GHRS),413.1K,11.2,0.7,6.67
39,Medicus Pharma Ltd. (MDCX),165.8K,3.25,0.2,6.56
40,Bloomin' Brands Inc. (BLMN),3.6M,9.35,0.56,6.37
41,Core Natural Resources Inc. (CNR),977.4K,71.59,4.27,6.34
42,WillScot Holdings Corp. (WSC),8.7M,29.76,1.69,6.02
43,PMGC Holdings Inc. (ELAB),155.5K,5.34,0.3,5.95
44,Belite Bio Inc. ADR (BLTE),160.5K,66.95,3.76,5.95
45,Arq Inc. (ARQ),425.2K,5.17,0.29,5.94
46,OFS Capital Corp. (OFS),192.2K,9.45,0.52,5.82
47,Polar Power Inc. (POLA),164.9K,3.15,0.17,5.7
48,Toro Co. (TTC),1.6M,77.32,4.07,5.55
49,TTEC Holdings Inc. (TTEC),661.0K,3.73,0.19,5.37
50,Regeneron Pharmaceuticals Inc. (REGN),1.6M,744.83,37.32,5.27
