,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
28,ELP,Companhia Paranaense de Energia - COPEL,,7.72 +0.31 (+4.18%),0.31,+4.18%,139772,249638,5.504B,14.04,-5.00%,
29,PPC,Pilgrim's Pride Corporation,,51.06 +2.06 (+4.20%),2.06,+4.20%,1.768M,1.369M,12.107B,11.17,58.82%,
30,TU,TELUS Corporation,,14.56 +0.57 (+4.07%),0.57,+4.07%,3.682M,3.732M,22.092B,30.98,-12.34%,
31,IMBBY,Imperial Brands PLC,,38.08 +1.45 (+3.96%),1.45,+3.96%,40610,241168,31.844B,9.87,64.19%,
32,AUOTY,AUO Corporation,,5.26 +0.20 (+3.95%),0.2,+3.95%,61951,58706,3.97B,-,-9.48%,
33,AWK,"American Water Works Company, Inc.",,151.98 +5.79 (+3.96%),5.79,+3.96%,2.516M,1.484M,29.637B,28.20,21.44%,
34,AMX,"América Móvil, S.A.B. de C.V.",,15.02 +0.56 (+3.91%),0.56,+3.91%,3.182M,1.688M,46.092B,33.39,-22.34%,
35,BCE,BCE Inc.,,22.66 +0.84 (+3.85%),0.84,+3.85%,4.203M,3.089M,20.923B,188.83,-34.22%,
36,FMS,Fresenius Medical Care AG,,25.67 +0.94 (+3.79%),0.94,+3.79%,429944,290423,15.115B,25.93,32.03%,
37,PM,Philip Morris International Inc.,,162.07 +5.90 (+3.78%),5.9,+3.78%,9.085M,6.121M,252.26B,26.97,73.33%,
38,BOLSY,"B3 S.A. - Brasil, Bolsa, Balcão",,6.68 +0.24 (+3.73%),0.24,+3.73%,39921,131813,12.015B,15.18,-7.97%,
39,GSK,GSK plc,,38.98 +1.34 (+3.57%),1.34,+3.57%,9.257M,4.963M,79.873B,24.21,-7.88%,
40,XIACY,Xiaomi Corporation,,29.38 +1.03 (+3.63%),1.03,+3.63%,427290,868730,153.656B,45.91,154.90%,
41,ALHC,"Alignment Healthcare, Inc.",,18.51 +0.66 (+3.70%),0.66,+3.70%,2.632M,2.288M,3.551B,-,279.79%,
42,COR,"Cencora, Inc.",,289.36 +9.85 (+3.52%),9.85,+3.52%,2.876M,1.6M,56.053B,41.10,15.48%,
43,NSRGY,Nestlé S.A.,,105.28 +3.52 (+3.46%),3.52,+3.46%,139911,904750,270.856B,22.21,-3.21%,
44,TIMB,TIM S.A.,,16.51 +0.55 (+3.43%),0.55,+3.43%,621330,599310,7.99B,14.48,-13.54%,
45,MCK,McKesson Corporation,,717.49 +23.96 (+3.45%),23.96,+3.45%,2.032M,840368,89.92B,32.94,29.68%,
46,VIV,Telefônica Brasil S.A.,,9.30 +0.31 (+3.39%),0.31,+3.39%,955756,884378,15.17B,15.75,-12.46%,
47,UNH,UnitedHealth Group Incorporated,,541.08 +17.88 (+3.42%),17.88,+3.42%,5.62M,4.768M,494.932B,34.93,14.89%,
48,KT,KT Corporation,,17.88 +0.57 (+3.29%),0.57,+3.29%,1.274M,1.423M,8.791B,27.51,28.89%,
49,BAESY,BAE Systems plc,,85.49 +2.72 (+3.29%),2.72,+3.29%,78358,625155,62.635B,25.83,22.79%,
50,TIGO,Millicom International Cellular S.A.,,30.50 +0.97 (+3.28%),0.97,+3.28%,1.289M,732985,5.132B,20.61,45.47%,
51,BKGFY,The Berkeley Group Holdings plc,,9.56 +0.30 (+3.24%),0.3,+3.24%,51285,284103,4.814B,9.96,-26.10%,
52,WTRG,"Essential Utilities, Inc.",,40.65 +1.26 (+3.20%),1.26,+3.20%,1.49M,1.637M,11.2B,18.73,7.92%,
53,CCI,Crown Castle Inc.,,107.07 +3.26 (+3.14%),3.26,+3.14%,4.001M,3.379M,46.622B,-,2.47%,
54,TGOPY,3i Group plc,,24.63 +0.74 (+3.10%),0.74,+3.10%,15030,174411,47.557B,8.77,35.76%,
55,ITUB,Itaú Unibanco Holding S.A.,,5.70 +0.17 (+3.07%),0.17,+3.07%,37.556M,26.124M,57.948B,8.64,-6.27%,
56,BJ,"BJ's Wholesale Club Holdings, Inc.",,118.57 +3.60 (+3.13%),3.6,+3.13%,3.098M,1.786M,15.613B,29.64,51.22%,
57,RCI,Rogers Communications Inc.,,26.06 +0.77 (+3.04%),0.77,+3.04%,1.59M,1.132M,14.362B,11.74,-35.73%,
58,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,,7.34 +0.22 (+3.02%),0.22,+3.02%,1.387M,1.268M,16.759B,9.28,-12.85%,
59,DUK,Duke Energy Corporation,,124.06 +3.67 (+3.05%),3.67,+3.05%,6.37M,3.832M,96.394B,21.80,25.25%,
