,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,GT,The Goodyear Tire & Rubber Company,,10.19 +1.07 (+11.73%),1.07,+11.73%,21.665M,5.583M,2.905B,42.46,-30.59%,
1,LW,"Lamb Weston Holdings, Inc.",,59.59 +5.44 (+10.05%),5.44,+10.05%,9.777M,2.712M,8.5B,23.46,-33.58%,
2,GBOOY,"Grupo Financiero Banorte, S.A.B. de C.V.",,38.78 +3.50 (+9.97%),3.5,+9.97%,25879,46571,21.95B,7.95,-35.38%,
3,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",,24.93 +2.13 (+9.34%),2.13,+9.34%,390311,211525,2.156B,9.85,-42.19%,
4,MOH,"Molina Healthcare, Inc.",,353.47 +24.98 (+7.60%),24.98,+7.60%,1.411M,732151,19.335B,17.30,-12.47%,
5,SAABY,Saab AB (publ),,20.80 +1.27 (+6.53%),1.27,+6.53%,41376,199901,22.135B,54.74,61.06%,
6,TSCDY,Tesco PLC,,13.72 +0.86 (+6.69%),0.86,+6.69%,393024,288780,30.627B,13.19,14.97%,
7,PAGS,PagSeguro Digital Ltd.,,8.50 +0.51 (+6.38%),0.51,+6.38%,6.447M,4.329M,2.583B,7.33,-41.21%,
8,STNE,StoneCo Ltd.,,11.39 +0.66 (+6.15%),0.66,+6.15%,10.017M,6.494M,3.124B,-,-36.32%,
9,CNC,Centene Corporation,,64.29 +3.56 (+5.87%),3.56,+5.87%,7.223M,4.471M,31.894B,10.19,-15.71%,
10,DANOY,Danone S.A.,,16.10 +0.87 (+5.71%),0.87,+5.71%,153288,745018,52.003B,23.68,22.12%,
11,NGG,National Grid plc,,69.40 +3.62 (+5.50%),3.62,+5.50%,1.004M,688271,67.972B,26.29,-3.56%,
12,ELV,"Elevance Health, Inc.",,452.65 +23.32 (+5.43%),23.32,+5.43%,2.975M,1.632M,102.474B,17.63,-13.89%,
13,WMMVY,"Wal-Mart de México, S.A.B. de C.V.",,29.74 +1.50 (+5.31%),1.5,+5.31%,76655,127176,52.253B,19.70,-28.27%,
14,ORANY,Orange S.A.,,13.70 +0.69 (+5.30%),0.69,+5.30%,48419,204233,36.594B,17.12,11.29%,
15,SBAC,SBA Communications Corporation,,230.87 +11.53 (+5.26%),11.53,+5.26%,1.563M,844430,24.845B,33.31,2.60%,
16,RNMBY,Rheinmetall AG,,296.10 +14.14 (+5.01%),14.14,+5.01%,20642,115861,66.806B,76.71,141.36%,
17,KR,The Kroger Co.,,70.75 +3.48 (+5.17%),3.48,+5.17%,13.478M,5.947M,46.755B,19.28,17.11%,
18,FSLR,"First Solar, Inc.",,136.23 +6.41 (+4.94%),6.41,+4.94%,8.748M,2.826M,14.585B,11.33,-24.29%,
19,AMT,American Tower Corporation,,228.14 +10.24 (+4.70%),10.24,+4.70%,5.296M,2.542M,106.796B,33.02,14.50%,
20,DG,Dollar General Corporation,,94.46 +4.26 (+4.72%),4.26,+4.72%,10.463M,3.936M,20.776B,18.49,-43.28%,
21,SSEZY,SSE plc,,21.80 +0.98 (+4.71%),0.98,+4.71%,28065,200623,23.965B,9.73,-0.05%,
22,UL,Unilever PLC,,62.54 +2.68 (+4.49%),2.68,+4.49%,6.367M,2.621M,153.926B,25.22,22.87%,
23,XIACF,Xiaomi Corporation,,5.92 +0.25 (+4.41%),0.25,+4.41%,25555,187780,153.427B,45.54,183.42%,
24,BTI,British American Tobacco p.l.c.,,41.92 +1.67 (+4.16%),1.67,+4.16%,8.532M,4.687M,94.282B,23.82,35.66%,
25,CSAN,Cosan S.A.,,5.55 +0.23 (+4.29%),0.23,+4.29%,1.463M,1.064M,2.578B,-,-56.43%,
26,FCFS,"FirstCash Holdings, Inc.",,127.31 +5.23 (+4.28%),5.23,+4.28%,538854,253358,5.698B,22.22,-0.89%,
27,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,,18.70 +0.78 (+4.38%),0.78,+4.38%,1.261M,882111,12.829B,17.48,8.02%,
