,Unnamed: 0,Volume,Last,Chg,% Chg
0,Redfin Corp. (RDFN),67.9M,9.79,3.97,68.18
1,Mineralys Therapeutics Inc. (MLYS),10.4M,17.5,6.99,66.4
2,Checkpoint Therapeutics Inc. (CKPT),42.7M,4.04,1.56,63.36
3,Protagonist Therapeutics Inc. (PTGX),3.1M,55.95,17.6,45.89
4,Trevi Therapeutics Inc. (TRVI),50.0M,5.93,1.63,37.91
5,LZ Technology Holdings Ltd. Cl B (LZMH),287.5K,15.46,3.42,28.41
6,Skyline Builders Group Holding Ltd. Cl A (SKBL),259.4K,10.85,2.18,25.14
7,Dogwood Therapeutics Inc. (DWTX),8.0M,8.25,1.65,24.96
8,Pheton Holdings Ltd. Cl A (PTHL),177.5K,2.85,0.55,23.91
9,SolarBank Corp. (SUUN),343.6K,4.4,0.71,19.24
10,Veren Inc. (VRN),38.3M,5.62,0.71,14.56
11,Karyopharm Therapeutics Inc. (KPTI),181.4K,7.81,0.92,13.35
12,Pro-Dex Inc. (PDEX),53.5K,44.8,4.72,11.78
13,Wang & Lee Group Inc. (WLGS),644.4K,4.24,0.44,11.58
14,iHuman Inc. ADR (IH),72.1K,2.31,0.23,11.09
15,Nuvectis Pharma Inc. (NVCT),96.1K,7.66,0.73,10.53
16,Staar Surgical Co. (STAA),873.3K,20.24,1.9,10.36
17,WK Kellogg Co. (KLG),779.5K,22.03,1.98,9.88
18,Kratos Defense & Security Solutions Inc. (KTOS),3.0M,29.9,2.61,9.56
19,Biodexa Pharmaceuticals PLC ADR (BDRX),24.8M,3.33,0.28,9.31
20,e.l.f. Beauty Inc. (ELF),2.5M,76.99,6.31,8.93
21,Dave & Buster's Entertainment Inc. (PLAY),806.8K,20.96,1.67,8.63
22,Electrovaya Inc. (ELVA),87.9K,2.42,0.18,8.26
23,Currenc Group Inc. (CURR),378.4K,2.43,0.18,8.12
24,Mueller Water Products Inc. (MWA),2.2M,27.08,2.03,8.1
25,Medicus Pharma Ltd. (MDCX),119.7K,3.29,0.24,7.85
26,Hooker Furnishings Corp. (HOFT),58.7K,13.23,0.93,7.74
27,Carter's Inc. (CRI),844.9K,43.88,3.15,7.72
28,Enphase Energy Inc. (ENPH),2.8M,66.32,4.69,7.61
29,Beacon Roofing Supply Inc. (BECN),2.5M,119.38,8.28,7.45
30,Tonix Pharmaceuticals Holding Corp. (TNXP),1.9M,13.98,0.95,7.33
31,Bloomin' Brands Inc. (BLMN),1.2M,9.43,0.64,7.28
32,TTEC Holdings Inc. (TTEC),259.1K,3.78,0.24,6.92
33,DBV Technologies S.A. ADR (DBVT),57.5K,4.46,0.28,6.81
34,Arq Inc. (ARQ),237.8K,5.2,0.32,6.56
35,Array Technologies Inc. (ARRY),2.6M,6.54,0.4,6.42
36,2seventy bio Inc. (TSVT),179.4K,2.83,0.17,6.39
37,Aardvark Therapeutics Inc. (AARD),58.8K,10.75,0.62,6.12
38,Amplify Energy Corp. (AMPY),581.4K,4.02,0.23,6.07
39,AirSculpt Technologies Inc. (AIRS),208.1K,3.6,0.2,6.04
40,ODP Corp. (ODP),273.2K,17.61,1.0,6.0
41,Cracker Barrel Old Country Store Inc. (CBRL),745.5K,45.36,2.54,5.94
42,Advance Auto Parts Inc. (AAP),1.9M,37.45,2.08,5.88
43,Core Natural Resources Inc. (CNR),402.3K,71.09,3.77,5.6
44,Kodiak Sciences Inc. (KOD),242.9K,3.82,0.2,5.52
45,Anavex Life Sciences Corp. (AVXL),399.2K,9.14,0.47,5.42
46,Capstone Holding Corp. (CAPS),52.7K,3.5,0.18,5.42
47,WillScot Holdings Corp. (WSC),3.4M,29.59,1.52,5.42
48,Embecta Corp. (EMBC),197.9K,13.42,0.68,5.29
49,908 Devices Inc. (MASS),658.0K,2.9,0.14,5.25
50,Park Ha Biological Technology Co. Ltd. (PHH),256.7K,8.09,0.4,5.2
51,Harley-Davidson Inc. (HOG),2.2M,27.44,1.34,5.16
52,SunRun Inc. (RUN),7.3M,7.52,0.36,5.1
53,Sight Sciences Inc. (SGHT),242.7K,2.48,0.12,5.08
54,Regeneron Pharmaceuticals Inc. (REGN),555.4K,742.99,35.48,5.01
55,Service Corp. International (SCI),734.4K,84.91,4.05,5.01
56,Belite Bio Inc. ADR (BLTE),109.2K,66.35,3.16,5.0
57,Toro Co. (TTC),737.5K,76.88,3.63,4.96
58,Evolent Health Inc. Cl A (EVH),1.5M,9.43,0.44,4.89
59,Etsy Inc. (ETSY),2.2M,49.05,2.25,4.81
60,Insperity Inc. (NSP),298.6K,94.64,4.28,4.73
61,Cabot Corp. (CBT),216.2K,88.78,3.9,4.59
62,Dream Finders Homes Inc. (DFH),231.4K,26.52,1.15,4.52
63,ResMed Inc. (RMD),611.0K,242.95,10.51,4.52
64,AES Corp. (AES),8.2M,11.76,0.51,4.49
65,Shoals Technologies Group Inc. (SHLS),3.0M,2.94,0.13,4.43
66,ProFrac Holding Corp. (ACDC),199.3K,7.36,0.31,4.4
67,Coty Inc. Cl A (COTY),2.4M,6.1,0.26,4.36
68,HCA Healthcare Inc. (HCA),1.1M,344.46,14.31,4.33
69,Medifast Inc. (MED),96.7K,15.06,0.63,4.33
70,Sally Beauty Holdings Inc. (SBH),1.2M,9.71,0.4,4.3
71,McCormick & Co. Inc. (MKC),1.6M,86.14,3.52,4.25
72,Yalla Group Ltd. ADR (YALA),368.4K,4.18,0.17,4.24
73,Equinor ASA ADR (EQNR),3.1M,24.14,0.97,4.2
74,Spruce Power Holding Corp. (SPRU),85.0K,2.62,0.1,4.17
75,Medpace Holdings Inc. (MEDP),238.2K,346.63,13.82,4.15
76,Mayville Engineering Co. Inc. (MEC),68.7K,14.96,0.59,4.14
77,B&G Foods Inc. (BGS),1.2M,7.96,0.32,4.12
