,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,TNXP,Tonix Pharmaceuticals Holding Corp.,,19.10 +0.91 (+5.00%),0.91,+5.00%,85215,1.503M,106.777M,-,-98.38%,
1,TBBB,BBB Foods Inc.,,25.38 -0.27 (-1.05%),-0.27,-1.05%,6590,1.03M,2.898B,211.50,8.96%,
2,BE,Bloom Energy Corporation,,24.90 -0.51 (-2.00%),-0.51,-2.00%,435481,6.384M,5.737B,-,157.45%,
3,CAVA,"CAVA Group, Inc.",,82.73 -1.93 (-2.28%),-1.93,-2.28%,94122,2.909M,9.563B,75.21,24.57%,
4,IMVT,"Immunovant, Inc.",,19.48 -0.21 (-1.07%),-0.21,-1.07%,109018,1.353M,3.309B,-,-38.85%,
5,GENI,Genius Sports Limited,,9.86 -0.19 (-1.84%),-0.19,-1.84%,82935,2.859M,2.296B,-,79.14%,
6,CLS,Celestica Inc.,,94.30 -1.35 (-1.41%),-1.35,-1.41%,100919,4.562M,10.935B,26.12,103.38%,
7,SAM,"The Boston Beer Company, Inc.",,227.03 -0.48 (-0.21%),-0.48,-0.21%,6833,208093,2.553B,44.96,-25.92%,
8,SRUUF,Sprott Physical Uranium Trust Fund,,15.17 +0.55 (+3.76%),0.55,+3.76%,215564,567018,4.067B,2.12,-27.52%,
9,PUK,Prudential plc,,20.50 -0.21 (-1.01%),-0.21,-1.01%,20470,985789,26.763B,12.20,4.28%,
10,ALNY,"Alnylam Pharmaceuticals, Inc.",,268.50 +14.96 (+5.90%),14.96,+5.90%,132049,678254,34.759B,-,73.06%,
11,APP,AppLovin Corporation,,305.07 -1.67 (-0.54%),-1.67,-0.54%,463427,7.092M,103.711B,67.20,330.63%,
12,AMRX,"Amneal Pharmaceuticals, Inc.",,8.88 -0.13 (-1.44%),-0.13,-1.44%,261194,1.462M,4.103B,-,48.43%,
13,GEO,"The GEO Group, Inc.",,28.77 -0.30 (-1.01%),-0.3,-1.01%,236371,2.844M,4.039B,130.80,98.84%,
