,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,INTC,Intel Corporation,,23.84 +3.16 (+15.28%),3.16,+15.28%,162.675M,92.165M,103.227B,-,-51.63%,
1,FN,Fabrinet,,225.90 +24.02 (+11.90%),24.02,+11.90%,993030,694106,8.13B,25.27,1.99%,
2,DLTR,"Dollar Tree, Inc.",,65.81 +3.89 (+6.27%),3.89,+6.27%,3.044M,2.963M,14.151B,-,-50.55%,
3,DG,Dollar General Corporation,,78.65 +3.80 (+5.08%),3.8,+5.08%,4.534M,3.674M,17.297B,12.98,-50.12%,
4,NEM,Newmont Corporation,,45.90 +2.27 (+5.20%),2.27,+5.20%,5.634M,10.071M,51.723B,16.05,27.54%,
5,MRCY,"Mercury Systems, Inc.",,44.16 +2.06 (+4.89%),2.06,+4.89%,202653,522350,2.636B,-,43.15%,
6,BVN,Compañía de Minas Buenaventura S.A.A.,,14.26 +0.61 (+4.51%),0.61,+4.51%,260947,943853,3.617B,9.83,-21.20%,
7,SSRM,SSR Mining Inc.,,10.68 +0.44 (+4.25%),0.44,+4.25%,1.888M,2.743M,2.16B,-,149.76%,
8,XPEV,XPeng Inc.,,25.70 +0.98 (+3.94%),0.98,+3.94%,12.64M,11.341M,24.161B,-,163.37%,
9,ALGM,"Allegro MicroSystems, Inc.",,25.93 +0.99 (+3.97%),0.99,+3.97%,1.909M,3.066M,4.774B,-,-12.28%,
10,FCX,Freeport-McMoRan Inc.,,38.22 +1.44 (+3.92%),1.44,+3.92%,11.592M,14.506M,54.925B,29.40,-15.10%,
11,AES,The AES Corporation,,12.28 +0.45 (+3.80%),0.45,+3.80%,5.764M,15.217M,8.742B,5.18,-21.29%,
12,ORLA,Orla Mining Ltd.,,8.14 +0.29 (+3.69%),0.29,+3.69%,779863,760468,2.618B,-,112.74%,
13,CDE,"Coeur Mining, Inc.",,5.93 +0.22 (+3.77%),0.22,+3.77%,16.099M,16.678M,3.783B,39.50,80.13%,
14,VOD,Vodafone Group Public Limited Company,,9.49 +0.33 (+3.60%),0.33,+3.60%,12.747M,9.455M,23.74B,9.99,7.89%,
15,SLNO,"Soleno Therapeutics, Inc.",,48.49 +1.78 (+3.82%),1.78,+3.82%,383309,509431,2.223B,-,10.85%,
16,EGO,Eldorado Gold Corporation,,15.16 +0.52 (+3.52%),0.52,+3.52%,639879,1.645M,3.108B,10.39,14.81%,
17,ALKT,"Alkami Technology, Inc.",,25.10 +0.82 (+3.38%),0.82,+3.38%,877953,865122,2.566B,-,3.58%,
18,FIS,"Fidelity National Information Services, Inc.",,70.38 +2.26 (+3.32%),2.26,+3.32%,1.725M,3.418M,37.28B,49.56,-0.15%,
19,GOLD,Barrick Gold Corporation,,18.93 +0.59 (+3.24%),0.59,+3.24%,14.373M,22.48M,32.703B,15.52,16.37%,
20,AU,AngloGold Ashanti plc,,32.66 +1.01 (+3.19%),1.01,+3.19%,1.15M,2.438M,16.446B,14.02,42.70%,
21,SCCO,Southern Copper Corporation,,93.15 +2.82 (+3.12%),2.82,+3.12%,782882,1.155M,74.168B,21.61,-6.01%,
22,OR,Osisko Gold Royalties Ltd,,19.56 +0.59 (+3.11%),0.59,+3.11%,578004,724601,3.653B,217.33,19.53%,
23,HL,Hecla Mining Company,,5.79 +0.22 (+3.95%),0.22,+3.95%,21.452M,17.394M,3.658B,96.50,28.94%,
