,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,NFE,New Fortress Energy Inc.,,8.57 +0.99 (+13.06%),0.99,+13.06%,8.606M,5.518M,2.346B,-,-71.17%,
1,RNA,"Avidity Biosciences, Inc.",,29.77 +3.03 (+11.33%),3.03,+11.33%,3.146M,1.439M,3.579B,-,25.66%,
2,SWTX,"SpringWorks Therapeutics, Inc.",,46.52 +4.64 (+11.08%),4.64,+11.08%,2.502M,2.566M,3.486B,-,4.49%,
3,ACLX,"Arcellx, Inc.",,67.23 +6.53 (+10.76%),6.53,+10.76%,897107,667980,3.694B,-,8.42%,
4,AMTM,"Amentum Holdings, Inc.",,19.71 +1.84 (+10.30%),1.84,+10.30%,5.827M,2.554M,4.796B,-,-33.21%,
5,RKT,"Rocket Companies, Inc.",,13.86 +1.26 (+10.00%),1.26,+10.00%,34.878M,6.645M,27.544B,66.00,6.04%,
6,MRX,Marex Group plc,,38.84 +3.16 (+8.86%),3.16,+8.86%,1.367M,424995,2.73B,14.28,104.53%,
7,SMMT,Summit Therapeutics Inc.,,20.46 +1.66 (+8.83%),1.66,+8.83%,2.404M,2.468M,15.093B,-,477.97%,
8,RGTI,"Rigetti Computing, Inc.",,8.49 +0.68 (+8.71%),0.68,+8.71%,43.414M,104.601M,2.427B,-,510.79%,
9,MRUS,Merus N.V.,,43.01 +3.41 (+8.61%),3.41,+8.61%,809058,678591,2.972B,-,-3.46%,
10,AKRO,"Akero Therapeutics, Inc.",,41.95 +3.31 (+8.57%),3.31,+8.57%,1.694M,1.387M,3.34B,-,82.63%,
11,SRRK,Scholar Rock Holding Corporation,,32.54 +2.48 (+8.25%),2.48,+8.25%,1.445M,1.011M,3.081B,-,125.97%,
12,UWMC,UWM Holdings Corporation,,5.79 +0.44 (+8.22%),0.44,+8.22%,30.257M,4.11M,9.869B,44.54,-10.23%,
13,IMVT,"Immunovant, Inc.",,16.42 +1.22 (+8.03%),1.22,+8.03%,3.71M,1.6M,2.789B,-,-46.76%,
14,IONQ,"IonQ, Inc.",,25.05 +1.86 (+8.02%),1.86,+8.02%,24.213M,24.897M,5.984B,-,174.67%,
15,SLNO,"Soleno Therapeutics, Inc.",,73.67 +5.41 (+7.93%),5.41,+7.93%,1.865M,966121,3.378B,-,78.42%,
16,CLF,Cleveland-Cliffs Inc.,,8.73 +0.63 (+7.78%),0.63,+7.78%,24.161M,19.406M,4.317B,-,-61.06%,
17,NBIS,Nebius Group N.V.,,24.45 +1.76 (+7.76%),1.76,+7.76%,16.852M,13.96M,5.764B,-,22.25%,
18,LOAR,Loar Holdings Inc.,,76.85 +5.52 (+7.74%),5.52,+7.74%,566558,426688,7.19B,320.21,57.48%,
19,KBR,"KBR, Inc.",,53.78 +3.85 (+7.71%),3.85,+7.71%,3.314M,1.666M,6.977B,19.28,-16.39%,
20,GRFS,"Grifols, S.A.",,7.49 +0.53 (+7.61%),0.53,+7.61%,1.912M,1.054M,5.662B,29.96,9.18%,
21,VKTX,"Viking Therapeutics, Inc.",,25.68 +1.77 (+7.40%),1.77,+7.40%,4.382M,4.439M,2.883B,-,-65.15%,
22,CYTK,"Cytokinetics, Incorporated",,40.25 +2.75 (+7.33%),2.75,+7.33%,4.593M,1.714M,4.766B,-,-41.82%,
23,TMDX,"TransMedics Group, Inc.",,73.11 +4.84 (+7.09%),4.84,+7.09%,1.117M,1.66M,2.461B,68.33,-5.30%,
24,COOP,Mr. Cooper Group Inc.,,133.56 +8.48 (+6.78%),8.48,+6.78%,2.779M,786913,8.494B,12.84,75.88%,
