,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aditxt Inc. (ADTX),79.0M,8.28,3.91,89.45
1,Heidmar Maritime Holdings Corp. (HMR),15.0M,3.62,0.92,34.07
2,USA Rare Earth Inc. (USAR),167.1K,18.15,4.02,28.45
3,Blue Hat Interactive Entertainment Technology (BHAT),4.0M,3.24,0.71,28.06
4,Park Ha Biological Technology Co. Ltd. (PHH),426.4K,9.9,2.01,25.48
5,5E Advanced Materials Inc. (FEAM),503.5K,4.63,0.92,24.8
6,SmartKem Inc. (SMTK),171.0K,3.38,0.57,20.54
7,Regencell Bioscience Holdings Ltd. (RGC),1.9M,22.15,3.65,19.74
8,NFT Ltd. (MI),53.2K,2.63,0.43,19.55
9,Brazil Potash Corp. (GRO),150.7K,3.19,0.52,19.48
10,TuHURA Biosciences Inc. (HURA),88.6K,2.88,0.47,19.21
11,FinVolution Group ADR (FINV),3.2M,10.8,1.68,18.42
12,AlTi Global Inc. (ALTI),98.2K,2.97,0.45,17.86
13,Harrow Inc. (HROW),1.3M,27.09,3.77,16.17
14,UP Fintech Holding Ltd. ADR (TIGR),21.6M,9.18,1.21,15.12
15,Niu Technologies ADR (NIU),5.0M,4.04,0.53,14.96
16,Phathom Pharmaceuticals Inc. (PHAT),1.5M,5.54,0.7,14.42
17,Quantum Computing Inc. (QUBT),52.7M,9.14,1.12,13.95
18,Tonix Pharmaceuticals Holding Corp. (TNXP),952.2K,18.43,2.15,13.21
19,Lucid Group Inc. (LCID),113.7M,2.45,0.29,13.43
20,Zepp Health Corp. ADR (ZEPP),76.9K,3.61,0.42,13.17
21,Tencent Music Entertainment Group ADR (TME),23.1M,14.72,1.66,12.67
22,Luminar Technologies Inc. (LAZR),5.1M,7.17,0.75,11.72
23,CervoMed Inc. (CRVO),4.0M,10.08,1.03,11.38
24,Hycroft Mining Holding Corp. (HYMC),592.8K,3.29,0.33,11.15
25,Elbit Systems Ltd. (ESLT),126.0K,410.17,40.91,11.08
26,REGENXBIO Inc. (RGNX),642.3K,7.78,0.78,11.07
27,Millrose Properties Inc. Cl A (MRP),2.2M,24.32,2.33,10.57
28,Coeptis Therapeutics Holdings Inc. (COEP),136.1K,9.38,0.88,10.29
29,Lithium Argentina AG (LAR),1.7M,2.53,0.23,10.0
30,LQR House Inc. (YHC),1.1M,2.33,0.21,9.91
31,Worksport Ltd. (WKSP),277.6K,3.82,0.34,9.86
32,Heritage Insurance Holdings Inc. (HRTG),149.7K,14.04,1.25,9.77
33,IHS Holding Ltd. (IHS),1.6M,4.27,0.36,9.21
34,Metsera Inc. (MTSR),217.2K,30.98,2.6,9.16
35,NextDecade Corp. (NEXT),1.3M,7.91,0.66,9.11
36,Cango Inc. ADR (CANG),455.6K,4.62,0.36,8.45
37,PMGC Holdings Inc. (ELAB),89.5K,4.59,0.35,8.38
38,WideOpenWest Inc. (WOW),303.0K,4.61,0.35,8.35
39,Euroseas Ltd. (ESEA),52.8K,29.6,2.25,8.23
40,Collective Mining Ltd. (CNL),125.6K,9.23,0.7,8.21
41,HF Foods Group Inc. (HFFG),123.3K,2.64,0.2,8.2
42,Wearable Devices Ltd. (WLDS),268.5K,2.6,0.2,8.09
43,Trevi Therapeutics Inc. (TRVI),996.4K,7.06,0.52,7.95
44,Quantum Corp. (QMCO),5.0M,23.2,1.71,7.94
45,BRF S.A. ADR (BRFS),1.5M,3.44,0.25,7.84
46,DRDGOLD Ltd. ADR (DRD),494.1K,14.54,1.05,7.82
47,Humacyte Inc. (HUMA),1.5M,3.24,0.23,7.48
48,Treace Medical Concepts Inc. (TMCI),245.3K,8.54,0.57,7.15
49,OptimizeRx Corp. (OPRX),267.1K,8.83,0.56,6.77
50,Jet.AI Inc. (JTAI),103.1K,5.02,0.31,6.58
51,Endeavour Silver Corp. (EXK),7.7M,5.11,0.31,6.46
52,NRX Pharmaceuticals Inc. (NRXP),142.3K,2.18,0.13,6.33
53,Bluejay Diagnostics Inc. (BJDX),88.5K,4.32,0.26,6.27
54,Lightpath Technologies Inc. Cl A (LPTH),67.4K,2.23,0.13,6.19
55,McEwen Mining Inc. (MUX),830.6K,7.99,0.46,6.11
56,Orion Group Holdings Inc. (ORN),168.2K,5.92,0.34,6.09
57,Rivian Automotive Inc. Cl A (RIVN),16.5M,11.68,0.67,6.03
58,Aldeyra Therapeutics Inc. (ALDX),333.3K,6.69,0.38,6.02
59,Biote Corp. (BTMD),60.5K,4.23,0.23,5.75
60,Cohen Circle Acquisition Corp. I Cl A (CCIR),1.7M,12.16,0.66,5.74
61,Sibanye-Stillwater Ltd. ADR (SBSW),8.2M,4.32,0.23,5.62
62,LENZ Therapeutics Inc. (LENZ),178.1K,24.9,1.31,5.57
63,U.S. Gold Corp. (USAU),270.2K,9.99,0.52,5.49
64,Vertical Aerospace Ltd. (EVTL),165.0K,4.27,0.21,5.17
65,Coffee Holding Co. Inc. (JVA),177.0K,5.09,0.25,5.17
66,CNX Resources Corp. (CNX),1.1M,32.29,1.56,5.08
67,Identiv Inc. (INVE),68.0K,3.36,0.16,5.0
68,Avita Medical Inc. (RCEL),91.5K,9.48,0.45,4.98
69,Workhorse Group Inc. (WKHS),318.4K,2.13,0.1,4.93
70,Alignment Healthcare Inc. (ALHC),1.8M,16.88,0.79,4.91
71,Fortuna Mining Corp. (FSM),12.0M,6.03,0.28,4.87
72,Prairie Operating Co. (PROP),122.6K,6.1,0.28,4.81
