,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aditxt Inc. (ADTX),90.0M,7.5,3.13,71.62
1,Regencell Bioscience Holdings Ltd. (RGC),2.6M,31.6,13.1,70.81
2,Leishen Energy Holding Co. Ltd. (LSE),76.7K,7.53,1.95,34.95
3,Blue Hat Interactive Entertainment Technology (BHAT),5.6M,3.41,0.88,34.78
4,Park Ha Biological Technology Co. Ltd. (PHH),556.1K,10.6,2.71,34.35
5,Reading International Inc. Cl B (RDIB),71.0K,9.9,2.37,31.47
6,Heidmar Maritime Holdings Corp. (HMR),22.2M,3.46,0.76,28.15
7,Tonix Pharmaceuticals Holding Corp. (TNXP),2.5M,20.53,4.25,26.11
8,Brazil Potash Corp. (GRO),474.4K,3.33,0.66,24.72
9,UP Fintech Holding Ltd. ADR (TIGR),30.2M,9.69,1.72,21.58
10,USA Rare Earth Inc. (USAR),334.9K,17.0,2.87,20.31
11,FinVolution Group ADR (FINV),4.2M,10.73,1.61,17.65
12,NFT Ltd. (MI),87.9K,2.58,0.38,17.27
13,NextDecade Corp. (NEXT),4.6M,8.5,1.25,17.24
14,Wang & Lee Group Inc. (WLGS),424.7K,4.76,0.7,17.24
15,AlTi Global Inc. (ALTI),226.7K,2.95,0.43,17.06
16,CNS Pharmaceuticals Inc. (CNSP),157.2K,3.55,0.49,16.01
17,Tencent Music Entertainment Group ADR (TME),32.5M,15.12,2.06,15.81
18,TuHURA Biosciences Inc. (HURA),330.6K,2.8,0.38,15.7
19,Harrow Inc. (HROW),2.1M,26.98,3.66,15.69
20,LQR House Inc. (YHC),2.0M,2.43,0.31,14.62
21,Wellgistics Health Inc. (WGRX),51.7K,4.0,0.51,14.61
22,Phathom Pharmaceuticals Inc. (PHAT),2.5M,5.54,0.7,14.46
23,HF Foods Group Inc. (HFFG),330.6K,2.79,0.35,14.34
24,Hycroft Mining Holding Corp. (HYMC),759.1K,3.37,0.41,13.85
25,Barfresh Food Group Inc. (BRFH),76.1K,3.62,0.44,13.84
26,WideOpenWest Inc. (WOW),597.1K,4.83,0.58,13.65
27,ModivCare Inc. (MODV),383.2K,2.62,0.31,13.42
28,Abivax S.A. ADR (ABVX),304.5K,6.8,0.8,13.33
29,E.W. Scripps Co. Cl A (SSP),1.4M,2.92,0.34,13.18
30,IHS Holding Ltd. (IHS),2.5M,4.42,0.51,13.04
31,Solaris Energy Infrastructure Inc. (SEI),3.2M,23.0,2.54,12.39
32,Zepp Health Corp. ADR (ZEPP),92.3K,3.57,0.38,11.91
33,Silynxcom Ltd. (SYNX),50.0K,4.35,0.46,11.83
34,REGENXBIO Inc. (RGNX),1.6M,7.8,0.8,11.43
35,Diginex Ltd. (DGNX),52.2K,72.06,7.26,11.2
36,Markforged Holding Corp. (MKFG),77.0K,2.79,0.28,11.16
37,Niu Technologies ADR (NIU),6.2M,3.9,0.39,11.11
38,PMGC Holdings Inc. (ELAB),202.2K,4.7,0.47,10.98
39,Elbit Systems Ltd. (ESLT),200.2K,408.53,39.27,10.63
40,Alpha Technology Group Ltd. Cl A (ATGL),63.5K,32.5,3.09,10.51
41,Millrose Properties Inc. Cl A (MRP),4.6M,24.23,2.23,10.14
42,SmartKem Inc. (SMTK),385.3K,3.07,0.27,9.64
43,NeueHealth Inc. (NEUE),68.2K,5.1,0.44,9.44
44,Cango Inc. ADR (CANG),710.5K,4.66,0.4,9.39
45,Collective Mining Ltd. (CNL),183.7K,9.32,0.79,9.2
46,Laird Superfood Inc. (LSF),66.3K,5.5,0.46,9.13
47,Euroseas Ltd. (ESEA),77.1K,29.84,2.49,9.1
48,OptimizeRx Corp. (OPRX),680.7K,9.02,0.75,9.07
49,RF Industries Ltd. (RFIL),77.6K,4.41,0.36,8.89
50,Aurora Mobile Ltd. ADR (JG),72.2K,10.63,0.86,8.8
51,Lucid Group Inc. (LCID),181.3M,2.35,0.19,8.8
52,Coeptis Therapeutics Holdings Inc. (COEP),203.0K,9.24,0.74,8.71
53,Lithium Argentina AG (LAR),2.5M,2.5,0.2,8.7
54,Virgin Galactic Holdings Inc. (SPCE),2.4M,3.77,0.3,8.65
55,Mineralys Therapeutics Inc. (MLYS),1.7M,15.43,1.21,8.51
56,Lixiang Education Holding Co. Ltd. ADR (LXEH),1.1M,10.34,0.81,8.5
57,Heritage Insurance Holdings Inc. (HRTG),237.4K,13.86,1.07,8.41
58,Culp Inc. (CULP),121.9K,5.58,0.43,8.35
59,Worksport Ltd. (WKSP),496.3K,3.76,0.28,8.14
60,Bluejay Diagnostics Inc. (BJDX),100.6K,4.4,0.33,8.11
61,Lifetime Brands Inc. (LCUT),56.2K,5.43,0.4,7.95
62,Quantum Computing Inc. (QUBT),85.8M,8.63,0.61,7.61
63,DRDGOLD Ltd. ADR (DRD),843.1K,14.51,1.02,7.56
64,Prairie Operating Co. (PROP),269.7K,6.26,0.44,7.56
65,BRF S.A. ADR (BRFS),2.1M,3.43,0.24,7.52
66,Airship AI Holdings Inc. Cl A (AISP),1.5M,4.38,0.3,7.35
67,NRX Pharmaceuticals Inc. (NRXP),184.4K,2.2,0.15,7.32
68,North European Oil Royalty Trust (NRT),81.1K,4.95,0.33,7.14
69,Gogo Inc. (GOGO),2.3M,6.93,0.46,7.11
70,SoundThinking Inc. (SSTI),79.8K,16.96,1.1,6.94
71,Cyngn Inc. (CYN),73.1K,4.8,0.31,6.9
72,Metsera Inc. (MTSR),701.7K,30.33,1.95,6.87
73,Gulf Island Fabrication Inc. (GIFI),58.1K,6.53,0.41,6.7
74,INNOVATE Corp. (VATE),68.2K,8.64,0.54,6.67
75,Jet.AI Inc. (JTAI),249.0K,5.02,0.31,6.58
76,Identiv Inc. (INVE),98.8K,3.41,0.21,6.56
77,Luminar Technologies Inc. (LAZR),7.1M,6.83,0.41,6.39
78,Brag House Holdings Inc. (TBH),1.0M,5.6,0.33,6.26
79,Akebia Therapeutics Inc. (AKBA),5.1M,2.55,0.15,6.25
80,Yalla Group Ltd. ADR (YALA),1.2M,5.26,0.3,6.16
81,Peabody Energy Corp. (BTU),5.2M,14.17,0.82,6.14
82,Contineum Therapeutics Inc. (CTNM),150.8K,7.49,0.43,6.09
83,Stevanato Group S.p.A. (STVN),202.2K,21.81,1.23,5.98
84,Treace Medical Concepts Inc. (TMCI),693.8K,8.43,0.46,5.77
85,Krispy Kreme Inc. (DNUT),3.4M,5.72,0.31,5.73
86,Junee Ltd. (JUNE),61.3K,6.87,0.37,5.69
87,Gray Media Inc. (GTN),1.7M,4.93,0.27,5.67
88,Magnachip Semiconductor Corp. (MX),498.0K,4.1,0.22,5.67
89,Aldeyra Therapeutics Inc. (ALDX),694.0K,6.66,0.35,5.63
90,CuriosityStream Inc. (CURI),359.3K,3.03,0.16,5.57
91,Sibanye-Stillwater Ltd. ADR (SBSW),12.4M,4.32,0.23,5.5
92,Upland Software Inc. (UPLD),134.7K,3.32,0.17,5.4
93,5E Advanced Materials Inc. (FEAM),723.6K,3.91,0.2,5.39
94,Lightpath Technologies Inc. Cl A (LPTH),139.3K,2.21,0.11,5.24
95,Orion Group Holdings Inc. (ORN),308.8K,5.87,0.29,5.2
96,Cohen Circle Acquisition Corp. I Cl A (CCIR),3.2M,12.09,0.59,5.13
97,New Era Helium Inc. (NEHC),175.5K,2.29,0.11,5.05
98,Maze Therapeutics Inc. (MAZE),150.5K,12.06,0.57,4.96
99,Getty Images Holdings Inc. (GETY),2.9M,2.26,0.1,4.88
