,Unnamed: 0,Volume,Last,Chg,% Chg
0,Radius Recycling Inc. (RDUS),7.9M,27.92,14.26,104.39
1,D-Wave Quantum Inc. (QBTS),251.0M,10.15,3.25,46.96
2,Applied Optoelectronics Inc. (AAOI),16.0M,22.16,6.29,39.6
3,USA Rare Earth Inc. (USAR),229.9K,14.06,3.27,30.37
4,Gorilla Technology Group Inc. (GRRR),7.2M,33.61,7.7,29.72
5,Quantum Computing Inc. (QUBT),41.2M,7.07,1.58,28.78
6,Rigetti Computing Inc. (RGTI),121.0M,11.22,2.47,28.23
7,Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),71.2K,8.26,1.81,28.02
8,Rubrik Inc. Cl A (RBRK),6.5M,70.68,15.4,27.87
9,Westrock Coffee Co. (WEST),656.1K,6.89,1.38,25.05
10,Firefly Neuroscience Inc. (AIFF),2.0M,4.31,0.85,24.57
11,Biote Corp. (BTMD),732.4K,3.76,0.69,22.48
12,Eason Technology Ltd. ADR (DXF),63.3K,7.61,1.35,21.57
13,SEALSQ Corp. (LAES),22.7M,3.33,0.59,21.53
14,Kingstone Cos. Inc. (KINS),641.4K,16.61,2.94,21.51
15,Desktop Metal Inc. (DM),629.8K,2.48,0.43,21.32
16,Semtech Corp. (SMTC),6.8M,39.58,6.87,21.0
17,Jiayin Group Inc. ADR (JFIN),323.0K,11.82,1.99,20.19
18,J-Long Group Ltd. (JL),96.1K,4.74,0.82,20.82
19,Callan JMB Inc. (CJMB),72.7K,5.31,0.91,20.77
20,iRobot Corp. (IRBT),7.6M,3.66,0.61,19.97
21,Cardlytics Inc. (CDLX),2.4M,2.46,0.4,19.08
22,Maxeon Solar Technologies Ltd. (MAXN),267.1K,3.69,0.58,18.65
23,Children's Place Inc. (PLCE),854.5K,8.38,1.29,18.29
24,Sleep Number Corp. (SNBR),1.0M,7.34,1.13,18.12
25,Telesat Corp. Cl A (TSAT),252.0K,25.23,3.84,17.95
26,PagerDuty Inc. (PD),3.4M,18.41,2.8,17.94
27,Edible Garden AG Inc. (EDBL),110.0K,2.83,0.43,17.92
28,IonQ Inc. (IONQ),35.1M,25.07,3.7,17.31
29,Cloudastructure Inc. Cl A (CSAI),387.6K,5.2,0.74,16.7
