,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,AMTM,"Amentum Holdings, Inc.",,19.81 +1.93 (+10.83%),1.93,+10.83%,2.242M,2.486M,4.819B,-,-39.44%,
1,RGTI,"Rigetti Computing, Inc.",,8.68 +0.87 (+11.08%),0.87,+11.08%,20.065M,106.583M,2.48B,-,457.86%,
2,CYTK,"Cytokinetics, Incorporated",,41.55 +4.05 (+10.80%),4.05,+10.80%,2.704M,1.654M,4.92B,-,-47.12%,
3,RNA,"Avidity Biosciences, Inc.",,29.49 +2.75 (+10.26%),2.75,+10.26%,1.815M,1.399M,3.544B,-,0.38%,
4,NFE,New Fortress Energy Inc.,,8.35 +0.77 (+10.23%),0.77,+10.23%,3.398M,5.422M,2.287B,-,-74.93%,
5,IONQ,"IonQ, Inc.",,25.54 +2.35 (+10.14%),2.35,+10.14%,16.707M,24.943M,6.101B,-,148.82%,
6,RKT,"Rocket Companies, Inc.",,13.80 +1.19 (+9.48%),1.19,+9.48%,22.674M,6.097M,27.415B,65.69,-4.83%,
7,TGTX,"TG Therapeutics, Inc.",,41.19 +3.44 (+9.10%),3.44,+9.10%,2.208M,2.659M,6.469B,274.57,160.88%,
8,CACI,CACI International Inc,,401.17 +31.27 (+8.45%),31.27,+8.45%,681844,526625,8.994B,18.83,0.03%,
9,SOUN,"SoundHound AI, Inc.",,8.90 +0.70 (+8.60%),0.7,+8.60%,11.403M,46.161M,3.553B,-,62.38%,
10,SWTX,"SpringWorks Therapeutics, Inc.",,45.40 +3.52 (+8.40%),3.52,+8.40%,1.181M,2.507M,3.402B,-,-9.39%,
11,ACLX,"Arcellx, Inc.",,65.56 +4.86 (+8.01%),4.86,+8.01%,433819,659763,3.602B,-,-3.96%,
12,SLNO,"Soleno Therapeutics, Inc.",,73.33 +5.07 (+7.43%),5.07,+7.43%,758011,942858,3.363B,-,63.46%,
13,COHR,Coherent Corp.,,68.71 +5.01 (+7.86%),5.01,+7.86%,1.653M,4.015M,10.648B,-,7.17%,
14,COOP,Mr. Cooper Group Inc.,,134.36 +9.28 (+7.42%),9.28,+7.42%,1.582M,746373,8.545B,12.93,65.14%,
15,LITE,Lumentum Holdings Inc.,,68.44 +4.85 (+7.63%),4.85,+7.63%,1.503M,2.576M,4.736B,-,32.89%,
16,PSN,Parsons Corporation,,63.92 +4.36 (+7.32%),4.36,+7.32%,954990,1.502M,6.825B,30.15,-27.74%,
17,MRX,Marex Group plc,,38.22 +2.54 (+7.12%),2.54,+7.12%,511641,411271,2.687B,14.05,87.89%,
18,LOAR,Loar Holdings Inc.,,76.44 +5.11 (+7.16%),5.11,+7.16%,86828,426658,7.151B,318.49,46.17%,
19,VKTX,"Viking Therapeutics, Inc.",,25.59 +1.68 (+7.05%),1.68,+7.05%,2.331M,4.396M,2.873B,-,-69.52%,
20,CIEN,Ciena Corporation,,65.94 +4.40 (+7.15%),4.4,+7.15%,1.387M,2.611M,9.373B,119.89,26.57%,
21,CVNA,Carvana Co.,,227.22 +14.63 (+6.88%),14.63,+6.88%,1.695M,4.451M,26.573B,142.91,158.00%,
22,BAH,Booz Allen Hamilton Holding Corporation,,114.58 +7.22 (+6.73%),7.22,+6.73%,4.181M,2.51M,14.213B,17.10,-27.33%,
23,UWMC,UWM Holdings Corporation,,5.70 +0.36 (+6.64%),0.36,+6.64%,5.835M,3.681M,10.523B,43.88,-12.30%,
24,KBR,"KBR, Inc.",,53.09 +3.16 (+6.33%),3.16,+6.33%,847509,1.628M,6.888B,19.03,-21.73%,
25,FIVE,"Five Below, Inc.",,81.48 +5.00 (+6.54%),5.0,+6.54%,1.005M,1.881M,4.485B,17.71,-53.58%,
26,IMVT,"Immunovant, Inc.",,16.17 +0.97 (+6.38%),0.97,+6.38%,2.028M,1.546M,2.747B,-,-51.25%,
27,AUR,"Aurora Innovation, Inc.",,7.16 +0.43 (+6.46%),0.43,+6.46%,6.668M,15.242M,12.47B,-,122.85%,
28,SYM,Symbotic Inc.,,22.23 +1.33 (+6.35%),1.33,+6.35%,548025,1.967M,13.078B,-,-53.17%,
29,ACVA,ACV Auctions Inc.,,15.41 +0.94 (+6.50%),0.94,+6.50%,536812,2.146M,2.745B,-,-21.83%,
30,RKLB,"Rocket Lab USA, Inc.",,19.32 +1.17 (+6.45%),1.17,+6.45%,6.41M,18.892M,8.762B,-,367.78%,
31,CLF,Cleveland-Cliffs Inc.,,8.59 +0.49 (+6.05%),0.49,+6.05%,9.656M,19.299M,4.248B,-,-64.52%,
32,GRFS,"Grifols, S.A.",,7.38 +0.42 (+6.03%),0.42,+6.03%,1.166M,1.03M,5.83B,29.52,1.02%,
33,CRDO,Credo Technology Group Holding Ltd,,44.26 +2.54 (+6.10%),2.54,+6.10%,2.035M,5.844M,7.516B,1475.50,85.92%,
34,NBIS,Nebius Group N.V.,,24.06 +1.37 (+6.04%),1.37,+6.04%,10.812M,13.724M,5.672B,-,13.45%,
35,TMDX,"TransMedics Group, Inc.",,72.25 +3.98 (+5.83%),3.98,+5.83%,396558,1.683M,2.432B,67.52,-9.40%,
36,ASTS,"AST SpaceMobile, Inc.",,23.12 +1.27 (+5.81%),1.27,+5.81%,4.515M,11.891M,7.317B,-,841.81%,
37,SHAK,Shake Shack Inc.,,96.24 +5.24 (+5.76%),5.24,+5.76%,561577,1.426M,4.093B,401.00,-11.13%,
38,MOD,Modine Manufacturing Company,,85.04 +4.78 (+5.96%),4.78,+5.96%,506808,1.397M,4.471B,28.63,-14.42%,
39,CZR,"Caesars Entertainment, Inc.",,26.22 +1.39 (+5.60%),1.39,+5.60%,2.536M,5.179M,5.559B,-,-42.70%,
40,GDS,GDS Holdings Limited,,26.56 +1.35 (+5.36%),1.35,+5.36%,792171,3.602M,5.17B,-,220.74%,
41,IESC,"IES Holdings, Inc.",,178.32 +9.46 (+5.61%),9.46,+5.61%,44404,219953,3.568B,16.60,33.51%,
42,LDOS,"Leidos Holdings, Inc.",,141.90 +6.93 (+5.14%),6.93,+5.14%,1.19M,1.605M,18.193B,15.39,4.61%,
43,TSLA,"Tesla, Inc.",,283.15 +14.69 (+5.47%),14.69,+5.47%,115.708M,97.464M,910.758B,138.80,59.44%,
44,GAP,"The Gap, Inc.",,22.34 +1.12 (+5.30%),1.12,+5.30%,3.266M,7.312M,8.377B,10.16,-18.01%,
45,AFRM,"Affirm Holdings, Inc.",,47.92 +2.41 (+5.29%),2.41,+5.29%,2.182M,7.365M,15.339B,-,35.20%,
46,KTOS,"Kratos Defense & Security Solutions, Inc.",,30.81 +1.51 (+5.15%),1.51,+5.15%,626475,3.12M,4.709B,280.08,61.88%,
47,RBRK,"Rubrik, Inc.",,63.55 +3.08 (+5.09%),3.08,+5.09%,804357,2.358M,12.06B,-,63.43%,
48,RRX,Regal Rexnord Corporation,,120.75 +6.03 (+5.26%),6.03,+5.26%,276570,637436,8.009B,41.07,-34.07%,
49,CLS,Celestica Inc.,,83.40 +4.34 (+5.49%),4.34,+5.49%,1.682M,4.888M,9.671B,23.10,60.50%,
50,UI,Ubiquiti Inc.,,326.86 +15.89 (+5.11%),15.89,+5.11%,16865,101305,19.772B,44.35,186.21%,
51,XENE,Xenon Pharmaceuticals Inc.,,32.18 +1.54 (+5.03%),1.54,+5.03%,341520,458820,2.463B,-,-25.81%,
52,MARA,"MARA Holdings, Inc.",,12.47 +0.62 (+5.28%),0.62,+5.28%,24.693M,38.49M,4.311B,7.25,-39.06%,
53,LKNCY,Luckin Coffee Inc.,,37.51 +1.87 (+5.26%),1.87,+5.26%,854801,2.338M,10.64B,29.54,42.56%,
54,MLTX,MoonLake Immunotherapeutics,,38.03 +1.68 (+4.61%),1.68,+4.61%,436557,445025,2.406B,-,-20.93%,
55,AKRO,"Akero Therapeutics, Inc.",,40.48 +1.84 (+4.76%),1.84,+4.76%,623919,1.371M,3.223B,-,66.70%,
56,ACHR,Archer Aviation Inc.,,7.31 +0.35 (+5.03%),0.35,+5.03%,8.996M,30.197M,3.965B,-,57.82%,
57,RH,RH,,250.88 +11.82 (+4.94%),11.82,+4.94%,567127,756393,4.667B,69.50,-19.88%,
58,MRUS,Merus N.V.,,41.53 +1.93 (+4.87%),1.93,+4.87%,275331,673881,2.869B,-,-11.17%,
59,RIOT,"Riot Platforms, Inc.",,7.92 +0.38 (+5.04%),0.38,+5.04%,16.054M,29.052M,2.774B,23.29,-26.72%,
60,AS,"Amer Sports, Inc.",,28.10 +1.29 (+4.81%),1.29,+4.81%,741439,3.382M,15.582B,200.71,70.66%,
