,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,TNXP,Tonix Pharmaceuticals Holding Corp.,,30.69 +7.66 (+33.00%),7.66,+33.00%,5.279M,1.542M,197.517M,-,-97.82%,
1,IONQ,"IonQ, Inc.",,25.51 +3.25 (+14.60%),3.25,+14.60%,22.804M,25.006M,6.094B,-,133.09%,
2,AZEK,The AZEK Company Inc.,,47.19 +5.80 (+14.00%),5.8,+14.00%,16.015M,1.643M,6.779B,47.66,-16.47%,
3,MARA,"MARA Holdings, Inc.",,14.05 +1.67 (+13.48%),1.67,+13.48%,30.776M,38.34M,4.859B,8.17,-40.91%,
4,TEM,"Tempus AI, Inc.",,58.21 +6.86 (+13.36%),6.86,+13.36%,8.997M,13.051M,10.025B,-,27.58%,
5,OKLO,Oklo Inc.,,30.79 +3.63 (+13.37%),3.63,+13.37%,12.753M,17.551M,4.212B,-,150.32%,
6,CLSK,"CleanSpark, Inc.",,8.41 +0.97 (+13.10%),0.97,+13.10%,20.159M,24.531M,2.363B,-,-68.21%,
7,ROOT,"Root, Inc.",,178.76 +18.51 (+11.55%),18.51,+11.55%,498007,563863,2.717B,98.22,185.62%,
8,COHR,Coherent Corp.,,76.09 +7.85 (+11.50%),7.85,+11.50%,2.416M,3.883M,11.791B,-,9.85%,
9,TXHPF,"TechnoPro Holdings, Inc.",,20.03 +2.03 (+11.31%),2.03,+11.31%,18000,25,2.278B,18.90,-19.92%,
10,TSLA,"Tesla, Inc.",,272.33 +23.62 (+9.50%),23.62,+9.50%,95.593M,89.973M,875.955B,133.50,44.07%,
11,LITE,Lumentum Holdings Inc.,,72.67 +6.06 (+9.10%),6.06,+9.10%,951114,2.476M,5.029B,-,30.40%,
12,CVNA,Carvana Co.,,208.17 +17.22 (+9.02%),17.22,+9.02%,2.498M,4.393M,24.345B,131.75,115.98%,
13,HOOD,"Robinhood Markets, Inc.",,48.32 +3.96 (+8.93%),3.96,+8.93%,31.347M,33.41M,42.785B,30.97,132.49%,
14,ASTS,"AST SpaceMobile, Inc.",,27.98 +2.27 (+8.85%),2.27,+8.85%,5.54M,11.871M,8.857B,-,805.28%,
15,ANGI,Angi Inc.,,16.95 +1.35 (+8.65%),1.35,+8.65%,172868,132341,846.914M,24.21,-40.60%,
16,CRDO,Credo Technology Group Holding Ltd,,50.27 +3.93 (+8.48%),3.93,+8.48%,2.586M,5.736M,8.536B,1675.67,107.71%,
17,NBIS,Nebius Group N.V.,,29.26 +2.28 (+8.44%),2.28,+8.44%,6.182M,12.676M,6.898B,-,34.90%,
18,FNMA,Federal National Mortgage Association,,6.91 +0.52 (+8.14%),0.52,+8.14%,3.466M,17.055M,8.002B,-,239.89%,
19,FMCC,Federal Home Loan Mortgage Corporation,,5.88 +0.44 (+8.09%),0.44,+8.09%,1.227M,6.543M,3.822B,-,235.80%,
20,BROS,Dutch Bros Inc.,,70.69 +5.26 (+8.04%),5.26,+8.04%,2.397M,3.098M,10.901B,207.91,95.08%,
21,GAP,"The Gap, Inc.",,21.60 +1.58 (+7.89%),1.58,+7.89%,4.116M,6.854M,8.098B,9.82,-28.27%,
22,W,Wayfair Inc.,,36.37 +2.71 (+8.05%),2.71,+8.05%,3.15M,3.841M,4.616B,-,-46.87%,
23,APP,AppLovin Corporation,,338.85 +24.82 (+7.90%),24.82,+7.90%,4.918M,7.313M,115.193B,74.80,332.55%,
24,LMND,"Lemonade, Inc.",,37.07 +2.49 (+7.20%),2.49,+7.20%,1.573M,2.256M,2.699B,-,109.70%,
25,HIMS,"Hims & Hers Health, Inc.",,37.29 +2.54 (+7.32%),2.54,+7.32%,12.168M,21.799M,8.286B,70.37,113.06%,
26,RIOT,"Riot Platforms, Inc.",,8.52 +0.57 (+7.17%),0.57,+7.17%,13.479M,28.942M,2.984B,25.06,-36.09%,
27,ZETA,Zeta Global Holdings Corp.,,15.48 +1.05 (+7.28%),1.05,+7.28%,2.023M,6.224M,3.68B,-,30.94%,
28,BBIO,"BridgeBio Pharma, Inc.",,37.20 +2.43 (+6.99%),2.43,+6.99%,1.762M,2.973M,7.075B,-,18.31%,
29,FNMAT,Federal National Mortgage Association,,11.60 +0.75 (+6.91%),0.75,+6.91%,26376,91571,15.35B,1657.14,172.61%,
30,AMD,"Advanced Micro Devices, Inc.",,113.67 +7.23 (+6.79%),7.23,+6.79%,26.724M,37.94M,184.2B,113.67,-40.41%,
31,BBWI,"Bath & Body Works, Inc.",,32.37 +2.09 (+6.90%),2.09,+6.90%,2.174M,4.721M,6.934B,8.97,-35.30%,
32,MSTR,MicroStrategy Incorporated,,325.11 +21.11 (+6.94%),21.11,+6.94%,11.475M,18.558M,84.664B,-,63.79%,
33,FIX,"Comfort Systems USA, Inc.",,375.68 +23.53 (+6.68%),23.53,+6.68%,165524,539887,13.357B,25.71,10.42%,
34,URBN,"Urban Outfitters, Inc.",,52.36 +3.23 (+6.58%),3.23,+6.58%,727217,1.996M,4.832B,12.29,16.70%,
35,CPRX,"Catalyst Pharmaceuticals, Inc.",,25.83 +1.60 (+6.62%),1.6,+6.62%,1.423M,1.278M,3.138B,19.72,52.77%,
36,RH,RH,,257.96 +15.79 (+6.52%),15.79,+6.52%,552475,705494,4.799B,71.46,-15.70%,
37,FN,Fabrinet,,234.68 +13.98 (+6.33%),13.98,+6.33%,282090,742160,8.446B,26.25,14.90%,
38,FNMAS,Federal National Mortgage Association,,12.44 +0.74 (+6.31%),0.74,+6.31%,222131,1.468M,15.746B,1777.14,164.56%,
39,BOOT,"Boot Barn Holdings, Inc.",,111.71 +6.98 (+6.66%),6.98,+6.66%,222923,925387,3.418B,19.95,22.95%,
40,EAT,"Brinker International, Inc.",,154.20 +9.39 (+6.49%),9.39,+6.49%,314809,1.399M,6.848B,26.82,214.26%,
41,MTNOY,MTN Group Limited,,6.79 +0.41 (+6.43%),0.41,+6.43%,46589,34843,12.494B,-,29.67%,
42,CAVA,"CAVA Group, Inc.",,89.34 +5.49 (+6.55%),5.49,+6.55%,1.682M,2.982M,10.327B,81.22,22.86%,
43,CORZ,"Core Scientific, Inc.",,9.05 +0.54 (+6.35%),0.54,+6.35%,8.481M,13.815M,2.662B,-,151.78%,
44,NXE,NexGen Energy Ltd.,,5.22 +0.30 (+6.10%),0.3,+6.10%,8.228M,9.464M,2.976B,-,-35.43%,
45,RDDT,"Reddit, Inc.",,123.00 +7.30 (+6.31%),7.3,+6.31%,5.378M,7.129M,22.251B,-,93.48%,
46,SITM,SiTime Corporation,,189.27 +11.01 (+6.18%),11.01,+6.18%,83244,306272,4.466B,-,91.25%,
47,DUOL,"Duolingo, Inc.",,328.03 +18.73 (+6.06%),18.73,+6.06%,327662,812629,14.841B,173.56,36.56%,
48,MPWR,"Monolithic Power Systems, Inc.",,627.15 +36.17 (+6.12%),36.17,+6.12%,278291,874682,30.019B,17.14,-11.71%,
49,RNA,"Avidity Biosciences, Inc.",,32.70 +1.86 (+6.03%),1.86,+6.03%,314011,1.338M,3.931B,-,32.99%,
50,BHVN,Biohaven Ltd.,,30.25 +1.71 (+5.99%),1.71,+5.99%,243799,977420,3.087B,-,-48.33%,
51,GLNG,Golar LNG Limited,,40.14 +2.38 (+6.31%),2.38,+6.31%,953692,1.436M,4.195B,308.80,59.12%,
