,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,GME,GameStop Corp.,,25.56 -2.80 (-9.87%),-2.8,-9.87%,2.202M,6.6M,11.427B,77.45,126.52%,
1,XNGSY,ENN Energy Holdings Limited,,36.10 +3.55 (+10.91%),3.55,+10.91%,69153,103498,10.114B,12.24,15.67%,
2,BKRKY,PT Bank Rakyat Indonesia (Persero) Tbk,,12.04 +0.64 (+5.61%),0.64,+5.61%,49988,188900,36.276B,10.03,-37.19%,
3,VNET,"VNET Group, Inc.",,8.86 -0.04 (-0.45%),-0.04,-0.45%,206996,9.964M,2.367B,443.00,474.19%,
4,QFIN,"Qifu Technology, Inc.",,46.24 -0.13 (-0.29%),-0.13,-0.29%,40565,1.54M,6.487B,8.13,151.60%,
5,MOH,"Molina Healthcare, Inc.",,323.44 +12.91 (+4.16%),12.91,+4.16%,4378,729133,17.692B,15.85,-21.27%,
6,BEKE,KE Holdings Inc.,,21.65 +0.96 (+4.64%),0.96,+4.64%,644372,9.784M,26.221B,45.10,50.69%,
7,CAR,"Avis Budget Group, Inc.",,67.43 +5.88 (+9.55%),5.88,+9.55%,127669,889549,2.367B,-,-49.74%,
8,SYY,Sysco Corporation,,73.04 +0.29 (+0.40%),0.29,+0.40%,25163,3.646M,35.733B,18.73,-10.38%,
9,STZ,"Constellation Brands, Inc.",,183.52 -0.59 (-0.32%),-0.59,-0.32%,16496,2.838M,33.172B,48.81,-32.25%,
10,GGAL,Grupo Financiero Galicia S.A.,,59.22 +1.44 (+2.48%),1.44,+2.48%,22095,1.04M,11.503B,6.23,127.30%,
