,Unnamed: 0,Volume,Last,Chg,% Chg
0,iCoreConnect Inc. (ICCT),176.9M,4.23,2.16,104.35
1,Alaunos Therapeutics Inc. (TCRT),6.4M,4.22,1.42,50.71
2,Tivic Health Systems Inc. (TIVC),34.9M,4.87,1.62,49.85
3,NeOnc Technologies Holdings Inc. (NTHI),110.1K,9.58,2.58,36.86
4,Local Bounti Corp. (LOCL),214.3K,2.82,0.72,34.29
5,Creative Global Technology Holdings Ltd. (CGTL),1.2M,5.38,1.23,29.64
6,Old Point Financial Corp. (OPOF),471.5K,36.82,6.91,23.1
7,Newsmax Inc. Cl B (NMAX),11.1M,62.12,9.6,18.28
8,LZ Technology Holdings Ltd. Cl B (LZMH),754.0K,8.34,1.18,16.48
9,Skyline Builders Group Holding Ltd. Cl A (SKBL),1.2M,12.0,1.64,15.83
10,Vision Marine Technologies Inc. (VMAR),943.3K,5.79,0.72,14.2
11,Click Holdings Ltd. (CLIK),162.0K,2.64,0.31,13.3
12,Goodyear Tire & Rubber Co. (GT),21.9M,10.19,1.07,11.73
13,Aditxt Inc. (ADTX),175.1K,5.58,0.58,11.6
14,BingEx Ltd. ADR (FLX),196.9K,2.5,0.26,11.36
15,Medicus Pharma Ltd. (MDCX),85.4K,3.75,0.35,10.29
16,Lamb Weston Holdings Inc. (LW),10.4M,59.57,5.42,10.01
17,Forward Industries Inc. (FORD),173.3K,4.92,0.44,9.82
18,LogProstyle Inc. (LGPS),180.5K,3.57,0.3,9.17
19,Corp. Inmobiliaria Vesta S.A.B. de C.V. ADR (VTMX),397.5K,24.89,2.09,9.17
20,Ohmyhome Ltd. (OMH),81.8K,2.42,0.19,8.52
21,Resolute Holdings Management (RHLD),52.5K,30.7,2.32,8.17
22,Thumzup Media Corp. (TZUP),181.9K,4.53,0.34,8.11
23,Nyxoah S.A. (NYXH),291.7K,6.99,0.49,7.54
24,Molina Healthcare Inc. (MOH),1.5M,353.24,24.75,7.53
25,Lianhe Sowell International Group Ltd. (LHSW),4.7M,4.29,0.29,7.25
26,Inno Holdings Inc. (INHD),88.5K,5.18,0.32,6.58
27,Intercont (Cayman) Ltd. (NCT),304.3K,5.75,0.35,6.48
28,Epsium Enterprise Ltd. (EPSM),287.1K,5.27,0.32,6.46
29,PagSeguro Digital Ltd. Cl A (PAGS),7.2M,8.5,0.51,6.38
30,StoneCo Ltd. Cl A (STNE),10.8M,11.39,0.66,6.15
31,Centene Corp. (CNC),8.6M,64.29,3.56,5.86
32,Abeona Therapeutics Inc. (ABEO),996.6K,4.95,0.27,5.77
33,Venus Concept Inc. (VERO),53.6K,2.39,0.13,5.75
34,Algorhythm Holdings Inc. (RIME),214.8K,2.24,0.12,5.66
35,Journey Medical Corp. (DERM),80.7K,6.59,0.35,5.61
36,Septerna Inc. (SEPN),410.0K,5.8,0.3,5.55
37,National Grid PLC ADR (NGG),1.1M,69.39,3.61,5.49
38,Elevance Health Inc. (ELV),3.3M,452.69,23.36,5.44
39,POET Technologies Inc. (POET),1.4M,4.07,0.2,5.31
40,SBA Communications Corp. (SBAC),1.6M,230.87,11.53,5.26
41,Kroger Co. (KR),15.0M,70.74,3.47,5.16
42,Telefonica S.A. ADR (TEF),1.3M,4.91,0.24,5.14
43,Guild Holdings Co. (GHLD),118.1K,15.23,0.74,5.11
44,First Solar Inc. (FSLR),8.8M,136.23,6.41,4.94
45,Idaho Strategic Resources Inc. (IDR),409.5K,15.94,0.75,4.94
46,American Tower REIT (AMT),5.9M,228.19,10.29,4.72
47,Creative Medical Technology Holdings Inc. (CELZ),72.8K,2.24,0.1,4.67
48,Dollar General Corp. (DG),11.2M,94.41,4.21,4.67
49,Unilever PLC ADR (UL),6.6M,62.55,2.69,4.49
50,Actuate Therapeutics Inc. (ACTU),59.4K,7.22,0.31,4.49
51,Baird Medical Investment Holdings Ltd. (BDMD),70.2K,5.74,0.24,4.36
52,FuelCell Energy Inc. (FCEL),567.3K,4.82,0.2,4.33
53,Companhia de Saneamento Basico do Estado de Sao Paulo ADR (SBS),1.3M,18.69,0.77,4.3
54,FirstCash Holdings Inc. (FCFS),548.4K,127.31,5.23,4.28
55,Middlesex Water Co. (MSEX),221.1K,66.57,2.7,4.23
56,Pilgrim's Pride Corp. (PPC),1.8M,51.06,2.06,4.2
57,British American Tobacco PLC ADR (BTI),8.8M,41.92,1.67,4.15
58,Cosan S.A. ADR (CSAN),1.5M,5.54,0.22,4.14
59,Companhia Paranaense de Energia-COPEL ADR (ELP),145.6K,7.71,0.3,4.05
60,Collective Mining Ltd. (CNL),155.5K,9.44,0.36,3.96
61,American Water Works Co. (AWK),2.8M,151.96,5.77,3.95
62,TELUS Corp. (TU),4.1M,14.54,0.55,3.93
63,BCE Inc. (BCE),4.6M,22.66,0.84,3.85
64,America Movil S.A.B. de C.V. ADR (AMX),3.2M,15.01,0.55,3.8
65,Philip Morris International Inc. (PM),10.6M,162.07,5.9,3.78
66,Fresenius Medical Care AG (FMS),474.2K,25.66,0.93,3.76
67,Hyperscale Data Inc. (GPUS),62.5K,2.78,0.1,3.73
68,Alignment Healthcare Inc. (ALHC),2.8M,18.51,0.66,3.7
69,Benitec Biopharma Inc. (BNTC),61.1K,13.01,0.46,3.67
70,Brookdale Senior Living Inc. (BKD),4.3M,6.26,0.22,3.64
71,GSK PLC ADR (GSK),10.9M,39.01,1.37,3.64
72,Cencora Inc. (COR),3.3M,289.36,9.85,3.52
73,TIM S/A ADR (TIMB),657.8K,16.33,0.55,3.49
74,Telefonica Brasil S.A. ADR (VIV),1.0M,9.3,0.31,3.45
75,McKesson Corp. (MCK),2.2M,716.93,23.4,3.37
76,Banco Bradesco S/A Pref ADR (BBD),60.7M,2.29,0.07,3.31
77,UnitedHealth Group Inc. (UNH),6.5M,540.44,17.24,3.3
78,Millicom International Cellular S.A. (TIGO),1.3M,30.5,0.97,3.28
79,Regencell Bioscience Holdings Ltd. (RGC),86.7K,24.3,0.77,3.27
80,KT Corp. ADR (KT),1.5M,17.87,0.56,3.24
81,Dogwood Therapeutics Inc. (DWTX),201.6K,4.18,0.13,3.21
82,Essential Utilities Inc. (WTRG),1.7M,40.64,1.25,3.17
83,3 E Network Technology Group Ltd. Cl A (MASK),52.9K,3.62,0.11,3.13
84,Crown Castle Inc. (CCI),4.7M,107.06,3.25,3.13
85,Rogers Communications Inc. Cl B (RCI),2.0M,26.07,0.78,3.08
86,BJ's Wholesale Club Holdings Inc. (BJ),3.4M,118.49,3.52,3.06
87,BBB Foods Inc. (TBBB),916.8K,28.08,0.83,3.05
88,Duke Energy Corp. (DUK),7.4M,124.05,3.66,3.04
89,General Mills Inc. (GIS),8.0M,60.97,1.78,3.01
90,Ezcorp Inc. Cl A (EZPW),1.8M,15.78,0.46,3.0
91,NioCorp Developments Ltd. (NB),289.0K,2.09,0.06,2.96
92,Centrais Eletricas Brasileiras S/A ADR (EBR),1.4M,7.33,0.21,2.95
93,Compania Cervecerias Unidas S.A. ADR (CCU),296.7K,15.6,0.44,2.9
94,Itau Unibanco Holding S/A ADR (ITUB),38.7M,5.69,0.16,2.89
95,Wingstop Inc. (WING),2.3M,242.78,6.82,2.89
96,Johnson & Johnson (JNJ),13.2M,159.82,4.46,2.87
97,Consolidated Edison Inc. (ED),4.2M,112.72,3.14,2.87
98,Haleon PLC ADR (HLN),13.0M,10.45,0.29,2.85
99,Coca-Cola Europacific Partners PLC (CCEP),3.8M,89.82,2.41,2.76
