,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTON,"Peloton Interactive, Inc.",,6.93 -0.12 (-1.70%),-0.12,-1.70%,289050,14.568M,2.702B,-,61.70%,
1,SOUN,"SoundHound AI, Inc.",,10.36 +0.02 (+0.19%),0.02,+0.19%,1.705M,59.663M,4.133B,-,25.49%,
2,OKLO,Oklo Inc.,,28.32 +0.60 (+2.17%),0.6,+2.17%,879738,18.874M,3.874B,-,154.55%,
3,DOCU,"DocuSign, Inc.",,86.53 +0.77 (+0.90%),0.77,+0.90%,504420,2.58M,17.481B,17.03,47.56%,
4,WXXWY,WuXi Biologics (Cayman) Inc.,,6.87 +0.87 (+14.50%),0.87,+14.50%,151,46403,14.072B,40.41,90.83%,
5,ULTA,"Ulta Beauty, Inc.",,354.48 -3.00 (-0.84%),-3.0,-0.84%,28285,967950,16.438B,13.98,-32.85%,
6,WRD,WeRide Inc.,,19.52 +1.12 (+6.20%),1.12,+6.20%,287930,1.671M,5.359B,-,11.18%,
7,ROOT,"Root, Inc.",,150.00 -1.73 (-1.14%),-1.73,-1.14%,21692,533218,2.28B,81.52,156.60%,
8,VNET,"VNET Group, Inc.",,11.41 -0.24 (-2.06%),-0.24,-2.06%,1.834M,8.945M,3.048B,570.50,526.34%,
9,AUR,"Aurora Innovation, Inc.",,7.02 +0.05 (+0.72%),0.05,+0.72%,209898,14.905M,12.218B,-,185.66%,
10,CCI,Crown Castle Inc.,,103.43 +0.21 (+0.20%),0.21,+0.20%,122814,3.15M,44.95B,-,-1.08%,
11,TGTX,"TG Therapeutics, Inc.",,40.72 -0.12 (-0.29%),-0.12,-0.29%,62367,2.569M,6.396B,271.47,171.36%,
12,TNXP,Tonix Pharmaceuticals Holding Corp.,,15.40 +0.40 (+2.65%),0.4,+2.65%,32864,1.644M,86.075M,-,-98.58%,
13,NBIS,Nebius Group N.V.,,28.62 -0.13 (-0.45%),-0.13,-0.45%,636023,12.41M,6.747B,-,43.75%,
14,CRDO,Credo Technology Group Holding Ltd,,48.04 -1.11 (-2.25%),-1.11,-2.25%,244691,5.674M,8.158B,1601.50,147.61%,
15,NU,Nu Holdings Ltd.,,11.70 -0.02 (-0.21%),-0.02,-0.21%,469590,49.164M,56.261B,29.26,-0.51%,
16,ACHR,Archer Aviation Inc.,,7.99 +0.09 (+1.14%),0.09,+1.14%,1.711M,34.998M,4.334B,-,62.22%,
17,FMCKM,Federal Home Loan Mortgage Corporation,,8.65 +0.71 (+8.94%),0.71,+8.94%,36073,29127,6.96B,127.21,170.31%,
18,HOOD,"Robinhood Markets, Inc.",,38.97 -0.27 (-0.69%),-0.27,-0.69%,1.568M,31.258M,34.507B,24.98,115.49%,
19,NFE,New Fortress Energy Inc.,,9.40 +0.14 (+1.51%),0.14,+1.51%,48680,5.125M,2.573B,-,-69.25%,
20,FNMAJ,Federal National Mortgage Association,,9.49 +0.77 (+8.83%),0.77,+8.83%,55071,38670,13.099B,1355.71,172.70%,
