symbol,price,price_change,price_percent_change
AMTM,,1.93,10.83
RGTI,,0.87,11.08
CYTK,,4.05,10.80
RNA,,2.75,10.26
NFE,,0.77,10.23
IONQ,,2.35,10.14
RKT,,1.19,9.48
TGTX,,3.44,9.10
CACI,,31.27,8.45
SOUN,,0.7,8.60
SWTX,,3.52,8.40
ACLX,,4.86,8.01
SLNO,,5.07,7.43
COHR,,5.01,7.86
COOP,,9.28,7.42
LITE,,4.85,7.63
PSN,,4.36,7.32
MRX,,2.54,7.12
LOAR,,5.11,7.16
VKTX,,1.68,7.05
CIEN,,4.4,7.15
CVNA,,14.63,6.88
BAH,,7.22,6.73
UWMC,,0.36,6.64
KBR,,3.16,6.33
FIVE,,5.0,6.54
IMVT,,0.97,6.38
AUR,,0.43,6.46
SYM,,1.33,6.35
ACVA,,0.94,6.50
RKLB,,1.17,6.45
CLF,,0.49,6.05
GRFS,,0.42,6.03
CRDO,,2.54,6.10
NBIS,,1.37,6.04
TMDX,,3.98,5.83
ASTS,,1.27,5.81
SHAK,,5.24,5.76
MOD,,4.78,5.96
CZR,,1.39,5.60
GDS,,1.35,5.36
IESC,,9.46,5.61
LDOS,,6.93,5.14
TSLA,,14.69,5.47
GAP,,1.12,5.30
AFRM,,2.41,5.29
KTOS,,1.51,5.15
RBRK,,3.08,5.09
RRX,,6.03,5.26
CLS,,4.34,5.49
UI,,15.89,5.11
XENE,,1.54,5.03
MARA,,0.62,5.28
LKNCY,,1.87,5.26
MLTX,,1.68,4.61
AKRO,,1.84,4.76
ACHR,,0.35,5.03
RH,,11.82,4.94
MRUS,,1.93,4.87
RIOT,,0.38,5.04
AS,,1.29,4.81
HBI,,0.28,4.80
ALAB,,2.99,4.82
RUM,,0.38,4.92
LNW,,4.17,4.74
ILMN,,3.69,4.71
ANF,,3.79,4.81
SATS,,1.17,4.64
GEV,,14.87,4.71
EQH,,2.47,4.72
SAIA,,16.24,4.58
SMTC,,1.7,4.89
TEX,,1.72,4.50
APGE,,1.6,4.49
U,,0.89,4.43
ZETA,,0.62,4.46
ELF,,2.87,4.47
KC,,0.61,4.40
MMS,,2.83,4.11
POWL,,7.6,4.32
MDGL,,15.44,4.77
SAIC,,4.86,4.29
SMG,,2.39,4.37
SN,,3.68,4.37
LYFT,,0.57,4.65
IONS,,1.15,4.20
DASH,,8.14,4.46
PI,,3.66,4.14
CLBT,,0.78,4.05
DKNG,,1.4,4.22
TEM,,1.97,4.17
UAA,,0.26,4.09
LEGN,,1.22,3.87
AIR,,2.13,3.85
BHVN,,0.89,3.94
SRRK,,1.22,4.04
MBLY,,0.56,3.83
RXRX,,0.21,4.20
UPST,,1.77,3.85
FIX,,13.21,4.00
AVAV,,4.71,3.87
DECK,,4.46,3.93
VST,,4.89,4.00
APP,,10.96,3.88
W,,1.27,3.96
MIR,,0.54,3.76
PLTR,,3.42,4.04
CELH,,1.36,3.81
NVMI,,6.93,3.75
CRK,,0.8,3.93
PFSI,,3.73,3.73
SMMT,,0.72,3.83
SPOT,,21.29,3.86
COIN,,6.85,3.93
ETSY,,1.8,3.71
WSC,,1.0,3.64
FN,,7.21,3.66
WSM,,5.74,3.61
PRKS,,1.64,3.59
TTEK,,1.08,3.65
UA,,0.23,3.77
NRG,,3.66,3.71
CG,,1.64,3.70
SOFI,,0.44,3.69
INSP,,5.63,3.56
ROAD,,2.6,3.55
CRSP,,1.24,3.74
FROG,,1.14,3.52
AAON,,2.84,3.59
DOCN,,1.24,3.65
WPP,,1.27,3.51
CLSK,,0.28,3.77
KMX,,2.8,3.54
WGS,,3.31,3.91
DELL,,3.29,3.58
DLTR,,2.68,3.56
FLUT,,7.94,3.57
WCC,,5.43,3.47
ATGE,,3.53,3.47
BZLFY,,0.65,3.44
MEDP,,10.45,3.51
CAVA,,3.1,3.55
AGYS,,2.62,3.63
TAL,,0.41,3.11
ORCL,,4.89,3.45
KNF,,3.11,3.37
CEG,,7.23,3.49
VRNA,,2.2,3.76
OMF,,1.66,3.38
BPMC,,2.86,3.32
URBN,,1.78,3.35
ASAN,,0.51,3.36
QFIN,,1.49,3.35
MRNA,,0.9,3.31
BURL,,7.87,3.24
RXO,,0.63,3.33
TEAM,,7.19,3.32
LB,,2.37,3.26
EXAS,,1.39,3.20
ONON,,1.42,3.33
PENN,,0.53,3.25
SITM,,4.88,3.16
ANET,,2.62,3.33
SAH,,1.81,3.12
OLLI,,3.75,3.27
BWIN,,1.38,3.15
ICUI,,4.25,3.09
DOCS,,1.88,3.32
MTZ,,3.66,3.08
CAMT,,1.85,3.14
RNW,,0.17,3.00
TOST,,1.08,3.15
BBIO,,1.04,3.15
UAL,,2.26,3.31
STRL,,3.7,3.20
RSI,,0.35,3.18
