symbol,price,price_change,price_percent_change
LW,,-0.53,-0.88
MOH,,-0.74,-0.21
DANOY,,0.86,5.65
MP,,1.42,5.70
NGG,,0.11,0.15
KR,,-0.22,-0.32
XIACF,,0.28,4.94
AMT,,4.3,1.88
SSEZY,,0.98,4.71
ORANY,,0.59,4.53
SBS,,-0.78,-4.17
FCFS,,-2.05,-1.61
PPC,,-1.05,-2.06
BTI,,-0.56,-1.34
CSAN,,-0.34,-6.05
ELP,,-0.3,-3.90
TU,,-0.1,-0.69
BCE,,0.09,0.40
XIACY,,1.07,3.77
COR,,1.65,0.57
TIMB,,-0.49,-3.01
MCK,,-2.4,-0.33
UNH,,1.21,0.22
TIGO,,-0.65,-2.13
KT,,-0.26,-1.45
RCI,,0.52,2.02
DUK,,0.63,0.51
GIS,,0.42,0.69
