symbol,price,price_change,price_percent_change
GT,,1.07,11.73
LW,,5.44,10.05
GBOOY,,3.5,9.97
VTMX,,2.13,9.34
MOH,,24.98,7.60
SAABY,,1.27,6.53
TSCDY,,0.86,6.69
PAGS,,0.51,6.38
STNE,,0.66,6.15
CNC,,3.56,5.87
DANOY,,0.87,5.71
NGG,,3.62,5.50
ELV,,23.32,5.43
WMMVY,,1.5,5.31
ORANY,,0.69,5.30
SBAC,,11.53,5.26
RNMBY,,14.14,5.01
KR,,3.48,5.17
FSLR,,6.41,4.94
AMT,,10.24,4.70
DG,,4.26,4.72
SSEZY,,0.98,4.71
UL,,2.68,4.49
XIACF,,0.25,4.41
BTI,,1.67,4.16
CSAN,,0.23,4.29
FCFS,,5.23,4.28
SBS,,0.78,4.38
ELP,,0.31,4.18
PPC,,2.06,4.20
TU,,0.57,4.07
IMBBY,,1.45,3.96
AUOTY,,0.2,3.95
AWK,,5.79,3.96
AMX,,0.56,3.91
BCE,,0.84,3.85
FMS,,0.94,3.79
PM,,5.9,3.78
BOLSY,,0.24,3.73
GSK,,1.34,3.57
XIACY,,1.03,3.63
ALHC,,0.66,3.70
COR,,9.85,3.52
NSRGY,,3.52,3.46
TIMB,,0.55,3.43
MCK,,23.96,3.45
VIV,,0.31,3.39
UNH,,17.88,3.42
KT,,0.57,3.29
BAESY,,2.72,3.29
TIGO,,0.97,3.28
BKGFY,,0.3,3.24
WTRG,,1.26,3.20
CCI,,3.26,3.14
TGOPY,,0.74,3.10
ITUB,,0.17,3.07
BJ,,3.6,3.13
RCI,,0.77,3.04
EBR,,0.22,3.02
DUK,,3.67,3.05
