symbol,price,price_change,price_percent_change
PAY,,0.07,0.23
ZK,,-1.34,-4.08
XPEV,,-1.38,-5.24
RDDT,,11.15,9.08
KC,,-0.1,-0.55
BE,,0.83,3.32
TEVA,,0.09,0.56
MSTR,,6.02,2.31
IAG,,-0.01,-0.25
MDB,,8.09,4.13
SARO,,0.01,0.04
APP,,34.3,13.31
LITE,,3.93,6.33
CORZ,,0.3,3.48
MTN,,0.3,0.18
KFY,,4.75,7.60
ORLA,,-0.03,-0.32
OKLO,,2.02,7.93
RGEN,,1.99,1.36
SMCI,,3.33,8.16
TSLA,,14.52,6.30
TEM,,3.45,7.57
LI,,-0.75,-2.54
COIN,,4.55,2.37
TXNM,,3.31,6.91
IMPUY,,0.43,6.91
ICUI,,5.26,3.78
CRWD,,14.97,4.54
ROOT,,7.58,5.56
ALAB,,4.74,7.18
CLS,,5.32,6.14
TWST,,0.94,2.40
VRT,,6.13,7.37
TLN,,19.53,11.13
GDS,,-2.14,-5.52
STEP,,0.98,1.93
BHVN,,0.6,2.04
TAC,,0.16,1.75
SM,,0.19,0.65
CVNA,,12.23,7.10
KGS,,1.74,4.93
OR,,0.19,1.00
UEC,,0.26,5.23
QFIN,,0.12,0.29
IRTC,,0.0,0.00
AROC,,0.81,3.38
CYBR,,12.48,3.77
KGC,,-0.01,-0.09
AFRM,,3.61,7.72
ACVA,,0.73,5.30
NTRA,,7.26,5.18
MMYT,,2.81,3.14
LIVN,,0.34,0.87
X,,0.52,1.40
HL,,-0.03,-0.64
VST,,7.07,6.19
IOT,,1.84,5.40
ASND,,1.12,0.77
DY,,5.0,3.53
PKX,,2.68,5.29
FN,,3.32,1.68
GEV,,22.58,7.93
AKRO,,1.12,2.56
NVCR,,0.09,0.40
SWTX,,0.49,0.96
BURBY,,0.64,4.98
EQX,,-0.06,-0.91
BZ,,-0.12,-0.68
NVDA,,5.76,5.30
BABA,,-0.86,-0.62
MIR,,0.26,1.80
FNMA,,0.24,4.85
LMND,,1.94,5.68
NET,,4.89,4.07
KVYO,,0.17,0.51
NU,,0.32,3.02
BTSG,,0.79,4.71
CRDO,,3.0,6.92
NBIS,,1.77,6.97
INTC,,1.12,5.66
BVN,,0.59,4.52
CFLT,,1.21,4.75
FSLR,,0.59,0.42
IESC,,9.25,5.46
AS,,1.15,4.49
NRG,,2.88,3.24
ADMA,,0.81,4.64
USM,,0.38,0.59
ODD,,-0.34,-0.77
LNSTY,,1.54,4.41
MTDR,,0.36,0.77
NSANY,,0.25,4.39
XIACF,,0.29,4.35
CHWY,,1.47,4.43
ANGPY,,0.27,4.30
RNW,,0.02,0.33
JHG,,0.75,1.98
NUVL,,0.05,0.07
TFPM,,0.74,4.25
MTZ,,5.28,4.61
CNTA,,0.37,2.25
DKNG,,1.87,4.84
ATGE,,3.34,3.57
VNET,,-0.14,-1.22
MNDY,,10.15,4.18
MTSI,,2.96,2.93
WAY,,0.95,2.58
RKLB,,1.28,7.18
ANET,,3.44,4.35
COHR,,3.12,4.71
SITM,,7.37,4.71
PLMR,,2.0,1.53
TOST,,1.43,4.29
FCX,,0.81,2.26
BA,,3.88,2.52
IVPAF,,0.36,3.98
XIACY,,1.32,3.98
PWR,,10.94,4.45
SPOT,,38.27,7.53
VEOEY,,0.64,3.91
HCC,,0.42,0.86
RBRK,,5.44,10.10
SHOP,,3.78,4.07
CMC,,0.77,1.72
SG,,1.4,5.64
ACA,,2.95,3.76
MPW,,0.21,3.60
GTLB,,1.96,3.77
AEM,,0.26,0.26
GWRE,,4.48,2.59
KKR,,4.72,4.21
MOD,,2.8,3.62
FRPT,,2.69,3.21
ASX,,0.29,3.06
AMG,,3.1,1.93
EVR,,2.87,1.46
CLSK,,0.24,2.97
PODD,,3.12,1.27
BKU,,0.7,2.16
QTWO,,1.99,2.70
BYDDF,,1.5,3.45
EQT,,0.54,1.11
USLM,,1.96,2.23
PSTG,,1.65,3.39
SRAD,,0.64,3.19
AR,,0.46,1.28
AVGO,,7.52,3.96
NOW,,29.55,3.66
ET,,0.38,2.13
BUR,,0.35,2.63
AAON,,2.61,3.17
TWLO,,4.07,4.07
YMM,,0.32,2.58
FG,,0.47,1.15
IBKR,,5.8,3.41
APO-PA,,2.15,3.16
BX,,5.4,3.91
CEG,,12.02,5.76
TECK,,1.5,3.90
LUMN,,0.15,3.08
BSX,,2.97,3.11
ELV,,-3.01,-0.71
BROS,,2.66,4.41
GEO,,0.85,3.60
