symbol,price,price_change,price_percent_change
,4.23,2.16,104.35
,4.22,1.42,50.71
,4.87,1.62,49.85
,9.58,2.58,36.86
,2.82,0.72,34.29
,5.38,1.23,29.64
,36.82,6.91,23.1
,62.12,9.6,18.28
,8.34,1.18,16.48
,12.0,1.64,15.83
,5.79,0.72,14.2
,2.64,0.31,13.3
,10.19,1.07,11.73
,5.58,0.58,11.6
,2.5,0.26,11.36
,3.75,0.35,10.29
,59.57,5.42,10.01
,4.92,0.44,9.82
,3.57,0.3,9.17
,24.89,2.09,9.17
,2.42,0.19,8.52
,30.7,2.32,8.17
,4.53,0.34,8.11
,6.99,0.49,7.54
,353.24,24.75,7.53
,4.29,0.29,7.25
,5.18,0.32,6.58
,5.75,0.35,6.48
,5.27,0.32,6.46
,8.5,0.51,6.38
,11.39,0.66,6.15
,64.29,3.56,5.86
,4.95,0.27,5.77
,2.39,0.13,5.75
,2.24,0.12,5.66
,6.59,0.35,5.61
,5.8,0.3,5.55
,69.39,3.61,5.49
,452.69,23.36,5.44
,4.07,0.2,5.31
,230.87,11.53,5.26
,70.74,3.47,5.16
,4.91,0.24,5.14
,15.23,0.74,5.11
,136.23,6.41,4.94
,15.94,0.75,4.94
,228.19,10.29,4.72
,2.24,0.1,4.67
,94.41,4.21,4.67
,62.55,2.69,4.49
,7.22,0.31,4.49
,5.74,0.24,4.36
,4.82,0.2,4.33
,18.69,0.77,4.3
,127.31,5.23,4.28
,66.57,2.7,4.23
,51.06,2.06,4.2
,41.92,1.67,4.15
,5.54,0.22,4.14
,7.71,0.3,4.05
,9.44,0.36,3.96
,151.96,5.77,3.95
,14.54,0.55,3.93
,22.66,0.84,3.85
,15.01,0.55,3.8
,162.07,5.9,3.78
,25.66,0.93,3.76
,2.78,0.1,3.73
,18.51,0.66,3.7
,13.01,0.46,3.67
,6.26,0.22,3.64
,39.01,1.37,3.64
,289.36,9.85,3.52
,16.33,0.55,3.49
,9.3,0.31,3.45
,716.93,23.4,3.37
,2.29,0.07,3.31
,540.44,17.24,3.3
,30.5,0.97,3.28
,24.3,0.77,3.27
,17.87,0.56,3.24
,4.18,0.13,3.21
,40.64,1.25,3.17
,3.62,0.11,3.13
,107.06,3.25,3.13
,26.07,0.78,3.08
,118.49,3.52,3.06
,28.08,0.83,3.05
,124.05,3.66,3.04
,60.97,1.78,3.01
,15.78,0.46,3.0
,2.09,0.06,2.96
,7.33,0.21,2.95
,15.6,0.44,2.9
,5.69,0.16,2.89
,242.78,6.82,2.89
,159.82,4.46,2.87
,112.72,3.14,2.87
,10.45,0.29,2.85
,89.82,2.41,2.76
