symbol,price,price_change,price_percent_change
,4.95,2.15,76.79
,22.42,6.41,40.04
,5.73,1.56,37.41
,11.03,2.63,31.31
,10.7,2.25,26.72
,5.4,1.13,26.46
,30.86,6.18,25.04
,10.86,2.1,24.0
,10.15,1.79,21.41
,3.34,0.56,19.89
,4.85,0.77,18.87
,20.55,3.25,18.79
,4.31,0.67,18.4
,5.53,0.83,17.58
,2.81,0.41,17.08
,2.39,0.3,14.63
,40.79,4.95,13.81
,5.79,0.7,13.75
,26.07,3.12,13.59
,22.25,2.65,13.52
,31.24,3.52,12.72
,2.51,0.28,12.38
,77.42,8.5,12.33
,10.0,1.05,11.73
,11.53,1.2,11.62
,16.31,1.64,11.18
,18.4,1.8,10.88
,7.24,0.71,10.83
,118.6,11.31,10.54
,4.91,0.45,10.11
,6.67,0.61,10.07
,17.9,1.6,9.82
,26.45,2.25,9.3
,68.28,5.76,9.21
,7.32,0.62,9.18
,18.93,1.58,9.14
,3.0,0.25,9.09
,25.83,2.14,9.03
,4.94,0.49,8.92
,4.03,0.33,8.82
,30.64,2.46,8.73
,6.26,0.5,8.68
,15.94,1.27,8.66
,27.29,2.06,8.16
,62.08,4.67,8.13
,16.48,1.24,8.1
,2.88,0.21,7.87
,165.54,11.96,7.79
,7.97,0.57,7.7
,8.81,0.62,7.57
,9.77,0.69,7.54
,3.42,0.24,7.53
,5.49,0.38,7.44
,6.67,0.46,7.37
,4.03,0.28,7.33
,11.01,0.75,7.31
,41.19,2.77,7.21
,28.16,1.86,7.07
,15.95,1.05,7.05
,30.0,1.96,6.99
,10.02,0.65,6.94
,9.19,0.59,6.86
,42.12,2.67,6.77
,5.92,0.38,6.76
,39.38,2.48,6.72
,329.6,20.74,6.72
,136.44,8.53,6.67
,29.19,1.82,6.65
,7.73,0.48,6.62
,13.08,0.81,6.56
,51.01,3.14,6.56
,14.7,0.9,6.52
,4.93,0.3,6.48
,36.22,2.19,6.45
,191.87,11.55,6.41
,24.17,1.45,6.38
,18.65,1.11,6.33
,9.09,0.54,6.33
,29.29,1.73,6.28
,2.96,0.17,6.27
,4.43,0.26,6.24
,110.47,6.42,6.17
,286.78,16.65,6.16
,190.23,11.0,6.14
,2.6,0.15,6.12
,82.79,4.77,6.11
,23.99,1.37,6.06
,96.7,5.52,6.05
,13.81,0.78,5.99
,21.15,1.18,5.93
,44.16,2.46,5.89
,26.65,1.47,5.84
,103.29,5.6,5.73
,4.58,0.25,5.72
,8.46,0.46,5.68
,6.71,0.36,5.67
,35.15,1.89,5.67
,8.08,0.43,5.62
,13.57,0.72,5.6
,112.02,5.94,5.6
