symbol,price,price_change,price_percent_change
,8.93,6.01,205.82
,6.4,3.3,106.45
,4.43,2.25,103.21
,3.49,1.03,41.87
,4.82,1.21,33.52
,13.85,3.35,31.9
,54.56,13.1,31.6
,15.61,3.72,31.29
,16.36,3.88,31.09
,13.86,3.16,29.53
,9.98,2.27,29.44
,8.77,1.99,29.35
,29.81,6.63,28.6
,191.95,42.59,28.51
,149.9,33.11,28.35
,22.82,4.96,27.77
,15.91,3.44,27.59
,5.08,1.09,27.32
,12.38,2.65,27.16
,2.79,0.59,26.82
,44.8,9.46,26.77
,34.57,7.26,26.58
,10.94,2.27,26.27
,4.04,0.84,26.25
,70.83,14.68,26.14
,133.03,27.43,25.98
,20.96,4.29,25.73
,7.76,1.58,25.57
,38.15,7.73,25.41
,220.35,44.03,24.97
,78.54,15.62,24.83
,4.43,0.88,24.79
,110.92,22.03,24.78
,296.86,58.91,24.76
,30.27,5.96,24.52
,2.64,0.52,24.5
,73.17,14.39,24.48
,106.43,20.61,24.02
,6.15,1.19,23.99
,11.88,2.29,23.96
,26.37,5.09,23.92
,96.7,18.49,23.64
,4.08,0.78,23.64
,46.75,8.91,23.55
,77.24,14.7,23.5
,42.2,8.03,23.5
,5.73,1.09,23.49
,44.27,8.39,23.38
,561.56,106.37,23.37
,7.92,1.5,23.36
,2.75,0.52,23.32
,4.45,0.84,23.27
,6.68,1.26,23.25
,7.28,1.37,23.18
,9.03,1.69,23.02
,8.83,1.65,22.98
,4.08,0.76,22.89
,7.18,1.33,22.74
,11.23,2.08,22.73
,23.23,4.3,22.72
,63.06,11.67,22.71
,39.2,7.25,22.69
,272.2,50.34,22.69
,11.12,2.06,22.66
,5.29,0.98,22.65
,11.32,2.09,22.64
,43.27,7.97,22.58
,29.58,5.44,22.54
,60.27,11.07,22.5
,12.34,2.27,22.49
,50.23,9.22,22.48
,21.82,3.98,22.31
,21.96,4.0,22.27
,62.11,11.3,22.24
,103.79,18.85,22.19
,12.92,2.35,22.19
,8.82,1.59,22.06
,8.54,1.53,21.93
,52.29,9.39,21.9
,10.77,1.93,21.83
,60.96,10.93,21.85
,9.39,1.68,21.79
,8.41,1.5,21.78
,52.26,9.34,21.76
,20.27,3.61,21.67
,9.39,1.67,21.63
,106.59,18.95,21.62
,6.64,1.18,21.61
,11.65,2.07,21.61
,2.76,0.49,21.59
,44.31,7.86,21.56
,21.61,3.83,21.54
,11.81,2.1,21.63
,8.67,1.53,21.43
,19.18,3.37,21.32
,4.1,0.72,21.3
,36.12,6.33,21.22
,185.87,32.37,21.09
,108.93,18.94,21.05
,6.57,1.14,20.99
