symbol,price,price_change,price_percent_change
NFE,,0.99,13.06
RNA,,3.03,11.33
SWTX,,4.64,11.08
ACLX,,6.53,10.76
AMTM,,1.84,10.30
RKT,,1.25,9.92
MRX,,3.16,8.86
SMMT,,1.66,8.83
MRUS,,3.41,8.61
RGTI,,0.68,8.71
AKRO,,3.31,8.57
SRRK,,2.48,8.25
IMVT,,1.22,8.03
IONQ,,1.86,8.02
UWMC,,0.43,8.04
SLNO,,5.41,7.93
LOAR,,5.64,7.91
CLF,,0.64,7.90
NBIS,,1.76,7.76
GRFS,,0.53,7.61
KBR,,3.81,7.63
VKTX,,1.77,7.40
CYTK,,2.75,7.33
TMDX,,4.84,7.09
COOP,,8.48,6.78
AUR,,0.43,6.39
FIVE,,5.01,6.55
RKLB,,1.19,6.56
LKNCY,,2.3,6.45
PENN,,1.03,6.38
IESC,,10.77,6.38
CVNA,,13.8,6.49
MOD,,5.05,6.29
KTOS,,1.86,6.35
RIOT,,0.48,6.37
PSN,,3.5,5.88
LDOS,,8.07,5.98
APGE,,2.22,6.23
COHR,,3.84,6.03
RRX,,6.88,6.00
CLSK,,0.46,6.08
AS,,1.55,5.78
LYFT,,0.72,5.89
CZR,,1.44,5.80
ANF,,4.61,5.85
SMG,,3.17,5.79
ELF,,3.68,5.73
TEM,,2.67,5.65
CIEN,,3.49,5.67
CACI,,21.09,5.70
ODD,,2.59,5.75
LEGN,,1.72,5.46
TGTX,,2.07,5.48
SOUN,,0.46,5.61
WSC,,1.51,5.49
W,,1.77,5.53
CRK,,1.13,5.55
SYM,,1.13,5.41
PRKS,,2.47,5.42
CORZ,,0.42,5.25
IONS,,1.45,5.32
GAP,,1.17,5.51
TSLA,,14.3,5.33
ONON,,2.24,5.23
SHAK,,4.76,5.23
TEX,,1.94,5.10
SMTC,,1.76,5.05
EQH,,2.63,5.03
BURL,,12.37,5.10
BAH,,5.51,5.14
LITE,,3.23,5.08
NATL,,1.35,5.01
AFRM,,2.24,4.92
SN,,4.16,4.94
BWIN,,2.17,4.94
KMX,,3.89,4.93
GEV,,15.31,4.85
BBIO,,1.6,4.85
MARA,,0.58,4.90
COIN,,8.43,4.83
BPMC,,4.07,4.74
EVR,,9.52,4.75
UAL,,3.17,4.65
ASAN,,0.73,4.77
MIR,,0.68,4.77
ACVA,,0.67,4.63
RARE,,1.53,4.52
LNW,,4.08,4.64
BHVN,,1.09,4.82
CG,,2.04,4.61
MLTX,,1.7,4.68
KC,,0.63,4.55
SAIA,,16.05,4.52
UI,,14.1,4.53
AAON,,3.56,4.50
PCVX,,1.46,4.53
RUM,,0.36,4.68
RH,,10.75,4.50
GDS,,1.09,4.32
MEDP,,13.5,4.53
URBN,,2.35,4.43
SATS,,1.1,4.37
BLDR,,5.57,4.43
ILMN,,3.49,4.45
TFII,,3.38,4.36
ALNY,,11.07,4.33
NRG,,4.33,4.40
ALK,,2.11,4.30
ROAD,,3.17,4.33
ACA,,3.39,4.34
TTEK,,1.28,4.31
GLBE,,1.49,4.14
ADMA,,0.81,4.17
VAC,,2.66,4.22
OGN,,0.6,4.25
AVAV,,5.05,4.15
CLS,,3.28,4.15
TOST,,1.41,4.12
DOCN,,1.39,4.11
ELAN,,0.42,4.11
TAL,,0.53,4.02
DECK,,4.63,4.08
VST,,4.9,4.01
PAGS,,0.31,4.04
REZI,,0.73,4.08
HRI,,5.38,3.93
HBI,,0.22,3.92
AIR,,2.25,4.06
TPG,,1.9,3.98
ETSY,,1.89,3.89
PTCT,,1.77,3.80
OLN,,0.92,3.87
WSM,,6.14,3.86
LAZ,,1.62,3.71
RYTM,,1.96,3.92
MAC,,0.65,3.81
MRCY,,1.63,3.75
DKNG,,1.24,3.74
QXO,,0.54,3.81
CEG,,7.52,3.63
DASH,,6.83,3.74
BBWI,,1.16,3.79
ATGE,,3.86,3.79
UAA,,0.24,3.70
FIX,,12.28,3.72
R,,5.49,3.75
WCC,,5.93,3.79
RCRUY,,0.39,3.75
TKO,,5.73,3.75
RDNT,,1.89,3.73
ALGN,,5.9,3.73
LGND,,3.91,3.73
VIK,,1.5,3.70
ENVA,,3.7,3.70
NVMI,,6.78,3.67
RNW,,0.2,3.42
CAVA,,3.12,3.58
GTES,,0.67,3.61
GTLS,,5.34,3.65
OWL,,0.75,3.65
AEO,,0.44,3.61
WPP,,1.32,3.64
NUVL,,2.46,3.62
DELL,,3.34,3.63
RXRX,,0.2,3.83
FUN,,1.25,3.46
UPST,,1.63,3.54
BOOT,,4.03,3.63
BZLFY,,0.68,3.60
KRYS,,6.42,3.68
TNL,,1.63,3.52
LTH,,1.08,3.57
QFIN,,1.58,3.57
U,,0.75,3.71
MTZ,,4.09,3.45
PFSI,,3.69,3.69
WBD,,0.35,3.43
TEAM,,7.55,3.49
ZETA,,0.49,3.49
SAH,,1.99,3.43
DRVN,,0.57,3.41
LNC,,1.24,3.44
TGLS,,2.47,3.44
ATS,,0.87,3.43
TLN,,7.29,3.51
NET,,3.84,3.32
MMS,,2.33,3.39
ARES,,5.08,3.40
BDC,,3.43,3.39
NEXT,,0.27,3.52
BX,,4.81,3.37
CRDO,,1.32,3.16
BNTX,,3.03,3.36
RBRK,,1.92,3.18
MDGL,,10.62,3.28
SHC,,0.37,3.32
RSI,,0.37,3.37
GSHD,,3.76,3.18
UA,,0.2,3.28
EXP,,7.63,3.35
