symbol,price,price_change,price_percent_change
HSAI,,2.5,12.63
MHVIY,,4.37,12.48
TXHPF,,2.03,11.31
CELH,,2.85,10.52
CALM,,8.67,10.44
QBTS,,1.06,10.45
ASND,,15.86,10.37
ENPH,,5.67,9.75
DLO,,0.8,9.28
QFIN,,3.94,9.12
AEO,,0.98,8.86
BIDU,,8.45,9.01
UEC,,0.42,8.32
RNA,,2.72,8.74
SGBAF,,0.51,8.51
VRNA,,5.17,8.42
TCOM,,4.94,8.00
TAL,,1.03,7.74
LION,,0.6,7.91
NFE,,0.73,7.88
TNXP,,1.28,8.53
RXRX,,0.49,7.72
CVI,,1.46,7.59
MTSUY,,1.32,7.51
YOU,,1.86,7.59
PBF,,1.55,7.47
LITE,,4.7,7.39
HOOD,,2.78,7.08
SAIC,,7.47,7.15
OTLY,,0.62,7.01
INTC,,1.64,6.82
TKAMY,,0.63,6.62
LKNCY,,2.23,6.63
CDE,,0.38,6.38
SSUMY,,1.52,6.52
VEON,,2.71,6.45
PAGS,,0.51,6.53
LMND,,2.02,5.78
BDORY,,0.3,6.32
XIACF,,0.43,6.17
AG,,0.41,6.06
YMM,,0.78,6.07
XIACY,,2.12,6.08
AES,,0.73,5.97
TWST,,2.38,5.96
RKT,,0.87,5.85
GEV,,18.39,5.86
IAC,,2.56,5.75
ORLA,,0.51,5.80
ENOV,,2.15,5.79
MPWR,,34.58,5.71
SQM,,2.44,5.67
M,,0.74,5.66
YETI,,1.82,5.66
TEM,,2.7,5.72
HII,,11.09,5.65
DPZ,,24.02,5.64
LIVN,,2.17,5.53
LTH,,1.59,5.53
VIPS,,0.9,5.35
ALB,,4.09,5.44
CART,,2.07,5.37
XP,,0.79,5.39
LW,,2.66,5.22
HGV,,1.86,5.33
CROX,,5.27,5.34
CAAP,,0.98,5.33
RDNT,,2.48,5.33
LULU,,16.06,5.16
AMTM,,0.93,5.20
ACHR,,0.43,5.40
PDD,,6.36,5.19
BRRLY,,0.67,5.18
FINV,,0.44,5.05
UTHR,,15.7,5.11
CCL,,0.97,4.87
BMRRY,,0.68,5.00
PTCT,,2.67,4.90
VCEL,,2.22,4.89
KTOS,,1.46,4.80
JD,,2.05,4.75
STNE,,0.47,4.84
BX,,6.91,4.90
HIMS,,1.53,4.62
APP,,13.96,4.77
TTD,,2.56,4.75
BXP,,3.14,4.79
ALNY,,11.35,4.69
HOG,,1.15,4.68
BABA,,6.52,4.62
PAR,,2.7,4.60
CPNG,,1.01,4.49
HUM,,11.48,4.54
WSM,,7.59,4.53
FRHC,,5.86,4.62
MNSO,,0.93,4.52
NICE,,6.44,4.45
TME,,0.51,4.06
TRIP,,0.61,4.41
OLED,,6.61,4.41
THC,,5.36,4.37
ERJ,,2.29,4.38
HKXCY,,2.02,4.37
WFRD,,2.32,4.37
MELI,,85.09,4.21
ITUB,,0.26,4.34
TKO,,6.0,4.30
CUK,,0.78,4.33
SRPT,,4.16,4.28
RDY,,0.56,4.42
UWMC,,0.26,4.29
SNAP,,0.35,4.05
NCLH,,0.87,4.53
HBM,,0.33,4.27
CSAN,,0.22,4.27
TW,,5.77,4.25
CIVI,,1.41,4.19
KC,,0.72,4.16
MDB,,7.68,4.14
KRYS,,7.51,4.19
AAL,,0.45,4.14
TRU,,3.42,4.15
UHS,,6.83,4.07
IGT,,0.72,4.29
COHR,,2.68,4.17
TPG,,1.92,4.03
ACI,,0.87,4.13
ICUI,,5.76,4.01
IONS,,1.34,4.07
VIK,,1.64,4.06
VWDRY,,0.21,4.05
DVA,,5.76,4.02
SPOT,,22.83,3.97
DT,,1.95,4.02
TSRYY,,0.25,4.01
KSPI,,3.97,4.15
LUMN,,0.19,3.90
CACI,,14.82,3.97
SE,,5.25,4.12
YUMC,,2.01,3.92
MRX,,1.28,3.90
MNDY,,9.86,3.85
TER,,3.43,3.95
NVO,,3.01,3.90
PII,,1.63,3.85
IRM,,3.26,3.80
BVN,,0.58,3.91
BILI,,0.84,3.92
XPO,,3.96,3.69
ZTO,,0.78,3.88
ALIT,,0.23,3.76
SAND,,0.25,3.83
KGS,,1.42,3.87
AA,,1.28,3.82
HRB,,1.9,3.78
OPCH,,1.23,3.77
FTI,,1.01,3.69
DUOL,,10.64,3.75
PAYC,,8.04,3.87
IBKR,,6.29,3.74
BGC,,0.33,3.75
CPRX,,0.79,3.76
TNET,,2.81,3.75
PRGO,,1.0,3.67
MSSMY,,0.31,3.68
MAC,,0.61,3.73
UAA,,0.25,3.66
DINO,,1.15,3.57
POWL,,6.32,3.65
BZ,,0.72,3.65
SYNA,,2.27,3.61
ANF,,2.87,3.60
WHR,,3.28,3.61
VRN,,0.22,3.61
EL,,2.39,3.59
ASO,,1.62,3.59
OWL,,0.67,3.49
LGF-B,,0.3,3.59
UNM,,2.78,3.52
NXT,,1.59,3.59
VNO,,1.28,3.48
MTDR,,1.74,3.58
AMD,,3.62,3.59
VRNS,,1.44,3.60
GLNG,,1.19,3.51
ENSG,,4.42,3.52
PAAS,,0.92,3.57
PK,,0.39,3.44
EQX,,0.24,3.49
APO-PA,,2.79,3.88
MPC,,5.01,3.55
LGND,,3.76,3.54
AR,,1.32,3.51
H,,4.38,3.58
OBDC,,0.51,3.54
RCL,,7.39,3.49
ZETA,,0.49,3.51
VICR,,1.85,3.45
TGLS,,2.23,3.27
EIX,,1.98,3.47
