symbol,price,price_change,price_percent_change
GT,,1.32,14.47
LW,,5.49,10.14
VTMX,,1.98,8.68
MOH,,27.93,8.50
SAABY,,1.47,7.51
TSCDY,,0.9,7.00
DANOY,,0.89,5.84
WMMVY,,1.6,5.67
NGG,,3.69,5.62
STNE,,0.58,5.36
ORANY,,0.69,5.31
CNC,,3.19,5.24
ALHC,,0.93,5.21
UL,,2.97,4.96
DG,,4.44,4.93
KR,,3.07,4.56
AWK,,6.76,4.62
FMS,,1.15,4.65
PAGS,,0.36,4.57
SBS,,0.81,4.52
CCEP,,3.65,4.18
UNH,,21.73,4.15
BAESY,,3.35,4.04
AMX,,0.59,4.08
ELV,,17.13,3.99
SBAC,,8.82,4.02
XIACY,,1.15,4.06
BTI,,1.6,3.96
WTRG,,1.5,3.81
PM,,5.87,3.76
BKGFY,,0.35,3.78
IMBBY,,1.36,3.71
FSLR,,4.69,3.61
XIACF,,0.21,3.70
AZN,,2.67,3.70
FMX,,3.7,3.70
AMT,,7.99,3.66
OHI,,1.4,3.70
KOF,,3.41,3.59
CBOE,,8.21,3.66
NSRGY,,3.56,3.50
VIV,,0.3,3.34
CSAN,,0.18,3.38
KT,,0.59,3.41
ELP,,0.25,3.37
EBR,,0.24,3.37
CM,,1.99,3.44
HLN,,0.35,3.48
TIMB,,0.53,3.29
MKTX,,6.85,3.25
BEKE,,0.67,3.28
CL,,2.99,3.20
ELS,,2.09,3.14
AWR,,2.43,3.13
GSK,,1.17,3.11
FTS,,1.44,3.12
CWT,,1.49,3.07
ITUB,,0.17,3.16
TU,,0.43,3.07
VOD,,0.28,3.02
MCK,,22.31,3.22
JNJ,,4.53,2.92
