symbol,price,price_change,price_percent_change
,27.92,14.26,104.39
,10.15,3.25,46.96
,22.16,6.29,39.6
,14.06,3.27,30.37
,33.61,7.7,29.72
,7.07,1.58,28.78
,11.22,2.47,28.23
,8.26,1.81,28.02
,70.68,15.4,27.87
,6.89,1.38,25.05
,4.31,0.85,24.57
,3.76,0.69,22.48
,7.61,1.35,21.57
,3.33,0.59,21.53
,16.61,2.94,21.51
,2.48,0.43,21.32
,39.58,6.87,21.0
,11.82,1.99,20.19
,4.74,0.82,20.82
,5.31,0.91,20.77
,3.66,0.61,19.97
,2.46,0.4,19.08
,3.69,0.58,18.65
,8.38,1.29,18.29
,7.34,1.13,18.12
,25.23,3.84,17.95
,18.41,2.8,17.94
,2.83,0.43,17.92
,25.07,3.7,17.31
,5.2,0.74,16.7
,7.74,1.09,16.49
,7.07,1.0,16.43
,10.54,1.47,16.15
,10.34,1.43,16.05
,3.14,0.43,15.87
,27.72,3.77,15.74
,14.95,1.98,15.27
,5.98,0.79,15.22
,4.18,0.55,15.15
,2.98,0.39,15.06
,5.66,0.74,15.04
,17.49,2.28,14.99
,5.88,0.77,14.97
,5.0,0.65,14.94
,9.36,1.2,14.71
,85.65,10.95,14.66
,7.38,0.93,14.42
,2.4,0.3,14.29
,4.32,0.54,14.12
,3.51,0.43,13.96
,16.0,1.94,13.8
,2.98,0.36,13.71
,18.49,2.22,13.64
,5.91,0.71,13.6
,357.16,42.69,13.58
,9.91,1.18,13.52
,5.34,0.63,13.38
,54.9,6.46,13.34
,10.62,1.24,13.21
,5.67,0.66,13.17
,6.39,0.74,13.1
,6.4,0.74,13.07
,3.81,0.44,13.06
,3.73,0.43,13.03
,297.49,34.23,13.0
,93.04,10.7,12.99
,151.64,17.41,12.97
,2.34,0.27,12.8
,4.61,0.52,12.71
,2.66,0.3,12.71
,2.71,0.3,12.68
,5.45,0.61,12.6
,2.35,0.26,12.44
,2.26,0.25,12.44
,3.6,0.4,12.31
,7.04,0.76,12.1
,7.7,0.83,12.07
,2.62,0.28,11.97
,2.5,0.27,11.83
,11.63,1.23,11.83
,47.14,4.98,11.81
,48.85,5.14,11.76
,20.11,2.12,11.75
,48.18,5.04,11.69
,11.48,1.2,11.67
,61.94,6.45,11.61
,5.62,0.58,11.61
,2.9,0.3,11.54
,6.44,0.65,11.23
,6.97,0.71,11.34
,3.93,0.4,11.17
,4.86,0.48,11.1
,4.06,0.41,11.1
,24.17,2.4,11.02
,18.0,1.78,10.97
,2.44,0.24,10.91
,7.77,0.76,10.88
,286.6,28.11,10.87
,43.47,4.24,10.81
,4.0,0.39,10.8
