symbol,price,price_change,price_percent_change
,10.22,6.02,143.33
,4.36,1.81,71.15
,3.82,1.27,49.99
,10.9,2.72,33.25
,2.68,0.64,30.98
,4.06,0.94,30.13
,4.85,1.11,29.74
,14.58,3.32,29.52
,8.11,1.7,26.52
,3.79,0.67,21.49
,3.57,0.58,19.4
,7.43,1.2,19.26
,12.5,1.93,18.26
,6.81,0.99,17.01
,7.29,1.01,16.08
,22.57,3.02,15.45
,10.66,1.42,15.38
,23.85,3.17,15.33
,4.96,0.65,15.08
,2.52,0.31,14.03
,2.4,0.29,13.89
,3.2,0.37,13.07
,16.81,1.93,12.97
,8.16,0.92,12.71
,5.55,0.59,11.9
,225.5,23.61,11.7
,2.33,0.23,10.79
,2.78,0.26,10.32
,9.9,0.88,9.76
,4.84,0.42,9.5
,4.2,0.35,9.09
,5.76,0.47,8.94
,4.42,0.36,8.87
,4.31,0.35,8.85
,11.15,0.88,8.59
,3.7,0.28,8.31
,6.62,0.48,7.77
,12.4,0.89,7.69
,3.16,0.23,7.65
,7.68,0.53,7.34
,2.32,0.16,7.41
,25.5,1.7,7.14
,5.7,0.38,7.14
,3.54,0.23,6.8
,65.82,3.9,6.31
,2.76,0.16,6.15
,3.18,0.18,6.0
,2.64,0.14,5.82
,6.3,0.34,5.7
,3.26,0.17,5.68
,3.44,0.18,5.67
,9.36,0.5,5.64
,2.92,0.15,5.62
,12.81,0.68,5.61
,10.38,0.55,5.54
,23.24,1.2,5.44
,5.2,0.27,5.36
,4.33,0.22,5.33
,78.71,3.86,5.16
,26.02,1.27,5.13
,45.84,2.21,5.07
,26.56,1.22,4.81
,44.12,2.02,4.8
,7.12,0.33,4.78
,4.55,0.2,4.6
,10.21,0.44,4.5
,37.08,1.58,4.46
,3.7,0.15,4.37
,14.24,0.59,4.36
,2.88,0.12,4.35
,6.08,0.25,4.29
,10.67,0.43,4.17
,25.75,1.02,4.12
,6.6,0.26,4.1
,25.94,0.99,3.99
,19.77,0.74,3.89
,3.77,0.14,3.87
,12.28,0.46,3.85
,38.18,1.4,3.81
,9.5,0.34,3.71
,2.83,0.1,3.66
,27.83,0.98,3.65
,4.97,0.17,3.65
,8.14,0.28,3.63
,3.3,0.12,3.61
,48.38,1.68,3.6
,12.2,0.42,3.57
,11.65,0.4,3.56
,5.91,0.2,3.5
,4.12,0.14,3.39
,15.14,0.49,3.38
,25.1,0.82,3.38
,4.96,0.16,3.33
,4.7,0.15,3.3
,2.82,0.09,3.3
,70.34,2.22,3.26
,6.03,0.19,3.25
,16.25,0.51,3.24
,7.71,0.24,3.21
,2.23,0.07,3.21
