symbol,price,price_change,price_percent_change
,9.77,3.95,67.87
,3.98,1.51,61.13
,55.95,17.6,45.89
,17.3,5.18,42.74
,14.96,4.44,42.21
,6.07,1.77,41.16
,3.18,0.89,38.48
,4.87,1.3,36.41
,15.66,3.62,30.07
,8.44,1.84,27.88
,10.85,2.18,25.14
,4.49,0.8,21.68
,5.75,0.95,19.79
,2.63,0.38,16.89
,4.42,0.62,16.32
,5.7,0.79,16.09
,3.4,0.35,11.48
,7.66,0.77,11.18
,44.37,4.29,10.7
,7.62,0.69,9.96
,21.97,1.92,9.58
,13.96,1.21,9.49
,3.02,0.26,9.42
,2.45,0.21,9.37
,2.27,0.19,9.13
,4.59,0.35,8.25
,12.85,0.95,7.98
,43.96,3.23,7.93
,20.81,1.51,7.85
,2.66,0.19,7.69
,3.96,0.28,7.61
,26.9,1.85,7.39
,17.81,1.2,7.22
,19.65,1.31,7.14
,29.18,1.89,6.93
,4.17,0.27,6.92
,78.04,5.04,6.9
,118.52,7.42,6.68
,11.2,0.7,6.67
,71.58,4.26,6.33
,29.76,1.69,6.02
,66.95,3.76,5.95
,5.17,0.29,5.94
,9.45,0.52,5.82
,3.15,0.17,5.7
,77.24,3.99,5.45
,3.73,0.19,5.37
,744.83,37.32,5.27
,2.8,0.14,5.26
,28.04,1.31,4.9
,22.6,1.04,4.82
,74.04,3.36,4.75
,11.78,0.53,4.71
,7.38,0.33,4.68
,10.94,0.48,4.59
,76.16,3.33,4.57
,3.96,0.17,4.49
,8.03,0.34,4.46
,94.21,3.85,4.26
,6.62,0.27,4.25
,24.15,0.98,4.23
,15.04,0.6,4.16
,42.56,1.69,4.14
,84.16,3.3,4.08
,26.97,1.05,4.05
,40.49,1.57,4.03
,27.14,1.05,4.02
,88.0,3.35,3.96
,48.65,1.85,3.95
,53.0,2.0,3.92
,3.19,0.12,3.91
,14.92,0.56,3.9
,37.54,1.4,3.87
,12.88,0.48,3.87
,2.45,0.09,3.81
,6.38,0.23,3.74
,8.99,0.32,3.69
,28.63,1.01,3.66
,16.22,0.57,3.64
,44.34,1.52,3.55
,36.46,1.24,3.52
,13.47,0.45,3.46
,24.87,0.83,3.45
,110.01,3.67,3.45
,36.58,1.21,3.42
,4.84,0.16,3.42
,28.61,0.94,3.4
,4.89,0.16,3.38
,24.86,0.81,3.37
,12.9,0.42,3.37
,151.9,4.88,3.32
,63.11,2.02,3.31
,72.93,2.29,3.24
,286.45,8.8,3.17
,5.38,0.17,3.16
,70.67,2.16,3.15
,34.69,1.05,3.12
,2.35,0.07,3.07
,20.5,0.61,3.07
,262.28,7.71,3.03
