symbol,price,price_change,price_percent_change
DOCU,,6.76,9.05
ULTA,,26.04,8.30
BEKE,,1.82,8.11
IONQ,,1.16,5.43
ALGM,,0.4,1.52
FUTU,,7.52,7.01
SLNO,,0.39,0.80
MNSO,,1.01,5.11
HSAI,,0.49,2.38
SSRM,,-0.01,-0.14
APP,,12.44,4.57
CVNA,,7.61,4.57
SHOP,,2.89,3.19
MSTR,,11.23,4.27
MU,,5.4,5.69
FINV,,0.31,3.80
TEM,,1.63,3.88
PONY,,0.54,4.22
CC,,0.54,3.94
VRT,,4.22,5.08
AES,,0.15,1.22
PLTR,,2.99,3.76
PDD,,3.89,3.28
SMCI,,1.57,4.02
VIST,,1.81,3.82
ABM,,1.55,3.41
ZTO,,0.65,3.35
UPST,,1.77,3.82
SARO,,0.03,0.12
NOC,,-2.61,-0.53
SAN,,0.21,3.26
CLS,,2.94,3.41
RUM,,0.27,3.57
AFRM,,1.64,3.51
TEAM,,5.95,2.86
TCOM,,2.16,3.55
