symbol,price,price_change,price_percent_change
QBTS,,2.57,37.12
RBRK,,13.75,24.87
RGTI,,1.63,18.61
DOCU,,13.68,18.31
SMTC,,5.42,16.55
WXXWY,,0.89,14.83
PTON,,0.81,13.33
FNMA,,0.66,12.04
OKLO,,2.75,11.47
WGS,,10.06,11.26
ULTA,,35.68,11.35
FMCKJ,,1.09,11.01
SOUN,,0.95,10.66
IONQ,,2.29,10.72
FMCC,,0.47,10.22
VNET,,1.07,10.24
AUR,,0.63,10.14
CCI,,9.5,10.16
FNMAS,,1.03,10.05
PONY,,1.29,10.11
FNMAT,,0.91,9.84
MSTR,,25.35,9.63
ASR,,24.79,9.59
TEM,,4.03,9.56
FNMAJ,,0.83,9.52
FNMAH,,0.75,9.20
WRD,,1.48,9.09
TNXP,,1.2,8.83
RSI,,0.84,8.68
FMCKI,,0.69,8.61
NU,,0.9,8.42
MARA,,0.97,7.94
FUTU,,8.69,8.08
TGTX,,2.94,7.95
ALAB,,5.0,7.65
HOOD,,2.76,7.66
ROOT,,10.05,7.49
FUN,,2.67,7.62
APP,,20.58,7.57
SMMT,,1.41,7.34
CAR,,4.06,7.32
BOLSY,,0.44,7.31
PLTR,,5.75,7.22
NBIS,,1.83,6.99
FMCKM,,0.56,7.05
CRDO,,3.28,7.30
ACHR,,0.51,6.96
CLF,,0.69,7.04
BEKE,,1.52,6.80
ELF,,4.26,6.77
CSAN,,0.33,6.59
ASAN,,0.86,6.70
OMAB,,4.97,6.58
CE,,3.59,6.76
PETRY,,0.37,6.41
RIOT,,0.45,6.22
LKNCY,,1.98,6.24
FINMY,,1.51,6.28
MP,,1.53,6.26
SMMYY,,0.32,6.14
PSTG,,2.94,6.06
CVNA,,10.08,6.05
AFRM,,2.81,5.99
MU,,5.68,5.99
WDC,,2.53,6.02
BYDDY,,5.47,5.80
LYFT,,0.66,5.90
CZR,,1.59,5.97
BYDDF,,2.76,5.84
CC,,0.82,5.95
LMND,,1.82,5.58
SPOT,,31.08,5.78
STNE,,0.53,5.80
TGS,,1.44,5.63
CVLT,,8.41,5.67
SMCI,,2.1,5.36
OKTA,,6.01,5.64
PEGA,,3.82,5.60
BILL,,2.41,5.47
RKLB,,0.95,5.41
EDU,,2.71,5.64
MANH,,8.56,5.24
VEON,,2.15,5.39
RDDT,,6.44,5.30
PENN,,0.89,5.50
KVYO,,1.67,5.22
OTLY,,0.49,5.90
SCHW,,3.93,5.35
PATH,,0.53,5.37
XP,,0.72,5.22
SOFI,,0.59,5.15
MPNGY,,2.22,5.19
INFA,,0.87,5.00
MKSI,,4.16,5.12
CAVA,,3.72,5.02
CLS,,4.09,4.73
QFIN,,2.15,5.37
PNGAY,,0.62,5.10
GWRE,,9.03,5.13
ZLAB,,1.85,5.12
GKOS,,4.87,5.04
ATAT,,1.52,5.13
SYM,,1.02,4.99
NE,,1.13,5.03
STR,,0.92,4.93
PBR,,0.62,4.87
YPF,,1.61,4.78
AVPT,,0.69,5.00
PAC,,8.85,4.83
MGM,,1.49,4.94
TMDX,,3.1,4.82
ITUB,,0.27,4.72
AS,,1.27,4.77
DAN,,0.65,4.74
FIVN,,1.31,4.62
FLR,,1.66,4.75
MRX,,1.48,4.72
HPE,,0.72,4.91
GH,,1.99,4.88
CLBT,,0.82,4.75
LW,,2.33,4.80
MDGL,,14.94,4.63
SPSC,,5.68,4.62
DAY,,2.38,4.57
ACVA,,0.65,4.64
CRWD,,15.47,4.65
CYBR,,14.49,4.50
VALE,,0.43,4.56
UMC,,0.31,4.71
PEN,,11.83,4.54
DY,,6.7,4.54
ORLA,,0.36,4.34
TSEM,,1.69,4.50
SRRK,,1.5,4.34
CRTO,,1.56,4.48
PTCT,,2.21,4.19
MPWR,,24.83,4.35
TEAM,,9.44,4.54
VICR,,2.26,4.43
NFE,,0.38,4.47
ARM,,4.93,4.40
SITM,,7.29,4.60
FINV,,0.36,4.40
MNDY,,10.85,4.48
APGE,,1.67,4.36
DB,,1.01,4.39
SOC,,1.02,4.33
ENVA,,3.62,4.14
INTR,,0.24,4.32
BL,,2.05,4.32
MT,,1.34,4.36
NUVL,,3.25,4.37
TRMB,,2.86,4.31
NVDA,,4.95,4.28
OVV,,1.65,4.31
DLO,,0.37,4.50
AAON,,3.38,4.31
URI,,24.71,4.15
KD,,1.41,4.18
PODD,,10.33,4.22
RXRX,,0.25,4.25
LRCX,,3.25,4.33
LSCC,,2.4,4.13
FG,,1.69,4.20
NTRA,,5.98,4.20
HWKN,,4.25,4.12
LPLA,,12.84,4.16
CHKP,,8.93,4.15
LRLCY,,3.19,4.15
IBKR,,6.8,4.22
PTEN,,0.32,4.14
ZK,,1.23,4.13
ADBE,,15.91,4.21
WSC,,1.19,4.16
DELL,,3.85,4.16
ACHC,,1.16,4.12
OMF,,1.86,4.10
PBR-A,,0.48,4.08
WK,,3.48,4.09
FRHC,,4.99,4.08
MNSO,,0.81,4.08
PRCT,,2.34,4.18
GXO,,1.6,4.10
UPST,,1.85,3.99
NOW,,33.4,4.12
ZETA,,0.55,4.00
PAGS,,0.31,4.07
TRGP,,7.37,4.03
VAL,,1.47,4.05
USAC,,1.01,3.99
THO,,3.1,4.04
WNS,,2.19,3.70
VIV,,0.34,3.92
KLAC,,27.12,3.98
ONTO,,5.34,3.97
ELP,,0.28,3.96
AROC,,0.95,3.97
LB,,2.66,3.94
ACAD,,0.66,3.96
FIX,,12.85,3.93
