symbol,price,price_change,price_percent_change
,9.6,4.89,103.82
,6.2,2.29,58.57
,17.0,5.0,41.67
,17.65,4.32,32.41
,5.64,0.94,20.0
,138.16,22.93,19.9
,3.18,0.52,19.55
,3.45,0.4,13.11
,35.99,3.99,12.47
,7.18,0.79,12.36
,5.32,0.57,12.11
,3.42,0.36,11.76
,9.48,0.98,11.53
,2.88,0.29,11.2
,6.61,0.66,11.09
,7.2,0.69,10.6
,14.06,1.23,9.54
,7.99,0.67,9.15
,4.75,0.39,8.94
,17.35,1.41,8.85
,10.46,0.81,8.39
,12.79,0.96,8.11
,4.08,0.29,7.65
,71.26,4.97,7.51
,9.46,0.65,7.43
,14.78,1.0,7.26
,3.27,0.22,7.21
,3.5,0.23,7.03
,15.67,1.01,6.89
,71.99,4.6,6.83
,4.41,0.28,6.78
,6.34,0.4,6.73
,7.62,0.47,6.57
,6.67,0.41,6.55
,13.7,0.83,6.45
,2.98,0.18,6.43
,8.45,0.51,6.42
,4.0,0.23,6.1
,16.6,0.94,6.0
,6.51,0.34,5.51
,7.27,0.37,5.36
,6.71,0.33,5.17
,4.3,0.2,4.88
,7.76,0.35,4.72
,3.58,0.16,4.68
,2.91,0.13,4.68
,12.5,0.55,4.6
,21.9,0.94,4.48
,2.8,0.12,4.48
,3.39,0.14,4.31
,14.78,0.58,4.08
,272.38,10.68,4.08
,7.3,0.28,3.99
,6.14,0.23,3.98
,12.58,0.47,3.88
,3.48,0.13,3.88
,27.95,1.03,3.83
,3.0,0.11,3.81
,48.26,1.75,3.76
,22.39,0.81,3.75
,43.07,1.54,3.71
,3.56,0.13,3.63
,10.05,0.35,3.61
,4.7,0.16,3.52
,3.54,0.12,3.51
,36.18,1.21,3.46
,2.17,0.07,3.33
,6.11,0.19,3.21
,37.29,1.11,3.07
,75.94,2.21,3.0
,4.99,0.14,3.0
,22.56,0.64,2.92
,42.16,1.16,2.83
,8.36,0.22,2.7
,36.97,0.97,2.69
,14.82,0.38,2.63
,65.6,1.67,2.6
,34.66,0.87,2.57
,6.48,0.16,2.53
,35.32,0.87,2.53
,53.6,1.32,2.52
,63.48,1.53,2.47
,54.8,1.31,2.45
,57.89,1.38,2.44
,40.99,0.95,2.37
,48.53,1.1,2.32
,32.67,0.74,2.32
,153.38,3.46,2.31
,24.27,0.54,2.28
,36.99,0.81,2.24
,146.26,3.2,2.24
,23.36,0.51,2.23
,37.51,0.81,2.21
,13.25,0.28,2.16
,42.59,0.9,2.16
,51.74,1.09,2.15
,8.56,0.18,2.15
,9.52,0.2,2.15
,21.62,0.45,2.13
,35.72,0.74,2.12
