symbol,price,price_change,price_percent_change
QBTS,,3.22,46.60
RGTI,,2.47,28.23
RBRK,,15.28,27.64
SMTC,,6.89,21.06
IONQ,,3.65,17.08
PTON,,0.98,16.14
SOUN,,1.43,16.05
OKLO,,3.72,15.53
DOCU,,11.06,14.81
WXXWY,,0.86,14.65
ULTA,,43.01,13.68
WRD,,2.13,13.09
ROOT,,17.5,13.04
MSTR,,34.23,13.00
TEM,,5.0,11.87
FNMA,,0.65,11.86
VNET,,1.25,12.02
CAR,,6.46,11.64
AUR,,0.71,11.34
BOLSY,,0.67,11.13
RSI,,1.03,10.64
FMCC,,0.49,10.65
ASR,,27.37,10.59
CCI,,9.67,10.34
ALAB,,6.86,10.50
MP,,2.49,10.21
WGS,,9.15,10.24
FUTU,,10.95,10.18
TNXP,,1.36,9.97
TGTX,,3.78,10.20
NBIS,,2.58,9.86
CRDO,,4.2,9.34
NU,,0.98,9.07
FNMAH,,0.75,9.20
PATH,,0.91,9.13
FMCKM,,0.71,8.94
HOOD,,3.22,8.94
FNMAJ,,0.77,8.83
NFE,,0.76,8.88
ELF,,5.23,8.31
BEKE,,1.95,8.71
CVNA,,14.49,8.69
ACHR,,0.65,8.97
FMCKI,,0.69,8.61
PONY,,1.11,8.67
MARA,,1.02,8.39
PLTR,,6.62,8.31
SMMT,,1.6,8.34
ASAN,,0.98,7.59
QFIN,,3.22,8.06
ATEYY,,4.22,7.99
FUN,,2.74,7.83
SMCI,,3.09,7.91
FINMY,,1.9,7.90
MDGL,,25.33,7.84
ASTS,,2.03,7.77
APP,,20.89,7.68
OMAB,,5.52,7.30
CE,,3.98,7.50
LB,,5.05,7.49
IEP,,0.63,7.10
FNMAL,,1.2,7.38
CVLT,,10.86,7.32
FNMAS,,0.71,6.93
FNMAT,,0.65,7.03
OMF,,3.31,7.30
LMND,,2.35,7.21
FMCKJ,,0.71,7.17
SPOT,,36.76,6.83
CSAN,,0.35,7.10
RXRX,,0.41,6.90
RKLB,,1.24,7.06
RIOT,,0.51,6.98
TGS,,1.76,6.89
SAABY,,1.27,6.86
CLF,,0.67,6.83
AFRM,,3.18,6.78
LKNCY,,1.98,6.24
CRWD,,21.2,6.38
BRZE,,2.17,6.55
TMDX,,4.18,6.50
OTLY,,0.53,6.38
AVPT,,0.87,6.31
INTR,,0.36,6.49
MKSI,,5.08,6.25
SOFI,,0.7,6.15
DAL,,2.84,6.45
FG,,2.48,6.16
ENVA,,5.4,6.19
MU,,5.91,6.23
DAY,,3.22,6.17
MPWR,,34.85,6.10
SMMYY,,0.32,6.14
YPF,,2.06,6.11
VEON,,2.26,5.68
RUM,,0.46,6.08
CLS,,5.19,6.01
HRI,,7.21,5.90
NE,,1.32,5.88
WDC,,2.5,5.95
STR,,1.12,6.00
LYFT,,0.65,5.77
BYDDY,,5.49,5.82
GKOS,,5.54,5.73
HPE,,0.85,5.79
CLBT,,0.97,5.61
RGEN,,8.18,5.74
PNGAY,,0.7,5.76
THLLY,,2.98,5.76
ZLAB,,2.06,5.70
BYDDF,,2.71,5.72
KNF,,5.01,5.67
TOST,,1.86,5.72
SHAK,,4.75,5.74
KTB,,3.23,5.43
DJTWW,,0.66,5.69
OKTA,,5.92,5.55
XP,,0.78,5.62
PEGA,,3.85,5.65
GH,,2.25,5.54
EDU,,2.69,5.60
SITM,,8.61,5.43
MNDY,,13.5,5.57
VAL,,2.02,5.56
OVV,,2.14,5.57
DJT,,1.04,5.43
LITE,,3.32,5.51
ATAT,,1.63,5.50
VST,,6.4,5.42
GWRE,,9.66,5.49
DY,,8.08,5.48
MANH,,9.0,5.50
RRR,,2.35,5.50
DAN,,0.76,5.55
PBR,,0.71,5.58
BILL,,2.41,5.47
PBF,,1.06,5.39
PR,,0.69,5.34
DB,,1.23,5.35
UAL,,3.77,5.39
CZR,,1.44,5.41
SYM,,1.09,5.30
NVDA,,6.09,5.27
VICR,,2.66,5.22
FLR,,1.86,5.32
CYBR,,17.33,5.38
MGM,,1.59,5.27
TREX,,2.87,5.31
STNE,,0.5,5.42
RDDT,,6.45,5.31
PENN,,0.86,5.30
VRT,,4.52,5.45
GDS,,1.75,5.22
PETRY,,0.3,5.20
ORLA,,0.43,5.19
SPSC,,6.38,5.18
INFA,,0.91,5.23
ARM,,5.89,5.26
PBR-A,,0.61,5.15
CC,,0.7,5.15
ZK,,1.5,5.04
BL,,2.43,5.12
OSIS,,8.93,5.09
ANF,,3.84,5.06
AAON,,3.83,4.89
TPL,,63.36,5.05
HIMS,,1.61,5.10
SCHW,,3.58,4.88
MRX,,1.56,4.97
TEAM,,10.44,5.02
UI,,15.2,5.00
TLN,,9.73,4.98
MNSO,,0.98,4.97
THO,,3.83,4.99
SAN,,0.32,4.96
UMC,,0.32,4.95
FINV,,0.41,4.94
GME,,1.08,4.92
PAM,,3.85,4.89
RNMBY,,14.21,4.98
MPNGY,,2.1,4.91
AMBA,,2.58,4.94
URI,,29.04,4.89
PSTG,,2.36,4.86
NRG,,4.41,4.85
HWKN,,4.92,4.77
BROS,,2.81,4.71
UPST,,2.23,4.82
BZ,,0.89,4.72
WNS,,2.86,4.82
LSCC,,2.81,4.85
APPF,,10.08,4.88
PEN,,12.43,4.77
CXT,,2.46,4.72
SHOP,,4.3,4.75
IPGP,,2.74,4.60
STEP,,2.46,4.80
MTSI,,4.86,4.66
WSC,,1.35,4.72
ITUB,,0.27,4.72
